Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difference,Condition
1,2,1,0,0.864,1.6154,0.06,1
1,2,2,66,1.424,1.5495,0.11,1
1,2,2,15,0.833,1.1163,0.11,1
1,2,2,31,0.926,1.5991,0.06,1
1,1,2,0,0.782,1.4997,0.06,2
1,2,2,63,1.076,1.0496,0.11,1
1,2,NaN,NaN,NaN,NaN,0.11,1
1,1,1,64,0.998,1.7825,0.11,1
1,2,2,100,1.709,0.83245,0.37294,2
1,1,2,23,1.115,1.7664,0.06,1
1,2,2,86,1.975,1.2154,0.22211,2
1,1,1,91,1.68,1.7327,0.17648,2
1,1,1,48,1.512,1.7832,0.06,1
1,2,2,20,0.929,1.3162,0.06,1
1,2,2,54,0.931,1.1993,0.10327,2
1,1,1,88,1.041,2.7829,0.25804,2
1,1,1,7,1.125,1.5326,0.01,1
1,1,1,100,1.012,1.0494,0.15953,2
1,2,2,0,0.704,1.4497,0.01,1
1,2,2,100,2.248,0.83245,0.26174,2
1,2,2,9,1.42,1.6325,0.01,1
1,1,1,0,0.87,1.3997,0.01,1
1,2,1,0,1.486,0.96585,0.01,2
1,1,1,100,0.834,0.83185,0.25583,2
1,1,1,76,1.739,1.9664,0.13283,2
1,1,2,5,0.669,0.89938,0.01,1
1,1,1,55,1.751,1.2828,0.06,1
1,1,1,45,2.411,2.4997,0.06,1
1,2,1,0,0.816,1.2824,0.01,1
1,1,1,16,2.199,1.5164,0.06,1
1,2,2,84,1.36,0.99876,0.06,1
1,1,1,91,0.759,2.1828,0.21419,2
1,1,1,92,0.563,1.6331,0.13521,2
1,1,1,70,0.559,2.2001,0.18549,2
1,2,2,0,0.557,0.98239,0.01,1
1,1,1,0,0.636,0.86573,0.01,1
1,1,1,67,1.433,1.4154,0.25384,2
1,1,1,86,1.456,1.8997,0.25503,2
1,1,2,0,0.857,1.3826,0.01,1
1,1,1,35,0.882,1.2158,0.06,1
1,2,2,55,1.345,1.4989,0.19407,2
1,2,2,83,2.425,1.2493,0.27643,2
1,2,2,77,1.666,1.1491,0.087673,2
1,1,1,100,0.961,1.0824,0.2954,2
1,2,1,0,0.935,0.99889,0.01,1
1,2,2,76,0.791,1.4327,0.10608,2
1,2,2,57,0.709,1.266,0.06,1
1,1,1,100,0.751,1.2159,0.20024,2
1,2,2,0,0.614,3.3673,0.01,1
1,2,2,0,0.574,1.6162,0.01,1
1,1,1,72,1.364,1.6996,0.098738,2
1,1,1,0,0.615,1.0661,0.01,1
1,1,2,35,2.055,0.9818,0.12943,2
2,1,1,33,3.615,3.4293,0.21,1
2,2,2,76,1.968,2.7962,0.34644,2
2,1,2,23,1.955,3.2478,0.16,1
2,1,2,32,6.266,2.4829,0.21,1
2,2,2,69,2.112,5.5173,0.26,2
2,1,2,36,3.643,3.4166,0.4408,2
2,1,2,65,2.768,3.6169,0.31,1
2,2,1,23,6.02,2.6666,0.36,1
2,1,2,30,4.971,2.6659,0.41,1
2,1,2,77,6.468,3.0164,0.46,2
2,2,2,1,3.943,3.9838,0.10602,1
2,2,2,87,4.322,2.1666,0.51,2
2,2,2,77,3.391,2.4167,0.46,2
2,2,2,50,4.26,3.1665,0.46,1
2,2,2,91,6.517,2.133,0.41,1
2,1,2,28,9.181,2.0828,0.41,1
2,1,2,4,14.704,2.2493,0.69134,2
2,1,1,76,3.414,2.9163,0.51,2
2,1,1,72,2.431,3.1996,0.51,1
2,2,2,71,2.239,3.8833,0.46,1
2,1,2,15,13.168,2.3662,0.46,2
2,1,1,15,8.299,2.4327,0.51,1
2,1,1,12,4.315,2.4829,0.51,2
2,2,2,7,4.748,2.2495,0.46,1
2,1,1,15,4.584,3.2004,0.46,2
2,1,1,47,3.84,3.1003,0.41,1
2,1,1,53,3.612,1.9657,0.41,2
2,1,1,32,8.996,4.9343,0.36,1
2,1,2,80,5.644,2.3163,0.36,1
2,2,2,71,12.185,3.3168,0.41,2
2,2,2,82,3.458,6.5679,0.41,1
2,2,2,82,4.485,3.2829,0.46125,2
2,1,2,20,4.103,2.5329,0.36,2
2,1,2,22,6.558,3.5497,0.41,2
2,2,2,93,2.521,2.2663,0.46,2
2,2,2,86,3.484,3.0493,0.32537,1
2,1,1,61,4.861,3.3663,0.41,2
2,2,NaN,NaN,NaN,NaN,0.41,1
2,2,2,80,4.461,3.0663,0.33696,1
2,2,2,80,2.69,2.9998,0.36,2
2,1,1,25,3.998,2.6326,0.36,1
2,2,1,4,2.468,2.5659,0.31,1
2,1,1,27,2.993,2.4996,0.36,2
2,1,2,7,8.399,2.3995,0.36,2
2,1,1,29,6.598,2.6501,0.41,2
2,1,1,3,10.91,2.249,0.41,2
2,2,2,50,5.402,2.8333,0.36,2
2,1,1,62,2.913,2.4833,0.36,1
2,1,1,26,6.017,3.2664,0.31,2
2,1,1,24,4.669,3.133,0.3438,2
2,2,2,76,2.72,2.4827,0.26,1
2,2,2,87,5.914,2.4501,0.45962,2
2,2,2,27,3.357,2.4329,0.21,1
2,2,2,96,2.403,3.8998,0.53024,2
2,2,2,90,1.981,2.5494,0.38481,2
2,2,2,15,2.399,2.3666,0.16,1
2,2,2,0,4.036,2.0827,0.12484,2
2,2,2,25,3.219,3.5336,0.2991,2
2,2,1,0,7.754,2.4324,0.06,1
2,2,NaN,NaN,NaN,NaN,0.13917,2
2,2,NaN,NaN,NaN,NaN,1.2217,2
2,2,2,50,7.92,4.151,0.36084,2
2,2,2,41,2.178,3.4839,0.16,1
2,2,NaN,NaN,NaN,NaN,0.11,1
2,2,2,6,4.678,2.8331,0.11,2
2,2,1,2,4.826,4.4003,0.11,1
2,2,2,2,4.33,8.0691,0.16,2
2,2,1,3,10.532,3.0837,0.16,1
2,2,2,29,10.848,2.8327,0.21,1
2,1,1,12,11.616,3.9838,0.21,1
2,1,1,38,4.654,2.6996,0.16,2
2,1,1,1,8.066,2.7166,0.16,1
2,2,2,4,3.538,2.5332,0.11,1
2,1,1,0,6.794,2.2993,0.11,1
2,1,2,20,5.452,2.7494,0.06,1
2,1,2,0,11.691,2.5831,0.11,2
2,2,2,75,3.282,2.2658,0.3076,2
2,1,1,68,6.054,2.6327,0.16,1
2,1,2,21,5.829,2.8668,0.11,1
2,1,1,9,10.959,6.4682,0.16,2
2,2,2,79,3.9,2.5332,0.18138,2
2,1,2,60,2.592,3.0327,0.20828,2
2,1,1,3,4.993,2.5162,0.16,1
2,1,2,18,5.441,2.7165,0.16,1
2,2,2,70,8.453,2.9329,0.21,1
2,2,2,89,2.843,2.4158,0.21,1
2,1,2,6,2.866,6.0179,0.16,1
2,2,2,50,3.158,3.1664,0.21,1
2,1,1,30,3.486,2.8167,0.21,2
2,2,2,26,4.048,2.6995,0.16,2
2,1,1,82,2.057,2.7993,0.26951,2
2,2,1,38,3.445,2.5826,0.11,2
2,1,1,66,2.143,2.7494,0.37066,2
2,2,1,8,7.272,2.5659,0.16,2
2,1,1,17,2.175,3.2504,0.21,2
2,1,1,61,3.899,4.9173,0.21,1
2,1,1,12,7.272,3.9675,0.16,1
2,1,1,18,2.217,3.8004,0.16,1
2,1,1,5,4.18,2.7496,0.11,1
2,1,1,69,1.852,3.8171,0.11,2
2,2,2,76,3.452,2.5667,0.38706,2
2,1,1,70,2.539,2.8663,0.14571,2
2,1,2,0,12.314,3.0328,0.01,1
2,2,1,3,4.586,2.8328,0.17968,2
2,1,2,11,7.396,3.7673,0.18267,2
2,2,2,4,6.429,2.5831,0.16,1
2,2,2,5,12.078,4.1001,0.16,1
2,2,1,30,4.469,2.8501,0.11,1
