Subj_idx,Block,Trial,RT_stop,Stimulus,Response,Error,Confidence,RT_confidence,ErrorDirectionJudgment,RT_directionJudgment
5,4,26,3.69052154195011,7,9,2,1,0.597337566316128,-1,0.478842116892338
5,4,27,3.36108843537415,7,8,1,2,0.796267040073872,-1,0.109608288854361
5,4,28,1.36852607709751,7,4,-3,2,1.12182636931539,-1,0.0853953901678324
5,4,29,2.16235827664399,7,6,-1,2,0.649776140227914,-1,0.0275535937398672
5,4,30,3.01424036281179,7,8,1,1,0.487819327041507,-1,0.176052391529083
5,4,31,2.35827664399093,7,8,1,2,0.559102844446898,-1,0.668779995292425
5,4,32,2.46566893424036,7,7,0,3,0.721225434914231,-1,0.18294476158917
5,4,33,2.29006802721088,7,6,-1,3,0.410389563068748,-1,0.016306659206748
5,4,34,2.47292517006803,7,7,0,2,0.315461104735732,-1,0.0969562828540802
5,4,35,2.76607709750567,7,7,0,2,0.436718206852674,-1,0.0161475278437138
5,4,36,3.18113378684807,7,8,1,1,2.12583722174168,-1,0.0754223819822073
5,4,37,2.50340136054422,7,7,0,1,1.23430711217225,-1,0.435013212263584
5,4,38,2.75156462585034,7,7,0,2,0.515044018626213,-1,0.0159501545131207
5,4,39,2.49469387755102,7,6,-1,2,0.491556072607636,-1,0.018443375825882
5,4,40,2.47292517006803,7,6,-1,2,0.362705547362566,-1,0.0409073960036039
5,4,41,2.90975056689342,7,8,1,3,0.745165359228849,-1,0.118983823806047
5,4,42,2.73124716553288,7,8,1,2,0.231508620083332,-1,0.232193913310766
5,4,43,2.08399092970522,7,5,-2,3,2.33718644827604,-1,0.685323076322675
5,4,44,3.07083900226757,7,9,2,3,0.740948859602213,-1,0.0159911848604679
5,4,45,2.4409977324263,7,7,0,3,0.625032151117921,-1,0.881798522546887
5,4,46,2.69351473922903,7,8,1,3,0.551429484039545,-1,0.0438819918781519
5,4,47,2.79219954648526,7,7,0,2,0.700745208188891,-1,0.748110486194491
5,4,48,3.26820861678005,7,8,1,3,0.460490932688117,-1,0.126490222290158
5,4,49,3.02585034013605,7,7,0,3,1.00259711034596,-1,0.0295708514750004
5,4,50,2.63256235827664,7,7,0,2,0.426110994070768,-1,0.100248284637928
5,4,51,2.33795918367347,7,6,-1,2,0.698570434004068,-1,0.176731834188104
5,4,52,2.64852607709751,7,7,0,2,1.02643046714365,-1,0.0370081663131714
5,4,53,3.18548752834467,7,8,1,3,0.348377605900168,-1,0.136661361902952
5,4,54,2.61514739229025,7,8,1,3,0.542376887053251,-1,0.332233676686883
5,4,55,2.46857142857143,7,7,0,1,0.433266287669539,-1,0.137704776600003
5,4,56,2.26829931972789,7,7,0,2,1.42295411974192,-1,0.127614341676235
5,4,57,2.85750566893424,7,7,0,2,0.363192528486252,-1,0.119304738938808
5,4,58,2.56580498866213,7,6,-1,3,0.401653001084924,-1,0.196877779439092
5,4,59,2.42213151927438,7,7,0,3,0.417084043845534,-1,0.0196637399494648
5,4,60,1.53687074829932,7,4,-3,3,0.354737594723701,-1,0.278888545930386
5,4,61,2.00562358276644,7,6,-1,2,0.388862362131476,-1,1.2718926332891
5,4,62,2.98666666666667,7,8,1,2,0.323609732091427,-1,0.0254734195768833
5,4,63,1.60507936507937,7,4,-3,2,1.0574075691402,-1,0.250325635075569
5,4,64,2.59773242630386,7,6,-1,2,0.733338620513678,-1,0.194843772798777
5,4,65,2.04045351473923,7,5,-2,3,1.36553872004151,-1,0.0159907937049866
5,4,66,1.88662131519274,7,6,-1,3,0.800717087462544,-1,0.0168031752109528
5,4,67,2.37133786848073,7,6,-1,3,1.34934291988611,-1,0.016031650826335
5,4,68,2.90829931972789,7,8,1,2,0.399383379146457,-1,0.0353832524269819
5,4,69,2.2378231292517,7,6,-1,2,0.546275362372398,-1,0.128073101863265
5,4,70,2.62095238095238,7,7,0,3,0.933401511982083,-1,0.354679394513369
5,4,71,2.60643990929705,7,6,-1,1,0.755672616884112,-1,0.536652538925409
5,4,72,2.8734693877551,7,7,0,2,1.81431455351412,-1,0.142632115632296
5,4,73,2.92426303854875,7,7,0,3,0.684835407882929,-1,0.540603764355183
5,4,74,3.28707482993197,7,8,1,1,0.436051743105054,-1,0.0851134359836578
5,4,75,2.93297052154195,7,7,0,2,1.27376271598041,-1,0.415608810260892
5,4,76,2.47873015873016,7,7,0,2,0.40032496675849,-1,0.124306434765458
5,4,77,2.27700680272109,7,6,-1,3,0.686478860676289,-1,0.0596278682351112
5,4,78,2.45986394557823,7,7,0,2,0.820493053644896,-1,0.183019774034619
5,4,79,3.33496598639456,7,8,1,1,0.545908868312836,-1,0.0239996910095215
5,4,80,2.67609977324263,7,8,1,2,0.929542047902942,-1,0.0786805190145969
5,4,81,0.902675736961451,7,3,-4,1,0.873443361371756,-1,0.0492682624608278
5,4,82,2.38875283446712,7,6,-1,3,0.290917219594121,-1,1.65246969088912
5,4,83,2.63401360544218,7,7,0,3,0.772936722263694,-1,0.264065427705646
