Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,SN,Day,Accuracy,Condition,Block
1,2,1,3,1.002050664,0.354069598,0.111962849,1,0,2,9
1,2,2,3,2.207825494,0.265221545,0.142359439,1,1,2,9
1,2,2,3,0.843619562,0.265373633,0.142359439,1,1,2,9
1,2,2,3,0.969965846,0.227073758,0.111962849,1,1,2,9
1,2,2,3,1.014193016,0.269369175,0.111962849,1,1,2,9
1,1,1,3,0.95916204,0.824535988,0.085691244,1,1,2,9
1,1,1,3,0.981531309,0.269457968,0.085691244,1,1,2,9
1,1,1,3,0.638792446,0.229080625,0.063750516,1,1,2,9
1,2,2,3,1.289518776,0.325487126,0.063750516,1,1,2,9
1,2,1,2,1.956582055,0.343526306,0.046234272,1,0,2,9
1,2,1,2,1.86175618,0.186872352,0.063750516,1,0,2,9
1,1,1,2,0.752025162,0.305891165,0.076946226,1,1,2,9
1,1,1,2,0.706868183,0.358071542,0.076946226,1,1,2,9
1,2,1,1,1.156343493,0.32610508,0.056662579,1,0,2,9
1,1,1,1,0.805985758,0.277811179,0.076946226,1,1,2,9
1,1,1,1,0.566697257,0.256616077,0.076946226,1,1,2,9
1,2,1,1,0.274684085,0.311547434,0.056662579,1,0,2,9
1,2,1,1,0.759004104,0.377314965,0.076946226,1,0,2,9
1,2,2,2,0.021815755,0.677496386,0.09281626,1,1,2,9
1,1,1,2,1.479712528,0.330932346,0.09281626,1,1,2,9
1,2,1,1,1.114420175,0.287129047,0.069613072,1,0,2,9
1,1,1,2,0.686776826,0.372476421,0.09281626,1,1,2,9
1,1,1,2,1.137488556,0.356140113,0.09281626,1,1,2,9
1,2,2,4,2.13619431,0.243476753,0.3,1,1,1,10
1,1,1,4,0.695328101,0.233704265,0.3,1,1,1,10
1,1,1,4,0.413310018,0.219875457,0.255697168,1,1,1,10
1,1,1,4,0.544704058,0.249286308,0.255697168,1,1,1,10
1,2,2,4,0.635248044,0.497472755,0.214491089,1,1,1,10
1,2,2,4,0.746242079,0.221025412,0.214491089,1,1,1,10
1,1,1,4,0.608378062,0.375580486,0.176624988,1,1,1,10
1,1,1,1,1.813618047,0.268571177,0.176624988,1,1,1,10
1,1,1,3,1.406270391,0.310370269,0.142359439,1,1,1,10
1,2,2,4,2.166898705,0.304740706,0.142359439,1,1,1,10
1,2,2,4,1.248583111,0.318105696,0.111962849,1,1,1,10
1,2,2,4,0.794269373,0.346432312,0.111962849,1,1,1,10
1,1,1,2,1.033254158,0.400460929,0.085691244,1,1,1,10
1,1,1,3,0.732076306,0.382532864,0.085691244,1,1,1,10
1,2,1,3,1.019942871,0.211131538,0.063750516,1,0,1,10
1,1,1,1,1.126250632,0.410795758,0.085691244,1,1,1,10
1,2,2,2,1.9105671,0.553437428,0.085691244,1,1,1,10
1,1,1,1,1.055469459,0.230240159,0.063750516,1,1,1,10
1,2,1,1,1.177178895,0.281512857,0.063750516,1,0,1,10
1,2,1,1,1.212290582,0.330412098,0.081266761,1,0,1,10
1,2,2,2,1.049617416,1.312599744,0.098783005,1,1,1,10
1,1,2,2,1.65722165,0.310622271,0.098783005,1,0,1,10
1,2,2,2,1.239929557,0.294547983,0.122989727,1,1,1,10
1,2,2,3,1.078545167,0.219584109,0.122989727,1,1,1,10
1,1,2,2,0.575289659,0.342300705,0.095129679,1,0,1,10
1,2,2,2,1.573224069,0.34195482,0.122989727,1,1,1,10
1,1,2,1,1.703017749,0.785733986,0.122989727,1,0,1,10
1,2,2,3,1.055327819,0.916773543,0.150849774,1,1,1,10
1,2,1,1,1.708881951,0.440406099,0.150849774,1,0,1,10
1,2,2,3,1.47538775,0.282236686,0.182271159,1,1,1,10
1,2,2,4,1.705396448,0.342942443,0.182271159,1,1,1,10
1,1,1,4,0.837939373,0.403941874,0.147429374,1,1,1,10
1,1,1,4,0.655375869,0.24516367,0.147429374,1,1,1,10
1,2,2,2,2.296154122,0.349245132,0.116415037,1,1,1,10
1,1,1,3,1.003821527,0.577666302,0.116415037,1,1,1,10
1,1,1,2,1.528645195,0.570688319,0.089488037,1,1,1,10
1,2,2,2,1.296526532,0.427401947,0.089488037,1,1,1,10
1,2,1,1,2.423800607,0.310903548,0.066865445,1,0,1,10
1,2,2,1,1.111076301,0.315395635,0.089488037,1,1,1,10
1,2,2,2,1.258789012,0.296093791,0.089488037,1,1,1,10
1,1,1,1,2.249074862,0.319425592,0.066865445,1,1,1,10
1,1,1,1,1.47082934,0.372149934,0.066865445,1,1,1,10
1,2,2,2,1.233185537,0.274553972,0.048663428,1,1,1,10
1,1,2,1,1.073764742,0.246344982,0.048663428,1,0,1,10
1,2,1,1,0.681192618,0.27006894,0.062512158,1,0,1,10
1,2,1,2,1.13595601,0.386027882,0.076360888,1,0,1,10
1,1,1,1,1.88747307,0.62808503,0.093598368,1,1,1,10
1,2,1,2,1.350863065,0.577583546,0.093598368,1,0,1,10
1,2,1,1,1.110248836,0.265226654,0.116935768,1,0,1,10
