Subj_idx,Stimulus,Response,Confidence,RT_dec,Validity,CTOA,Cue_position
1,-1,-1,0,1.350725174,I,250,-1
1,-1,-1,0,2.111817837,I,150,-1
1,1,-1,0,2.852042198,V,850,-1
1,1,1,1,0.671342134,V,450,1
1,-1,-1,1,2.001806974,V,850,1
1,1,1,1,0.991075039,V,100,1
1,1,1,1,1.041470051,I,150,1
1,1,1,0,0.881226063,I,150,-1
1,1,1,1,0.641331911,I,850,-1
1,-1,-1,0,0.690963984,I,850,-1
1,1,1,1,0.811393976,V,150,1
1,-1,1,0,2.792047977,I,250,-1
1,1,1,1,0.621421099,V,100,1
1,-1,-1,1,0.6612432,V,250,-1
1,-1,-1,1,0.531049013,V,100,-1
1,-1,-1,1,0.601152897,V,150,-1
1,1,1,1,0.721297026,V,450,1
1,-1,-1,1,0.841173887,I,850,1
1,-1,-1,1,0.661294937,I,150,1
1,1,1,0,2.031924009,I,450,1
1,1,-1,1,1.101330042,V,850,-1
1,1,-1,1,0.971272945,V,250,-1
1,1,1,0,1.131331921,I,150,1
1,1,1,0,0.911266088,I,100,-1
1,-1,-1,0,0.950525045,I,250,1
1,-1,1,1,0.811253071,I,150,-1
1,1,-1,0,2.481978893,I,100,1
1,1,1,0,1.941918135,I,250,1
1,1,1,0,0.89141202,V,450,-1
1,-1,-1,1,0.671005011,V,150,1
1,-1,1,0,1.441668034,V,450,1
1,-1,-1,1,0.741075039,V,850,-1
1,-1,-1,1,0.681442022,I,450,-1
1,-1,1,0,0.771301985,V,850,1
1,1,1,1,0.86142087,V,850,1
1,-1,1,0,2.141899109,V,100,1
1,-1,1,0,2.001893997,I,100,-1
1,-1,-1,1,0.741250038,I,100,1
1,1,1,1,0.681184053,I,150,-1
1,1,1,0,1.951860189,I,850,1
1,-1,-1,1,0.731200933,I,450,1
1,1,1,1,0.741256952,I,450,-1
1,1,1,0,0.981412172,V,150,-1
1,1,1,1,0.711130142,V,250,1
1,1,1,1,0.641398907,I,250,-1
1,1,1,1,0.881458044,V,100,-1
1,-1,-1,0,2.271811962,V,250,1
1,-1,-1,1,0.621086836,V,450,-1
1,1,1,1,0.671357155,I,100,-1
