Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difference,Condition
2,1,NaN,NaN,NaN,NaN,0.31,3
2,2,2,97,2.658,2.247,0.31,3
2,1,2,91,2.808,2.3297,0.26,3
2,2,2,100,4.156,1.7472,0.31,3
2,2,2,83,1.958,3.0636,0.31,3
2,1,2,93,2.958,2.0972,0.26,3
2,1,1,95,3.508,1.714,0.31,3
2,2,2,99,2.708,3.2137,0.31,3
2,2,2,99,2.208,2.7638,0.26,3
2,2,2,98,1.808,1.9643,0.26,3
2,2,2,48,2.308,1.5973,0.21,3
2,2,2,13,4.057,1.9641,0.21,3
2,2,1,3,2.358,3.3801,0.16,3
2,1,1,95,2.658,1.4308,0.21,3
2,1,1,93,2.158,2.0643,0.21,3
2,1,1,97,3.508,1.9308,0.16,3
2,1,1,94,2.458,1.9973,0.16,3
2,1,2,95,4.257,3.0636,0.11,3
2,2,2,2,3.708,2.4639,0.16,3
2,1,1,4,2.891,2.4138,0.16,3
2,2,2,98,6.04,2.3639,0.11,3
2,2,2,6,3.257,2.2805,0.11,3
2,1,1,1,4.257,2.3304,0.06,3
2,1,1,97,2.558,2.1304,0.06,3
2,1,2,100,3.508,2.064,0.01,3
2,2,1,100,4.657,2.7303,0.06,3
2,1,2,99,4.557,2.2811,0.11,3
2,1,1,100,2.708,1.831,0.16,3
2,2,2,0,3.208,2.6807,0.16,3
2,2,2,99,2.758,2.3139,0.11,3
2,1,2,99,3.058,2.3807,0.11,3
2,2,2,99,1.447,2.1076,0.16,1
2,2,NaN,NaN,NaN,NaN,0.76,2
2,2,2,10,3.3,2.096,0.81,2
2,2,1,56,3.201,4.1131,0.11,1
2,2,1,94,2.301,1.7971,0.16,1
2,2,1,7,4.95,2.1136,0.81,2
2,2,1,4,2.101,1.6972,0.21,1
2,1,1,94,1.751,1.697,0.26,1
2,2,1,92,2.101,2.3301,0.26,1
2,2,1,5,2.15,3.4133,0.86,2
2,1,1,93,1.568,2.2308,0.91,2
2,2,2,92,2.35,1.6972,0.91,2
2,1,1,97,2.351,1.3808,0.86,2
2,1,2,97,4.85,2.0643,0.31,1
2,1,1,98,1.651,2.0143,0.86,2
2,1,NaN,NaN,NaN,NaN,0.36,1
2,1,NaN,NaN,NaN,NaN,0.36,1
2,2,2,97,1.301,1.6639,0.36,1
2,1,1,100,2.035,1.7142,0.36,1
2,2,2,100,1.451,1.664,0.31,1
2,1,1,100,1.001,1.7305,0.81,2
2,2,2,25,2.801,2.1807,0.81,2
2,2,1,82,4.65,1.9638,0.31,1
2,1,1,94,1.601,2.1642,0.36,1
2,1,1,96,1.75,1.8137,0.36,1
2,2,1,84,3.001,3.7467,0.76,2
2,2,2,100,1.469,1.5473,0.31,1
2,2,2,83,3.25,2.5971,0.81,2
2,2,1,94,3.2,1.7143,0.31,1
2,2,NaN,NaN,NaN,NaN,0.36,1
2,2,1,0,0.801,3.5135,0.36,1
2,1,2,97,5,2.4137,0.81,2
2,1,1,98,1.551,2.231,0.86,2
2,2,1,39,2.45,1.7307,0.86,2
2,2,1,100,1.551,1.5475,0.41,1
2,1,1,100,1.401,1.5141,0.46,1
2,2,1,95,1.501,1.5806,0.91,2
2,1,1,99,2.351,2.2806,0.46,1
2,2,2,100,2.101,1.698,0.41,1
2,2,1,94,3.5,2.297,0.96,2
2,1,1,92,1.502,1.9304,0.41,1
2,1,1,98,2.3,1.9306,1.01,2
2,1,2,92,2.534,1.9805,1.01,2
2,2,1,93,1.701,2.0639,1.06,2
2,1,2,100,1.534,2.8633,0.36,1
2,1,NaN,NaN,NaN,NaN,0.41,1
2,1,NaN,NaN,NaN,NaN,0.41,1
2,1,1,100,2.967,1.864,0.46,1
2,1,1,100,2.251,2.5142,1.11,2
2,1,1,100,1.901,1.3813,0.46,1
2,1,1,100,1.634,1.8805,1.11,2
2,2,2,100,1.051,1.4139,0.41,1
2,2,2,100,1.201,1.6312,0.41,1
2,1,2,97,2.467,1.8307,1.06,2
2,2,1,100,1.351,1.3311,1.11,2
2,2,2,68,3.151,1.5808,0.36,1
2,2,1,73,4.65,2.1474,1.16,2
2,1,1,73,3.134,2.2971,1.21,2
