Subj_idx,Stimulus,Response,Confidence,RT_decConf,SOA,Session,Gender,Age,Training
1,1,1,0.896818493935,2.28252707248,66.7,1,female,23,0
1,1,1,-0.554711223011,2.03255947347,33.3,1,female,23,0
1,2,2,0.190478370336,1.90757888199,33.3,1,female,23,0
1,2,2,-0.156267643244,2.07423260965,16.7,1,female,23,0
1,1,2,-0.351583123522,1.97428066578,8.3,1,female,23,0
1,2,2,-0.078141451133,2.16612376283,8.3,1,female,23,0
1,1,2,0.166674296178,1.91591909118,33.3,1,female,23,0
1,2,2,0.142870222019,2.11617201144,33.3,1,female,23,0
1,2,2,0.984100099184,2.58252951057,133.3,1,female,23,0
1,1,1,0.682520790417,2.44092624506,133.3,1,female,23,0
1,2,2,0.452384222171,2.07423710087,66.7,1,female,23,0
1,2,2,-0.312520027466,2.40738672162,16.7,1,female,23,0
1,2,2,0.523796444648,2.00762482083,16.7,1,female,23,0
1,1,2,0.301594567788,2.02420803622,8.3,1,female,23,0
1,1,1,0.738094148165,2.14115061395,133.3,1,female,23,0
1,2,1,0.206347753109,1.85758189753,16.7,1,female,23,0
1,2,2,0.523796444648,2.14947061262,133.3,1,female,23,0
1,2,2,0.0476234073396,2.35752447398,8.3,1,female,23,0
1,1,2,-0.101579308766,1.89926882819,8.3,1,female,23,0
1,2,1,0.0476234073396,1.74948703768,33.3,1,female,23,0
1,1,2,0.793636987869,3.29106425407,33.3,1,female,23,0
1,1,1,-0.757839322499,2.29945450836,16.7,1,female,23,0
1,2,2,0.825375753414,2.15755450104,66.7,1,female,23,0
1,2,2,0.428580148013,2.00758407898,133.3,1,female,23,0
1,2,2,0.428580148013,1.79092663003,66.7,1,female,23,0
1,1,1,0.801571679255,2.14088691474,66.7,1,female,23,0
1,1,2,0.317463950561,1.81596041047,8.3,1,female,23,0
1,2,2,-0.296894789044,2.28278948847,33.3,1,female,23,0
1,1,1,0.904753185321,2.14088498993,133.3,1,female,23,0
1,1,1,-0.804715037766,1.91586359244,8.3,1,female,23,0
1,2,2,-0.382833600366,2.45754218225,8.3,1,female,23,0
1,1,1,0.936491950866,2.51583703004,133.3,1,female,23,0
1,2,2,-0.2656443122,2.6825084018,8.3,1,female,23,0
1,2,2,0.579369802396,2.51587328066,66.7,1,female,23,0
1,1,2,-0.101579308766,2.65742361385,33.3,1,female,23,0
1,2,2,0.47618829633,2.30776295815,66.7,1,female,23,0
1,2,2,0.0634927901122,1.98255607297,66.7,1,female,23,0
1,1,2,0.031754024567,2.12423985977,16.7,1,female,23,0
1,2,2,-0.164080262455,2.21611336884,8.3,1,female,23,0
1,1,2,-0.242206454566,2.24922237606,33.3,1,female,23,0
1,2,2,0.158739604791,2.04945739558,66.7,1,female,23,0
1,2,2,-0.421896696422,2.43254465242,33.3,1,female,23,0
1,1,2,-0.429709315633,2.05754930405,8.3,1,female,23,0
1,1,2,-0.429709315633,1.99121034727,33.3,1,female,23,0
1,2,2,-0.671900511177,3.70760794665,8.3,1,female,23,0
1,1,1,1,2.88249537724,133.3,1,female,23,0
1,2,2,0.261890592813,2.31587283154,133.3,1,female,23,0
1,1,1,0.857145037003,2.15755161383,133.3,1,female,23,0
1,2,2,0.349202716106,2.17421695451,66.7,1,female,23,0
1,1,1,-0.320332646677,4.14909751994,16.7,1,female,23,0
1,1,1,0.47618829633,2.34922147782,66.7,1,female,23,0
1,2,2,0.642847333486,2.74088377089,133.3,1,female,23,0
1,2,2,0.642847333486,1.89926177054,66.7,1,female,23,0
1,2,2,-0.0859540703441,3.6990932212,16.7,1,female,23,0
1,2,2,-0.0703288319219,2.28255241583,16.7,1,female,23,0
1,1,2,-0.0703288319219,1.87426680713,16.7,1,female,23,0
1,1,1,0.960296025025,2.22900928658,133.3,1,female,23,0
1,1,1,-0.617212176699,2.91583824909,8.3,1,female,23,0
1,2,1,-0.820340276188,1.75758889101,8.3,1,female,23,0
1,2,2,-0.804715037766,2.20779272857,8.3,1,female,23,0
1,2,2,-0.570336461433,2.54086728167,33.3,1,female,23,0
1,2,2,-0.570336461433,1.94911407333,33.3,1,female,23,0
1,1,1,1,2.31588726763,66.7,1,female,23,0
1,2,1,-0.0234531166552,4.14903303875,8.3,1,female,23,0
1,2,2,0.166674296178,2.20779882381,8.3,1,female,23,0
1,1,2,-1.52590218967e-05,2.09090340397,8.3,1,female,23,0
1,2,2,0.849179827573,2.23279282482,133.3,1,female,23,0
1,2,2,0.76983291371,1.84090629118,133.3,1,female,23,0
1,1,1,1,2.64082756638,66.7,1,female,23,0
1,2,2,0.960296025025,2.53258257122,133.3,1,female,23,0
1,1,1,0.841245136187,2.24090751023,133.3,1,female,23,0
1,2,1,-0.617212176699,2.74084848267,16.7,1,female,23,0
1,1,1,1,2.60776796266,133.3,1,female,23,0
1,1,1,0.936491950866,2.70751459328,66.7,1,female,23,0
1,1,1,0.555535210193,4.25737972814,33.3,1,female,23,0
1,2,1,-0.515648126955,3.04917156104,16.7,1,female,23,0
1,2,2,0.603173876555,2.30778316868,33.3,1,female,23,0
1,2,2,0.587304493782,2.00750708652,133.3,1,female,23,0
1,2,1,-0.507835507744,2.59085817089,16.7,1,female,23,0
1,2,2,-0.0234531166552,2.19111551822,16.7,1,female,23,0
1,1,1,0.460318913558,2.15754840581,66.7,1,female,23,0
1,1,2,0.24602121004,2.8158503754,16.7,1,female,23,0
1,1,1,-0.179705500877,2.12446474194,16.7,1,female,23,0
1,1,1,0.190478370336,3.13251751258,33.3,1,female,23,0
1,2,2,1,4.25734925195,133.3,1,female,23,0
1,2,2,0.960296025025,2.09079016088,133.3,1,female,23,0
1,1,1,0.92855725948,3.11584158543,66.7,1,female,23,0
1,1,1,0.785702296483,2.46588078743,66.7,1,female,23,0
1,2,1,0.031754024567,4.61573026715,16.7,1,female,23,0
1,2,2,0.626977950713,3.43269575014,8.3,1,female,23,0
1,1,1,0.674586099031,2.40752755368,16.7,1,female,23,0
1,2,1,0.333333333333,2.61587270322,33.3,1,female,23,0
1,2,2,0.380941481651,2.35767942132,66.7,1,female,23,0
1,1,1,0.365072098878,2.18256229653,8.3,1,female,23,0
1,1,1,0.349202716106,2.13254638475,8.3,1,female,23,0
1,1,1,0.436514839399,2.19089288166,133.3,1,female,23,0
1,1,1,0.690455481804,2.68255395568,66.7,1,female,23,0
1,2,2,0.960296025025,2.10757451909,66.7,1,female,23,0
1,1,1,0.53966582742,2.07426308583,33.3,1,female,23,0
1,2,2,0.595239185168,2.34923623471,16.7,1,female,23,0
1,2,2,0.253955901427,3.03238206999,16.7,1,female,23,0
1,2,2,0.103166247044,2.66586904608,8.3,1,female,23,0
1,2,2,-0.320332646677,2.29088749219,8.3,1,female,23,0
1,2,2,-0.4765850309,2.67409023774,33.3,1,female,23,0
1,1,1,0.849179827573,2.40740661134,66.7,1,female,23,0
1,1,1,-0.445334554055,2.68253021634,8.3,1,female,23,0
1,1,1,0.301594567788,2.2242347911,66.7,1,female,23,0
1,1,1,0.380941481651,2.28256653112,16.7,1,female,23,0
1,2,2,0.0793621728847,2.19921384273,16.7,1,female,23,0
1,1,1,0.904753185321,2.34922051541,133.3,1,female,23,0
1,1,2,0.571435111009,2.19092816988,33.3,1,female,23,0
1,1,2,-0.718776226444,2.79108157737,33.3,1,female,23,0
1,1,1,0.603173876555,2.13280495113,33.3,1,female,23,0
1,1,1,0.92855725948,2.19921608835,66.7,1,female,23,0
1,2,2,0.119035629816,2.09090340397,33.3,1,female,23,0
1,1,1,1,2.3075563617,133.3,1,female,23,0
1,1,1,0.730159456779,2.51228735643,16.7,1,female,23,0
1,2,2,0.253955901427,1.99094087363,33.3,1,female,23,0
1,1,1,1,1.97423767832,133.3,1,female,23,0
1,1,2,1,2.74924707781,66.7,1,female,23,0
1,1,1,0.087296864271,2.20778438772,16.7,1,female,23,0
1,2,2,0.24602121004,2.04915584174,33.3,1,female,23,0
1,1,2,0.309529259174,2.74084912427,33.3,1,female,23,0
1,1,1,1,1.88279211905,66.7,1,female,23,0
1,2,2,0.738094148165,2.21589586512,66.7,1,female,23,0
1,1,1,0.468253604944,2.74925606027,16.7,1,female,23,0
1,2,2,0.380941481651,1.94090443053,133.3,1,female,23,0
1,1,1,0.825375753414,2.09092136887,8.3,1,female,23,0
1,2,2,0.515861753262,1.85758574715,66.7,1,female,23,0
1,2,2,0.817441062028,2.44919716103,33.3,1,female,23,0
1,1,2,0.00794995040818,2.44921191792,8.3,1,female,23,0
1,1,2,0.333333333333,2.22445133242,16.7,1,female,23,0
