Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,DotDiff,Accuracy
2,1,1,NaN,0.663,NaN,24,1
2,0,0,NaN,0.584,NaN,24,1
2,0,0,NaN,0.503,NaN,60,1
2,1,1,1,0.469,2428,60,1
2,0,0,1,0.665,1171,60,1
2,0,0,NaN,0.672,NaN,24,1
2,1,1,NaN,0.614,NaN,24,1
2,1,1,NaN,0.552,NaN,24,1
2,0,0,NaN,0.551,NaN,24,1
2,1,1,NaN,0.489,NaN,60,1
2,1,1,NaN,0.583,NaN,24,1
2,1,1,NaN,0.488,NaN,24,1
2,0,0,NaN,0.633,NaN,60,1
2,1,1,NaN,0.474,NaN,60,1
2,0,1,NaN,0.65,NaN,60,0
2,0,1,NaN,0.425,NaN,24,0
2,1,1,NaN,0.471,NaN,60,1
2,0,0,NaN,0.537,NaN,60,1
2,0,0,NaN,0.504,NaN,60,1
2,1,1,NaN,0.441,NaN,60,1
2,1,1,NaN,0.485,NaN,24,1
2,0,0,NaN,0.682,NaN,24,1
2,0,0,NaN,0.503,NaN,24,1
2,1,1,NaN,0.629,NaN,24,1
2,1,1,NaN,0.505,NaN,24,1
2,1,1,1,0.488,3556,60,1
2,0,0,1,0.561,2460,60,1
2,1,1,1,0.679,39990,60,1
2,0,0,NaN,0.739,NaN,24,1
2,1,1,1,0.487,1954,60,1
2,0,0,1,0.672,1230,60,1
2,0,0,NaN,0.597,NaN,24,1
2,1,1,NaN,0.459,NaN,24,1
2,0,1,NaN,0.422,NaN,24,0
2,0,0,1,0.566,1803,60,1
2,0,1,NaN,0.542,NaN,24,0
2,0,1,NaN,0.506,NaN,24,0
2,0,0,NaN,0.678,NaN,60,1
2,0,0,NaN,0.63,NaN,60,1
2,1,1,NaN,0.454,NaN,60,1
2,1,1,NaN,0.505,NaN,24,1
2,0,1,NaN,0.486,NaN,60,0
2,1,1,NaN,0.508,NaN,24,1
2,0,1,NaN,0.562,NaN,24,0
2,1,0,NaN,0.573,NaN,24,0
2,1,1,NaN,0.534,NaN,60,1
2,1,1,NaN,0.505,NaN,60,1
2,1,1,1,0.518,1594,60,1
2,0,0,1,0.568,1364,60,1
2,0,0,NaN,0.654,NaN,24,1
2,1,1,0.5,0.664,1691,60,1
2,0,0,0.5,0.599,1284,60,1
2,1,1,NaN,0.719,NaN,24,1
2,0,0,NaN,0.581,NaN,24,1
2,1,1,NaN,0.456,NaN,24,1
2,0,0,1,0.55,1964,60,1
2,0,0,1,0.583,1205,24,1
2,1,1,1,0.688,1532,60,1
2,1,0,0.5,0.553,1462,24,0
2,0,1,1,0.959,1660,60,0
2,1,1,0.51,0.65,1284,24,1
2,1,1,1,0.494,2029,60,1
2,1,1,0.99,0.519,1165,60,1
2,1,1,0.5,0.695,1077,24,1
2,1,1,1,0.479,1926,60,1
2,0,0,1,0.657,1141,60,1
2,1,1,1,0.543,1830,60,1
2,0,1,0.5,0.527,1189,24,0
2,1,0,0.54,0.591,1229,24,0
2,0,1,0.5,0.68,1356,24,0
2,1,1,0.5,0.693,1155,24,1
2,0,0,0.5,0.67,1365,24,1
2,0,0,1,0.623,1045,60,1
2,0,0,0.5,0.769,1316,24,1
2,0,0,1,0.593,2014,60,1
2,1,1,NaN,0.505,NaN,60,1
