Subj_idx,Stimulus,Response,Confidence,Visibility,RT_dec,contrast,Accuracy,Training,ScaleOrder
1,1,2,5.4025,7.1048,0.8794,2.2,0,0,Visibility first
1,2,2,1.1466,0.9575,0.7923,3.9,1,0,Visibility first
1,2,2,12.0231,12.0231,1.0125,5,1,0,Visibility first
1,2,2,12.0231,12.0231,0.6,5.5,1,0,Visibility first
1,1,1,8.2397,9.5638,0.9994,5,1,0,Visibility first
1,2,2,12.0231,12.0231,0.9847,6.9,1,0,Visibility first
1,2,2,12.0231,12.0231,1.0913,6.9,1,0,Visibility first
1,2,2,0.0117,0.0117,2.9509,0,1,0,Visibility first
1,2,2,12.0231,12.0231,1.3677,5.5,1,0,Visibility first
1,1,2,0.0117,0.0117,1.6274,0,0,0,Visibility first
1,1,2,-0.4619,-0.4619,1.6138,0,0,0,Visibility first
1,1,1,12.0231,12.0231,0.8412,5.5,1,0,Visibility first
1,2,2,12.0231,12.0231,0.9968,5,1,0,Visibility first
1,1,1,12.0231,12.0231,0.9555,3.9,1,0,Visibility first
1,1,2,-0.9348,-0.9348,1.2375,0,0,0,Visibility first
1,1,2,-9.7302,-5.4743,1.7389,0,0,0,Visibility first
1,1,2,-10.1085,-9.6356,1.557,3.9,0,0,Visibility first
1,2,2,12.0231,12.0231,1.3708,5.5,1,0,Visibility first
1,2,2,0.39,0.39,1.1111,5,1,0,Visibility first
1,1,2,-9.3519,-7.6496,0.7826,2.2,0,0,Visibility first
1,1,1,0.5792,0.5792,1.225,0,1,0,Visibility first
1,2,2,-4.6232,-4.6232,1.002,5,1,0,Visibility first
1,1,2,-4.9069,-3.8666,1.182,3.9,0,0,Visibility first
1,1,1,12.0231,12.0231,0.8425,6.9,1,0,Visibility first
1,1,1,12.0231,12.0231,0.7641,5.5,1,0,Visibility first
1,2,2,12.0231,12.0231,0.8107,6.9,1,0,Visibility first
1,2,2,12.0231,12.0231,0.9646,5.5,1,0,Visibility first
1,2,1,1.5249,2.2815,1.4004,2.2,0,0,Visibility first
1,2,2,11.077,12.0231,0.9197,3.9,1,0,Visibility first
1,2,2,5.1188,4.5513,1.0096,2.2,1,0,Visibility first
1,1,1,3.4164,3.7001,0.8781,2.2,1,0,Visibility first
1,1,1,12.0231,12.0231,0.6775,5.5,1,0,Visibility first
1,1,1,12.0231,12.0231,0.7802,5,1,0,Visibility first
1,1,1,12.0231,12.0231,2.1524,6.9,1,0,Visibility first
1,1,2,12.0231,2.849,1.1151,3.9,0,0,Visibility first
1,2,2,-5.8526,-1.6913,1.9394,0,1,0,Visibility first
1,1,2,-5.3798,-1.4076,1.4371,2.2,0,0,Visibility first
1,1,1,12.0231,12.0231,0.6691,5,1,0,Visibility first
1,1,1,0.39,12.0231,0.6464,5,1,0,Visibility first
1,2,1,12.0231,12.0231,0.7327,5,0,0,Visibility first
1,1,1,12.0231,12.0231,0.6285,6.9,1,0,Visibility first
1,2,2,10.9824,12.0231,0.7013,6.9,1,0,Visibility first
1,2,2,12.0231,12.0231,0.9059,5.5,1,0,Visibility first
1,2,2,5.7808,5.4971,1.2254,3.9,1,0,Visibility first
1,1,1,12.0231,12.0231,1.1418,5,1,0,Visibility first
1,1,1,12.0231,12.0231,1.0419,5.5,1,0,Visibility first
1,1,1,12.0231,12.0231,1.0035,5.5,1,0,Visibility first
1,1,1,12.0231,12.0231,0.9258,6.9,1,0,Visibility first
1,1,1,7.3886,6.4428,0.8308,2.2,1,0,Visibility first
1,2,1,7.5777,7.294,0.9345,0,0,0,Visibility first
1,2,1,-1.4076,-1.1239,1.3642,0,0,0,Visibility first
1,2,2,-6.4201,-2.3534,1.7657,3.9,1,0,Visibility first
1,2,2,-5.3798,-1.1239,0.899,0,1,0,Visibility first
1,1,2,-3.8666,-1.1239,1.421,0,0,0,Visibility first
1,2,2,-4.9069,-1.8805,0.8522,2.2,1,0,Visibility first
1,2,2,-3.8666,-2.6371,1.2247,0,1,0,Visibility first
1,1,1,12.0231,12.0231,1.1042,5.5,1,0,Visibility first
