Subj_idx,Stimulus,Response,Confidence,Correct,RT_dec,RT_conf
11,1,1,2,1,7.351646639,0.877505205
11,2,1,1,0,2.38361371,0.342790043
11,2,1,2,0,3.083741119,0.810612801
11,2,1,2,0,1.671810466,0.453924376
11,2,1,2,0,2.072584065,0.822445389
11,1,1,2,1,2.926203891,0.947571877
11,2,2,2,1,2.2717166,0.736361825
11,2,1,2,0,2.001584334,0.528698331
11,2,2,1,1,4.683656584,1.678296626
11,1,1,2,1,1.787153829,0.291693395
11,2,1,2,0,0.77383581,0.276073053
11,2,1,2,0,1.152165607,0.440522849
11,2,1,2,0,1.251673092,0.687191945
11,2,2,2,1,5.130211193,5.707308232
11,2,1,1,0,1.822237317,0.977784796
11,2,2,1,1,3.593100401,1.244431154
11,1,2,1,0,1.931630096,0.385337536
11,1,2,1,0,4.240450724,1.44396817
11,1,1,2,1,2.47700126,1.064701582
11,2,2,2,1,2.42184254,2.438690321
11,2,2,1,1,2.702885998,0.549778935
11,2,1,1,0,1.873195872,0.300041008
11,2,2,1,1,8.216420254,1.007488266
11,1,2,1,0,2.042361815,0.996796342
11,1,1,2,1,5.43477054,3.192245626
11,1,2,2,0,3.123748826,0.964212519
11,1,1,2,1,2.35412811,0.874242764
11,1,2,1,0,2.24343418,1.010680261
11,1,1,2,1,2.823494148,0.361746537
11,1,1,2,1,1.625984669,0.429338736
11,1,1,2,1,0.983909863,0.265536017
11,1,1,2,1,1.1334769,0.459693481
11,1,1,2,1,3.986129144,1.053736272
11,2,1,2,0,2.314398921,0.273542597
11,1,1,2,1,2.881319551,1.584219079
11,2,1,2,0,0.937159871,0.334188171
11,1,1,2,1,1.401453799,0.77994035
11,1,1,2,1,1.646363612,0.531658928
11,1,1,2,1,3.250412062,1.442656289
11,2,2,1,1,1.619057172,0.420229747
11,1,1,1,1,2.332545054,0.923500819
11,2,1,2,0,2.211936438,0.422310469
11,1,1,2,1,1.00109961,0.249835432
12,2,2,1,1,3.323772899,0.029446411
12,2,1,1,0,1.727755288,1.81230537
12,2,2,1,1,1.022361694,0.03068598
12,1,1,2,1,2.013776617,0.382013513
12,1,2,1,0,1.603002957,0.154976447
12,2,2,1,1,2.132144025,0.099746348
12,1,1,2,1,0.654386054,0.114982736
12,1,2,1,0,1.541874058,2.435831428
12,1,1,2,1,0.803781875,0.082050416
12,2,2,1,1,0.930587403,0.000383954
12,1,1,2,1,2.480790413,2.031228554
12,2,1,2,0,2.06231575,0.635182299
12,1,2,1,0,1.378062008,0.000308843
12,2,1,2,0,1.97208054,0.300999726
12,2,2,1,1,1.585363475,0.671905638
12,2,2,1,1,1.191161411,-0.023879314
12,1,1,2,1,0.75207454,0.044889472
12,1,2,1,0,1.611893144,0.000374623
12,2,1,1,0,3.131183907,1.824189277
12,2,1,2,0,1.881654519,1.417528075
12,2,2,1,1,3.551018504,1.865058664
12,2,2,1,1,1.507049961,0.097013884
12,2,2,1,1,1.316905584,0.150623727
12,1,1,2,1,0.586287671,0.040641721
12,2,2,1,1,2.721413286,0.16638776
12,1,2,1,0,1.89371804,1.242137694
12,1,2,1,0,1.16217873,0.00984284
12,2,1,2,0,1.784608911,1.836981983
12,1,2,1,0,1.676791135,0.11654561
12,2,1,2,0,0.942468044,0.000378355
12,1,1,2,1,0.923557269,0.08268443
12,2,1,1,0,2.458773485,2.148999737
12,1,1,2,1,2.19665293,1.361994731
12,1,1,2,1,2.105346568,3.995386956
12,2,1,2,0,0.711610567,0.024010876
12,2,1,2,0,1.281291652,0.773473317
12,1,1,1,1,2.631095966,1.255162733
12,1,1,2,1,0.901966749,0.030523162
12,1,1,2,1,4.031292002,0.383202697
12,1,1,2,1,1.016199305,0.976146811
12,1,1,1,1,4.034250266,2.389424802
12,1,2,1,0,0.928840716,0.099413246
12,2,1,2,0,1.566308543,0.450258854
12,2,1,2,0,3.731877077,3.384686261
13,2,1,1,0,2.338798416,0.360022711
13,1,1,2,1,3.750908683,0.195265938
13,2,1,2,0,1.803403986,0.254012737
13,1,1,2,1,13.72696265,1.108268443
13,1,2,2,0,7.619412201,0.255430054
13,1,1,2,1,6.207790857,0.31137441
