Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,Accuracy
100,2,2,3.23125,1.116,0.837,0.56,1
100,2,2,4.0625,0.616,0.604,0.54,1
100,1,2,3.7375,0.966,0.804,0.56,0
100,1,1,3.91875,1.116,0.437,0.58,1
100,2,2,3.7625,0.933,1.237,0.56,1
100,2,2,4.55,0.433,0.852,0.54,1
100,2,2,4.91875,0.55,0.853,0.52,1
100,2,2,2.775,1.284,0.47,0.5,1
100,2,2,4,1.166,0.937,0.48,1
100,1,1,2.3,0.767,0.554,0.46,1
100,1,1,3.84375,1.183,0.52,0.44,1
100,1,1,3.94375,1.733,0.954,0.42,1
100,1,1,1,1.283,1.403,0.4,1
100,2,2,2.9125,1.216,0.771,0.38,1
100,1,2,4.2375,0.349,0.603,0.4,0
100,1,2,3.76875,0.933,0.954,0.42,0
100,1,2,3.5,1.366,0.337,0.44,0
100,2,2,2.09375,NaN,1.786,0.46,1
100,2,1,3.8,1.35,0.637,0.48,0
100,2,2,3.5875,0.599,0.787,0.5,1
100,1,2,4.15625,1.133,0.72,0.52,0
100,1,2,2.3875,1.166,0.986,0.54,0
100,2,2,5.10625,0.416,0.836,0.56,1
100,1,2,4.38125,0.716,0.719,0.58,0
100,1,2,3.04375,0.7,0.737,0.6,0
100,2,2,3.9875,1.849,0.636,0.62,1
100,2,2,4.125,1.116,0.803,0.6,1
100,2,2,5.51875,0.367,1.036,0.58,1
100,2,2,3.85,0.6,0.904,0.56,1
100,1,1,5.00625,0.65,1.236,0.54,1
100,2,2,4.575,0.767,1.686,0.52,1
100,2,2,4.59375,0.366,1.136,0.5,1
100,2,2,3.9,0.917,0.686,0.48,1
100,2,2,3.86875,0.483,1.087,0.46,1
100,1,1,3.8375,1.383,1.021,0.44,1
100,1,1,2.73125,1.416,0.554,0.42,1
100,2,2,2.90625,0.85,0.721,0.4,1
100,2,2,4.49375,0.483,0.853,0.38,1
100,2,1,4.33125,1.249,1.303,0.4,0
100,2,2,3.73125,0.5,0.853,0.42,1
100,2,2,3.98125,0.583,0.672,0.4,1
100,1,1,2.8375,1.999,1.154,0.38,1
100,1,2,3.91875,0.7,0.454,0.4,0
100,2,2,2.3625,0.816,1.203,0.42,1
100,2,2,3.88125,0.634,0.803,0.4,1
100,1,2,3.9875,0.767,1.337,0.42,0
100,1,2,4.3875,0.417,0.77,0.44,0
100,1,2,2.94375,0.866,0.421,0.46,0
100,2,1,2.0125,1.3,1.487,0.48,0
100,2,1,3.5,0.767,0.421,0.5,0
100,2,2,5.23125,0.417,1.22,0.52,1
100,2,2,4.24375,0.916,1.204,0.5,1
100,1,1,4.16875,0.849,1.487,0.48,1
100,1,2,4.1625,0.45,1.403,0.5,0
100,1,2,2.5375,1.466,0.587,0.52,0
100,1,2,4.03125,0.9,0.57,0.54,0
100,2,2,2.58125,1.033,0.853,0.56,1
100,1,2,1.38125,1.033,0.97,0.58,0
100,2,1,2.4,1.266,1.22,0.6,0
100,2,2,4.73125,0.583,0.971,0.62,1
100,1,1,1.7125,0.917,1.302,0.6,1
100,1,2,4.25625,0.849,0.853,0.62,0
100,2,2,6,0.466,1.819,0.64,1
100,2,2,4.54375,0.633,1.104,0.62,1
100,2,2,4.7875,0.45,1.919,0.6,1
100,1,2,2.625,0.9,0.603,0.62,0
100,2,2,4.06875,0.5,0.769,0.64,1
100,1,1,5.475,0.566,1.519,0.62,1
100,2,2,5.13125,0.55,1.387,0.6,1
100,2,2,4.575,0.317,1.103,0.58,1
100,2,1,4.30625,0.95,0.937,0.6,0
100,1,1,2.95,0.95,0.669,0.62,1
100,2,2,3.99375,0.616,0.837,0.6,1
100,2,2,5.26875,0.35,1.103,0.58,1
100,2,2,4.7875,0.6,0.903,0.56,1
100,2,2,3.06875,0.883,0.503,0.54,1
100,2,1,2.2,1.233,0.889,0.56,0
100,1,2,2.5875,0.816,0.803,0.58,0
100,1,2,3.5,0.483,0.553,0.6,0
100,2,1,3.49375,0.916,0.987,0.62,0
100,2,2,3.5,1.166,0.753,0.64,1
100,1,2,5.00625,1.55,1.453,0.66,0
100,1,1,4.3375,0.683,0.703,0.68,1
100,1,2,2.16875,0.5,0.92,0.7,0
100,2,2,4.45,0.4,0.903,0.72,1
100,1,2,2.75625,0.8,0.803,0.74,0
100,1,2,1.68125,0.7,0.82,0.76,0
100,2,2,5.00625,0.366,0.97,0.78,1
100,2,2,1.73125,0.601,0.853,0.76,1
100,1,1,4.53125,1.033,0.836,0.74,1
