Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difference,Condition,Task
1,2,2,1,2.153,0.3818,13,1,2
1,2,2,1,3.7664,0.37294,23,2,2
1,1,1,1,2.2583,0.36881,13,1,2
1,2,2,2,2.9897,0.96072,23,2,2
1,2,2,1,1.902,0.36706,8,1,2
1,1,2,1,2.0096,0.33725,8,1,2
1,2,1,2,2.0126,0.37668,18,2,2
1,2,2,1,2.0754,0.31364,13,1,2
1,1,1,1,2.0899,0.31997,13,1,2
1,1,2,1,2.0344,0.3013,8,1,2
1,2,1,4,1.4876,1.8723,23,2,2
1,1,1,5,2.0905,1.15,28,2,2
1,1,1,5,2.1095,1.4609,28,2,2
1,1,2,6,2.8323,0.44067,23,2,2
1,1,1,5,2.035,0.48032,28,2,2
1,2,2,6,5.0715,1.6746,28,2,2
1,2,2,5,1.462,0.39814,13,1,2
1,2,2,5,2.1631,0.35804,13,1,2
1,2,2,5,1.8443,0.35881,23,2,2
1,2,1,5,2.0699,0.29074,23,2,2
1,2,2,6,2.4288,0.48301,28,2,2
1,2,2,2,2.0455,1.0315,18,3,2
1,1,1,4,4.0924,1.3274,18,3,2
1,1,2,1,1.8999,0.32711,13,3,2
1,2,2,5,2.4291,0.21937,18,3,2
1,2,2,3,1.8935,0.36065,18,3,2
1,2,2,1,1.9257,0.16578,13,3,2
1,2,2,1,2.1829,1.9856,13,3,2
1,1,1,1,2.0577,0.26083,8,3,2
1,2,1,1,2.8632,0.47097,8,3,2
1,2,2,1,2.1877,0.33494,13,3,2
1,2,1,1,2.1606,0.41065,13,3,2
1,1,2,2,1.8245,0.20635,18,3,2
1,1,1,2,1.8579,0.4633,23,3,2
1,2,2,3,3.2695,0.50588,23,3,2
1,1,1,4,2.073,0.40505,18,3,2
1,2,2,2,1.9279,0.5307,18,3,2
1,1,2,1,1.9513,0.35028,13,3,2
