Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difficulty,Accuracy
17,p23_rpm.gif,Option 7,100,71.787,2.373,12,1
17,p25_rpm.gif,Option 8,80,37.6,2.296,13,1
17,p27_rpm.gif,Option 5,40,32.927,2.538,14,0
17,p29_rpm.gif,Option 8,60,68.877,2.076,15,0
17,p31_rpm.gif,Option 5,80,50.123,1.527,16,1
17,p33_rpm.gif,Option 6,100,83.314,1.928,17,1
17,p34_rpm.gif,Option 7,0,51.948,2.687,18,0
17,p35_rpm.gif,Option 4,40,59.011,1.26,19,1
17,p36_rpm.gif,Option 9,0,72.867,1.513,20,0
18,p1_rpm.gif,Option 6,40,63.997,4.286,1,1
18,p3_rpm.gif,Option 8,80,12.326,2.704,2,1
18,p5_rpm.gif,Option 4,80,14.902,2.273,3,1
18,p7_rpm.gif,Option 3,20,22.553,1.523,4,0
18,p9_rpm.gif,Option 9,80,6.68,2.636,5,1
18,p11_rpm.gif,Option 6,100,22.02,1.298,6,1
18,p13_rpm.gif,Option 7,100,24.778,1.25,7,0
18,p15_rpm.gif,Option 2,80,29.418,1.984,8,0
18,p17_rpm.gif,Option 7,100,13.676,0.344,9,1
18,p19_rpm.gif,Option 4,80,33.228,1.563,10,1
18,p21_rpm.gif,Option 4,20,36.639,1.902,11,0
18,p23_rpm.gif,Option 9,60,42.436,2.122,12,0
18,p25_rpm.gif,Option 3,40,30.654,1.708,13,0
18,p27_rpm.gif,Option 2,0,55.345,0.973,14,0
18,p29_rpm.gif,Option 7,60,64.958,0.522,15,1
18,p31_rpm.gif,Option 4,0,49.583,1.807,16,0
18,p33_rpm.gif,Option 8,60,44.512,0.364,17,0
18,p34_rpm.gif,Option 4,40,8.93,1.348,18,0
18,p35_rpm.gif,Option 2,80,19.312,1.643,19,0
18,p36_rpm.gif,Option 8,80,44.547,1.861,20,0
19,p1_rpm.gif,Option 6,80,11.76,8.353,1,1
19,p3_rpm.gif,Option 8,100,11.806,2.589,2,1
19,p5_rpm.gif,Option 4,100,10.521,1.691,3,1
19,p7_rpm.gif,Option 3,100,26.745,1.467,4,0
19,p9_rpm.gif,Option 9,100,6.612,1.706,5,1
19,p11_rpm.gif,Option 6,100,8.362,1.546,6,1
19,p13_rpm.gif,Option 6,100,25.927,0.53,7,0
19,p15_rpm.gif,Option 3,100,12.041,0.678,8,1
19,p17_rpm.gif,Option 7,80,21.686,2.553,9,1
19,p19_rpm.gif,Option 4,80,34.821,0.708,10,1
19,p21_rpm.gif,Option 5,40,91.512,3.957,11,0
19,p23_rpm.gif,Option 9,60,68.871,1.541,12,0
19,p25_rpm.gif,Option 2,40,50.002,1.53,13,0
19,p27_rpm.gif,Option 4,20,39.879,1.597,14,0
19,p29_rpm.gif,Option 8,0,48.231,1.438,15,0
19,p31_rpm.gif,Option 5,60,63.804,3.557,16,1
19,p33_rpm.gif,Option 6,80,25.674,3.167,17,1
19,p34_rpm.gif,Option 2,60,21.258,2.016,18,1
19,p35_rpm.gif,Option 2,20,65.176,0.731,19,0
19,p36_rpm.gif,Option 6,0,67.135,1.819,20,0
20,p1_rpm.gif,Option 6,60,47.57,12.727,1,1
20,p3_rpm.gif,Option 8,60,10.767,3.583,2,1
20,p5_rpm.gif,Option 4,40,14.515,2.429,3,1
20,p7_rpm.gif,Option 7,20,46.831,1.669,4,1
20,p9_rpm.gif,Option 4,20,37.029,4.932,5,0
20,p11_rpm.gif,Option 8,60,14.155,1.739,6,0
20,p13_rpm.gif,Option 6,60,19.802,2.647,7,0
20,p15_rpm.gif,Option 3,40,38.137,1.579,8,1
20,p17_rpm.gif,Option 7,60,14.096,3.203,9,1
20,p19_rpm.gif,Option 4,60,11.221,1.339,10,1
20,p21_rpm.gif,Option 9,40,18.649,1.077,11,1
20,p23_rpm.gif,Option 7,40,28.958,1.167,12,1
20,p25_rpm.gif,Option 2,0,57.786,1.699,13,0
20,p27_rpm.gif,Option 8,0,46.978,0.843,14,1
