"Subj_idx","Stimulus","Response","Confidence","RT_dec","RT_conf","Difficulty","Condition"
"1",1,1,78.3024088541667,2.43,2.065879086,0.21,"incongruent"
"1",0,1,84.2523871527778,0.632,1.049188984,-0.26,"incongruent"
"1",1,0,96.3888888888889,0.785,1.049207021,0.16,"congruent"
"1",1,1,78.3572048611111,1.356,1.133009218,0.16,"congruent"
"1",0,1,84.9972873263889,0.684,1.149417488,-0.26,"incongruent"
"1",0,1,68.8948567708333,1.204,1.165536373,-0.21,"incongruent"
"1",1,0,41.2782118055556,1.35,0.915647168,0.21,"incongruent"
"1",0,0,62.1034071180556,2.692,1.182701117,-0.16,"incongruent"
"1",1,0,45.3206380208333,0.867,0.882151702,0.21,"congruent"
"1",1,1,32.8748914930556,1.204,1.266004639,0.21,"incongruent"
"1",1,0,76.6444227430556,1.447,1.098998284,0.26,"incongruent"
"1",0,1,92.1451822916667,0.755,2.950052773,-0.21,"congruent"
"1",1,1,94.7781032986111,0.928,0.832758491,0.26,"incongruent"
"1",0,1,77.9378255208333,0.732,0.849279426,-0.16,"congruent"
"1",0,1,83.9680989583333,1.154,1.516306248,-0.31,"incongruent"
"1",1,0,12.2705078125,0.953,1.399056822,0.16,"congruent"
"1",1,1,77.4837239583333,1.485,0.998703751,0.16,"congruent"
"1",1,0,76.7518446180556,1.362,1.599371969,0.31,"incongruent"
"1",1,0,48.9708116319444,1.593,1.215353276,0.26,"incongruent"
"1",0,1,94.6066623263889,1.37,1.382606234,-0.21,"congruent"
"1",0,1,73.1049262152778,0.699,1.399174241,-0.26,"incongruent"
"1",1,0,35.7194010416667,1.794,2.034898909,0.21,"congruent"
"1",1,1,46.4572482638889,1.341,1.132960509,0.35,"incongruent"
"1",0,1,83.6545138888889,0.64,1.065480025,-0.16,"congruent"
"1",0,1,94.2290581597222,0.765,1.38273647,-0.16,"congruent"
"1",1,1,72.4435763888889,1.899,1.566199634,0.16,"congruent"
"1",0,1,76.1604817708333,1.255,1.065299806,-0.21,"congruent"
"1",1,0,25.3700086805556,4.778,1.666464254,0.21,"congruent"
"1",1,1,95.1985677083333,0.578,1.382734256,0.16,"congruent"
"1",1,0,44.8350694444444,1.261,1.965991762,0.21,"congruent"
