Subj_idx,Stimulus,Response,Confidence,RT_decConf,difficulty,Accuracy,Training
1,2,1,0.1825,2.9661,0.0667,0,0
1,2,2,-0.2735,3.0661,0.0667,1,0
1,2,1,-0.375,3.5657,0.1333,0,0
1,1,2,-0.0391,3.0827,0.0083,0,0
1,1,1,-0.4297,2.9494,0.0083,1,0
1,2,2,-0.0235,2.6242,0.0083,1,0
1,2,1,0.0873,3.8575,0.0667,0,0
1,1,2,0,2.4078,0.0083,0,0
1,1,1,0.127,11.1238,0.0333,1,0
1,2,2,0.0952,3.0789,0.1333,1,0
1,2,2,-0.3985,3.6491,0.0167,1,0
1,2,1,-0.0235,3.2323,0.1333,0,0
1,2,2,0.0238,2.9077,0.0167,1,0
1,1,1,-0.4297,3.6992,0.0667,1,0
1,2,1,0.4683,3.0075,0.0083,0,0
1,2,2,0.0397,2.8744,0.0083,1,0
1,2,2,-0.5703,8.8238,0.1333,1,0
1,1,1,0,4.3908,0.0333,1,0
1,2,2,0.0318,2.7075,0.0667,1,0
1,2,1,-0.2735,3.6908,0.1333,0,0
1,2,2,-0.4688,3.4994,0.0167,1,0
1,1,1,-0.2969,3.5908,0.0333,1,0
1,1,1,0.246,3.8991,0.0167,1,0
1,1,2,0.3095,5.024,0.1333,0,0
1,1,2,-0.2813,3.6411,0.0167,0,0
1,2,1,-0.4297,2.9327,0.0083,0,0
1,2,2,-0.0469,2.4245,0.0333,1,0
1,2,1,0.3254,3.8991,0.1333,0,0
1,2,2,-0.4219,3.6827,0.0083,1,0
1,2,1,-0.586,3.3242,0.0667,0,0
1,1,2,-0.1016,3.1244,0.0333,0,0
1,1,2,-0.4219,3.9576,0.0333,0,0
1,1,1,-0.4844,3.0494,0.0667,1,0
1,1,1,0.0318,2.7075,0.0667,1,0
1,1,1,0.2381,2.6741,0.0083,1,0
1,1,1,-0.125,2.4242,0.0083,1,0
1,1,1,-0.3203,3.0742,0.0667,1,0
1,2,1,0,3.2909,0.0167,0,0
1,1,1,-0.2735,2.6161,0.0083,1,0
1,1,1,0.1111,2.8158,0.0333,1,0
1,1,2,0.0238,3.9658,0.1333,0,0
1,1,2,-0.2188,2.4078,0.0667,0,0
1,1,1,-0.1641,3.1661,0.0167,1,0
1,2,2,-0.086,4.6824,0.0667,1,0
1,2,1,0.4127,3.3908,0.1333,0,0
1,2,2,-0.3203,4.316,0.0167,1,0
1,1,2,0.1429,7.8156,0.1333,0,0
1,2,1,-0.1875,3.3827,0.0667,0,0
1,2,2,-0.1016,3.1494,0.1333,1,0
1,2,1,-0.2578,3.3908,0.0667,0,0
1,1,2,-0.0235,2.541,0.0167,0,0
1,2,1,0.4683,3.1744,0.0083,0,0
1,2,2,0,2.7577,0.0667,1,0
1,1,2,-0.2578,2.3825,0.0333,0,0
1,2,1,-0.0625,8.6407,0.1333,0,0
1,2,2,0,2.6828,0.0333,1,0
1,1,2,-0.4219,2.8492,0.0083,0,0
1,1,1,0.1905,4.191,0.0083,1,0
1,2,1,-0.586,3.9824,0.0167,0,0
1,1,2,0,4.6077,0.0333,0,0
1,1,2,-0.5703,2.1911,0.0333,0,0
1,1,1,0.2143,3.2827,0.0083,1,0
1,1,2,0.3492,4.2658,0.0083,0,0
1,1,2,-0.2735,2.8661,0.1333,0,0
1,2,1,-0.0391,3.566,0.0333,0,0
1,1,2,-0.0391,3.1744,0.0167,0,0
1,1,1,-0.375,2.7744,0.0333,1,0
1,2,1,0.3333,2.8659,0.0167,0,0
1,1,2,-0.0703,2.9078,0.0667,0,0
1,1,2,-0.3594,3.5705,0.0167,0,0
1,1,1,0,3.4327,0.0167,1,0
1,2,1,-0.6094,2.8325,0.0333,0,0
1,1,2,-0.0235,3.3827,0.1333,0,0
1,2,1,0.0714,3.2161,0.0083,0,0
1,1,2,0,2.8244,0.0083,0,0
1,2,1,0.3254,3.1411,0.1333,0,0
1,1,2,-0.3828,3.441,0.0083,0,0
1,1,1,0.2698,3.4994,0.0083,1,0
1,1,2,-0.3594,3.9158,0.0167,0,0
1,2,2,-0.3438,3.3577,0.1333,1,0
1,1,1,-0.1875,3.8575,0.1333,1,0
1,1,2,0.3254,4.5657,0.0083,0,0
1,1,1,0.2619,3.866,0.0667,1,0
1,2,2,-0.2344,3.8658,0.0667,1,0
1,1,1,0.1587,3.7491,0.0167,1,0
1,1,1,-0.2578,3.9491,0.0667,1,0
1,2,2,-0.0391,4.4908,0.1333,1,0
1,2,1,0,3.7908,0.1333,0,0
1,1,2,-0.3985,3.891,0.0167,0,0
1,2,1,0.1429,3.2411,0.0667,0,0
1,1,1,-0.4297,10.8156,0.0167,1,0
1,1,2,-0.0625,3.2575,0.1333,0,0
1,1,1,0.2937,3.3244,0.0667,1,0
1,1,2,0,2.9325,0.0083,0,0
1,1,2,-0.1953,2.5578,0.0667,0,0
1,2,2,-0.4844,14.1487,0.0083,1,0
1,2,1,0.0952,4.4907,0.0333,0,0
1,2,1,-0.25,3.5577,0.0667,0,0
1,2,1,0.127,3.3327,0.0083,0,0
1,2,2,0,2.9077,0.0333,1,0
1,1,2,-0.2578,3.0742,0.0333,0,0
1,2,1,-0.4219,8.2074,0.0083,0,0
1,2,2,0.2778,3.6077,0.0333,1,0
1,1,1,-0.8047,12.4069,0.0167,1,0
1,1,1,0,2.9075,0.0667,1,0
1,1,1,-0.3828,3.0408,0.0167,1,0
1,2,1,0.2143,6.9656,0.1333,0,0
1,2,2,-0.3438,3.716,0.0083,1,0
1,2,1,0.3651,3.4658,0.0667,0,0
1,1,2,-0.1953,3.2744,0.0083,0,0
1,1,2,-0.5703,16.9902,0.0333,0,0
1,1,1,0.1587,3.9244,0.0333,1,0
1,1,1,-0.25,2.7742,0.0167,1,0
1,2,1,0.3254,3.2992,0.0083,0,0
1,2,2,-0.0625,2.5244,0.0333,1,0
1,2,2,-0.4922,2.6909,0.0333,1,0
