Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Trial_number,Skin_site,raw_Confidence_NotReverseCoded,raw_Response,logTransformed_RT_dec_NaNOutlier,logTransformed_RT_conf_NaNOutlier
10,45.5,4.48,74.65,1889,3340,13,5,25.35,4.48,7.543802868,8.113726086
10,45.5,4.96,81.45,3373,1465,14,6,18.55,4.96,8.123557835,7.289610521
10,48.5,7.95,95.84,2346,14064,15,7,4.16,7.95,7.760467029,9.55137362
10,42.5,3,81.29,1909,2292,16,8,18.71,3,7.554334824,7.737180078
10,48.5,6.97,71.25,4770,3627,17,1,28.75,6.97,8.470101584,8.196161139
10,48.5,7.43,90.38,2520,4253,18,2,9.62,7.43,7.832014181,8.355379895
10,45.5,4.97,76.71,1791,1623,19,3,23.29,4.97,7.490529402,7.392031568
10,42,0.98,86.19,1749,3041,20,4,13.81,0.98,7.466799475,8.019941688
10,48.5,6.95,90.62,1596,2089,21,5,9.38,6.95,7.375255778,7.644440762
10,42.5,1.92,81.21,1305,2254,22,6,18.79,1.92,7.17395832,7.720461695
10,45.5,2.45,70.7,2728,4093,23,7,29.3,2.45,7.911324019,8.317033476
10,45.5,3.97,81.14,1304,3248,24,8,18.86,3.97,7.173191742,8.085794701
11,41,1,100,15062,2219,1,1,-12.83,1,9.619930295,7.704811923
11,44,2.43,95.76,12159,3710,2,2,4.24,2.43,9.405824915,8.218787156
11,47,3.48,98.13,6291,1346,3,3,1.87,3.48,8.74687532,7.20489251
11,48,4.5,95.68,10041,1796,4,4,4.32,4.5,9.21443199,7.493317249
11,43,1.48,100,3361,3249,5,5,-3.66,1.48,8.119993828,8.086102536
11,50,6.96,100,2902,1245,6,6,-10.94,6.96,7.973155433,7.126890809
11,43.5,1.46,100,5686,957,7,7,-18.45,1.46,8.645762292,6.863803391
11,50,6.99,100,10722,1241,8,8,-6.98,6.99,9.280052984,7.123672785
11,48,6.43,100,5749,1653,9,1,-0.74,6.43,8.656781206,7.410347098
11,43.5,1.48,100,2617,856,10,2,-17.89,1.48,7.869783903,6.752270376
11,44,1.8,100,1764,3518,11,3,-16.94,1.8,7.475339237,8.165647925
11,50,7.41,100,17881,880,12,4,-18.05,7.41,9.791493976,6.779921907
11,47.5,6.96,100,1138,593,13,5,-13.55,6.96,7.037027615,6.385194399
11,47.5,3,100,1881,950,14,6,-5.17,3,7.539558829,6.856461985
11,50,7.96,100,18506,3136,15,7,-5.17,7.96,9.825850283,8.050703381
11,44,1.83,100,4339,2397,16,8,-0.42,1.83,8.375399186,7.781973234
11,50,8.28,100,2069,3059,17,1,-0.98,8.28,7.634820678,8.025843344
11,50,7.93,100,10700,1425,18,2,-0.42,7.93,9.27799902,7.261927093
11,47,5.97,NaN,1527,8063,19,3,-4.14,5.97,7.331060305,NaN
11,44,1.95,100,2048,2193,20,4,0.21,1.95,7.624618986,7.693025748
11,50,8.19,100,3214,1525,21,5,-6.35,8.19,8.075271546,7.329749689
11,44,1.5,100,1646,945,22,6,-18.53,1.5,7.406103381,6.851184927
11,47,1.78,100,1478,967,23,7,-5.48,1.78,7.298445102,6.874198495
11,47,5.47,100,3353,1776,24,8,0.05,5.47,8.117610746,7.482118924
12,41,1.36,90.94,4291,5456,1,1,9.06,1.36,8.364275085,8.6044712
12,44,1.6,95.29,2687,1860,2,2,4.71,1.6,7.896180609,7.528331767
12,47,2.6,75.92,2006,2372,3,3,24.08,2.6,7.603897969,7.77148876
12,48,3.14,70.94,3368,2381,4,4,29.06,3.14,8.122074375,7.775275846
12,44,1.66,88.33,3132,1786,5,5,11.67,1.66,8.049427057,7.487733761
12,50,5,93.23,2464,2445,6,6,6.77,5,7.809541325,7.801800402
12,44,2.61,96.71,1519,5101,7,7,3.29,2.61,7.325807503,8.537191878
12,50,5.97,100,1625,1837,8,8,-1.06,5.97,7.393263095,7.515889085
12,48.5,1.98,92.52,2256,2714,9,1,7.48,1.98,7.721348613,7.90617884
12,44,1.43,87.06,2270,885,10,2,12.94,1.43,7.72753511,6.785587645
12,44,1.78,93.62,2284,1688,11,3,6.38,1.78,7.733683571,7.431299675
12,50,4.7,82.24,1507,1509,12,4,17.76,4.7,7.317876199,7.319202459
12,49,2.97,86.59,2568,1336,13,5,13.41,2.97,7.850882665,7.197435354
12,49,3.34,91.49,1263,2293,14,6,8.51,3.34,7.141245122,7.737616283
12,50,4.96,62.64,3027,1496,15,7,37.36,4.96,8.015327309,7.310550159
12,44.5,1.6,99,1895,1836,16,8,1,1.6,7.546974118,7.515344571
12,50,4.98,90.7,1623,1874,17,1,9.3,4.98,7.392031568,7.535830463
12,50,4.59,95.36,1909,1812,18,2,4.64,4.59,7.554334824,7.502186487
12,49,3.97,86.83,2222,1725,19,3,13.17,3.97,7.70616297,7.452982329
12,44.5,0.95,100,2387,640,20,4,-8.88,0.95,7.777792626,6.461468176
12,50,2.82,100,2034,1861,21,5,-1.85,2.82,7.617759577,7.528869257
12,45,1.16,94.18,2589,2796,22,6,5.82,1.16,7.85902698,7.935945103
12,48.5,2.77,98.76,1298,977,23,7,1.24,2.77,7.168579897,6.884486652
12,49,4,87.93,2368,1201,24,8,12.07,4,7.769800996,7.090909822
13,41,1.89,90.78,1736,2294,1,1,9.22,1.89,7.459338895,7.738052298
13,44,1.81,85.56,2527,4061,2,2,14.44,1.81,7.834788107,8.309184528
13,47,2.72,84.61,2965,2200,3,3,15.39,2.72,7.994632311,7.696212639
13,48.5,3.08,80.98,3166,2375,4,4,19.02,3.08,8.06022424,7.772752716
13,43,1.73,81.77,2374,3528,5,5,18.23,1.73,7.772331575,8.168486417
13,50,3.77,84.53,2791,2047,6,6,15.47,3.77,7.934155234,7.624130586
13,43.5,1.83,80.11,3284,3214,7,7,19.89,1.83,8.096817471,8.075271546
13,50,4.75,NaN,3200,12501,8,8,23.85,4.75,8.070906089,NaN
13,48.5,3.99,81.61,3881,2392,9,1,18.39,3.99,8.263848131,7.779885115
13,44,1.74,91.02,2576,3618,10,2,8.98,1.74,7.853993087,8.193676666
13,44,1.87,86.12,2152,1608,11,3,13.88,1.87,7.674152921,7.38274645
13,50,3.15,80.9,2485,1878,12,4,19.1,3.15,7.818027939,7.53796266
13,48,2.62,82.32,4714,1775,13,5,17.68,2.62,8.458292083,7.481555702
13,34,0,100,2117,1921,14,6,-2.16,-1.35,7.657755271,7.560601163
13,50,3.95,77.02,3742,1780,15,7,22.98,3.95,8.227375507,7.484368643
13,38,0.38,70.54,4596,6890,16,8,29.46,0.38,8.432941639,8.837826364
13,50,4,66.35,3902,1118,17,1,33.65,4,8.269244521,7.019296654
13,50,4.47,84.85,2326,1939,18,2,15.15,4.47,7.751905333,7.569927655
13,48,3.29,85.96,2631,1292,19,3,14.04,3.29,7.875119281,7.163946684
13,43,0.98,95.52,2277,2817,20,4,4.48,0.98,7.730614066,7.943427768
13,50,3.9,80.82,2854,11249,21,5,19.18,3.9,7.956476798,9.328034515
13,44,1.03,100,2326,1456,22,6,-8.41,1.03,7.751905333,7.283448229
13,48.5,1.83,75.68,3548,1465,23,7,24.32,1.83,8.174139343,7.289610521
13,48.5,4.08,NaN,6625,1160,24,8,29.3,4.08,NaN,NaN
14,41,1,100,2513,4367,1,1,-1.53,1,7.829232538,8.381831553
14,44,1,100,2499,2355,2,2,-3.98,1,7.823645931,7.764296006
14,47,0.99,NaN,2499,5904,3,3,-0.98,0.99,7.823645931,NaN
14,45,1.02,100,3762,2009,4,4,-6.51,1.02,8.23270601,7.605392365
14,46,1,100,3596,2050,5,5,-14.34,1,8.187577396,7.625595072
14,48,1.01,100,4256,1615,6,6,-12.6,1.01,8.356085031,7.387090236
14,48,1,100,2513,2617,7,7,-0.42,1,7.829232538,7.869783903
14,50,1.97,100,2270,1913,8,8,-2.56,1.97,7.72753511,7.556427969
14,49,1.98,100,3708,2618,9,1,-3.03,1.98,8.218247927,7.870165946
14,48,1.47,100,2110,2247,10,2,-1.77,1.47,7.654443226,7.717351272
