Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,Training,Accuracy
5,2,2,4.99375,0.818,1.434,0.6375,0,1
5,2,2,2.13125,1.286,0.984,0.6375,0,1
5,2,2,4.85625,1.021,0.901,0.6375,0,1
5,2,2,6,0.755,1.018,0.6375,0,1
5,1,1,6,1.021,1.137,0.6375,0,1
5,1,1,4.0375,0.938,0.718,0.6375,0,1
5,1,1,6,0.557,1.084,0.6375,0,1
5,2,2,6,0.82,2.716,0.6375,0,1
5,2,1,6,0.67,1.949,0.6375,0,0
5,2,1,5.0125,2,2.495,0.6375,0,0
5,1,1,4.75625,0.756,1.036,0.6375,0,1
5,1,1,4.7125,0.822,2.466,0.6375,0,1
5,1,1,4.96875,0.478,1.983,0.6375,0,1
5,2,1,3.93125,1.087,0.935,0.6375,0,0
5,2,1,4.96875,0.753,1.733,0.6375,0,0
5,1,1,4.575,0.738,1.579,0.6375,0,1
5,2,2,4.8125,1.105,1.282,0.6375,0,1
5,2,2,5.04375,0.904,1.5,0.6375,0,1
5,2,1,2.15625,0.703,1.411,0.6375,0,0
5,1,1,3.975,1.137,0.767,0.6375,0,1
5,2,2,5.05625,1.053,1.966,0.6375,0,1
5,1,1,4.875,0.938,1.2,0.6375,0,1
5,2,2,4.96875,1.219,2.683,0.6375,0,1
5,2,2,5.99375,0.986,1.084,0.6375,0,1
5,2,2,5.13125,1.503,1.783,0.6375,0,1
5,1,1,4.93125,1.255,1.432,0.6375,0,1
5,1,1,6,0.421,0.8,0.6375,0,1
5,2,2,4.9875,0.888,1.467,0.6375,0,1
5,2,2,5,1.403,2.535,0.6375,0,1
5,1,2,5.30625,0.505,1.283,0.6375,0,0
5,1,1,4.14375,0.939,1.117,0.6375,0,1
5,2,2,4.94375,0.787,1.183,0.6375,0,1
5,2,2,4.94375,0.821,1.618,0.6375,0,1
5,2,1,3.7375,1.52,1.299,0.6375,0,0
5,1,1,6,1.004,1.283,0.6375,0,1
5,1,1,3.9625,1.953,1.85,0.6375,0,1
5,2,2,5.00625,0.855,1.183,0.6375,0,1
5,1,1,3.74375,1.254,1.682,0.6375,0,1
5,1,1,5.94375,1.304,2.132,0.6375,0,1
5,2,2,4,1.238,0.817,0.6375,0,1
5,1,1,4.89375,1.289,1.5,0.6375,0,1
5,2,2,5.05625,0.988,2.669,0.6375,0,1
5,2,1,3.75625,1.866,1.118,0.6375,0,0
5,1,1,4.9375,0.505,1.367,0.6375,0,1
5,2,1,1.9875,1.453,2.148,0.6375,0,0
5,1,1,4.0375,0.738,0.702,0.6375,0,1
5,1,1,6,1.007,1.201,0.6375,0,1
5,1,1,6,0.822,1.234,0.6375,0,1
5,1,1,4.925,0.788,1.3,0.6375,0,1
5,1,1,5.10625,0.74,0.916,0.6375,0,1
5,2,2,4.075,0.915,0.942,0.6375,0,1
5,1,1,5.04375,0.939,2.232,0.6375,0,1
5,1,1,5.025,0.99,1.782,0.6375,0,1
5,2,2,4.825,0.938,1.433,0.6375,0,1
5,1,1,3.79375,1.288,1.235,0.6375,0,1
5,2,2,5,0.938,1.403,0.6375,0,1
5,1,1,6,0.556,1.028,0.6375,0,1
5,2,2,5.00625,0.721,2.168,0.6375,0,1
5,1,1,6,1.005,1.567,0.6375,0,1
5,2,2,5.175,0.825,0.926,0.6375,0,1
5,1,1,5.1,1.022,0.834,0.6375,0,1
5,1,1,5.0375,1.088,1.034,0.6375,0,1
5,1,1,6,0.773,1.335,0.6375,0,1
5,1,1,4.575,1.005,1.084,0.6375,0,1
5,1,1,4.975,0.705,2.383,0.6375,0,1
5,1,1,6,0.972,1.084,0.6375,0,1
5,2,2,5.1,0.97,1.234,0.6375,0,1
5,1,1,5.20625,0.689,1.016,0.6375,0,1
5,2,1,2.23125,1.021,0.984,0.6375,0,0
5,1,1,4.725,1.105,0.613,0.6375,0,1
5,2,2,5.96875,1.158,1.428,0.6375,0,1
5,2,2,1.0125,2,1.832,0.6375,0,1
5,2,2,2.0125,1.104,1.069,0.6375,0,1
5,1,1,6,0.789,0.866,0.6375,0,1
5,2,2,5.9625,0.97,1.134,0.6375,0,1
5,2,2,5.03125,0.771,0.73,0.6375,0,1
5,1,1,6,0.773,1.299,0.6375,0,1
5,2,2,5.40625,0.87,1.017,0.6375,0,1
5,2,2,4.975,0.953,1.068,0.6375,0,1
5,1,1,4.38125,1.121,0.918,0.6375,0,1
5,1,1,4.325,0.988,0.568,0.6375,0,1
5,1,2,4.6,1.638,0.902,0.6375,0,0
5,2,1,3.86875,1.036,0.6,0.6375,0,0
5,1,1,4.16875,0.789,0.485,0.6375,0,1
5,1,1,4.03125,1.404,0.802,0.6375,0,1
5,2,2,5.18125,0.722,1.283,0.6375,0,1
5,2,2,4.98125,0.753,2.181,0.6375,0,1
5,1,1,4.99375,0.566,0.977,0.6375,0,1
5,2,2,5.06875,0.971,0.95,0.6375,0,1
5,2,2,4.93125,0.687,0.8,0.6375,0,1
24,2,1,NaN,0.802,NaN,1,1,0
24,2,1,NaN,0.757,NaN,0.5,1,0
24,1,1,NaN,0.539,NaN,0.5,1,1
24,2,2,NaN,0.771,NaN,0.55,1,1
24,1,2,NaN,0.856,NaN,1,1,0
24,2,2,NaN,0.72,NaN,1.05,1,1
24,1,1,NaN,0.422,NaN,0.5,1,1
24,1,2,NaN,1.105,NaN,0.5,1,0
24,1,2,NaN,0.903,NaN,1.1,1,0
24,1,2,NaN,0.823,NaN,1.15,1,0
24,1,1,NaN,0.427,NaN,0.55,1,1
24,1,2,NaN,0.905,NaN,0.6,1,0
24,2,1,NaN,0.555,NaN,0.65,1,0
24,1,1,NaN,0.471,NaN,0.7,1,1
24,1,2,NaN,0.539,NaN,0.75,1,0
24,1,1,NaN,0.58,NaN,0.8,1,1
24,1,1,NaN,0.322,NaN,0.85,1,1
24,2,2,NaN,0.602,NaN,0.8,1,1
24,2,2,NaN,0.571,NaN,0.75,1,1
24,1,1,NaN,0.373,NaN,0.7,1,1
24,1,1,NaN,0.526,NaN,1.2,1,1
24,2,2,NaN,0.637,NaN,1.25,1,1
24,1,1,NaN,0.356,NaN,0.65,1,1
24,1,1,NaN,0.456,NaN,1.2,1,1
24,1,1,NaN,0.606,NaN,1.15,1,1
24,2,2,NaN,0.853,NaN,1.1,1,1
24,1,1,NaN,0.739,NaN,1.05,1,1
24,1,1,NaN,0.671,NaN,0.6,1,1
24,2,1,NaN,0.906,NaN,0.55,1,0
24,1,1,NaN,1.005,NaN,0.6,1,1
24,2,2,NaN,1.148,NaN,0.65,1,1
24,2,1,NaN,0.953,NaN,0.6,1,0
24,2,1,NaN,1.069,NaN,1,1,0
24,2,2,NaN,0.803,NaN,1.05,1,1
24,1,1,NaN,0.755,NaN,1.1,1,1
24,1,2,NaN,0.656,NaN,0.65,1,0
24,2,2,NaN,0.641,NaN,0.7,1,1
24,1,1,NaN,0.523,NaN,1.05,1,1
24,2,2,NaN,0.58,NaN,0.75,1,1
24,2,2,NaN,0.553,NaN,0.7,1,1
24,2,2,NaN,1.004,NaN,0.65,1,1
24,2,1,NaN,0.854,NaN,1,1,0
24,2,2,NaN,0.548,NaN,0.6,1,1
24,1,1,NaN,0.689,NaN,0.55,1,1
24,1,2,NaN,0.872,NaN,0.5,1,0
24,2,1,NaN,0.67,NaN,1.05,1,0
24,2,2,NaN,0.716,NaN,0.55,1,1
24,1,1,NaN,0.773,NaN,0.6,1,1
24,2,2,NaN,1.02,NaN,0.55,1,1
24,2,1,NaN,0.835,NaN,0.5,1,0
24,2,2,NaN,0.753,NaN,0.55,1,1
24,1,1,NaN,0.822,NaN,0.6,1,1
24,1,2,NaN,0.806,NaN,1.1,1,0
24,2,2,NaN,0.669,NaN,0.55,1,1
24,2,1,NaN,0.921,NaN,1.15,1,0
24,1,1,NaN,0.689,NaN,1.2,1,1
24,1,1,NaN,0.924,NaN,1.25,1,1
24,2,2,NaN,0.772,NaN,0.5,1,1
24,2,1,NaN,0.932,NaN,1.2,1,0
24,2,2,NaN,0.771,NaN,1.25,1,1
24,1,1,NaN,0.59,NaN,1.3,1,1
24,1,1,NaN,1.005,NaN,0.5,1,1
24,1,1,NaN,0.756,NaN,0.5,1,1
24,1,1,NaN,0.591,NaN,0.5,1,1
24,2,2,NaN,0.735,NaN,1.25,1,1
24,2,2,NaN,0.735,NaN,0.5,1,1
24,2,1,NaN,0.603,NaN,1.2,1,0
24,1,1,NaN,0.773,NaN,0.5,1,1
24,1,1,NaN,0.572,NaN,0.5,1,1
24,1,1,NaN,0.506,NaN,0.5,1,1
24,1,1,NaN,0.588,NaN,1.25,1,1
24,2,1,NaN,0.737,NaN,1.3,1,0
24,2,2,NaN,0.52,NaN,0.5,1,1
24,2,1,NaN,0.603,NaN,0.5,1,0
24,2,1,NaN,0.632,NaN,1.35,1,0
24,2,2,NaN,0.704,NaN,1.4,1,1
24,1,1,NaN,0.639,NaN,1.45,1,1
24,2,2,NaN,0.753,NaN,0.55,1,1
24,2,2,NaN,0.622,NaN,1.4,1,1
24,2,2,NaN,0.622,NaN,0.6,1,1
24,1,1,NaN,0.64,NaN,1.1916,1,1
24,1,1,NaN,0.737,NaN,0.5,1,1
24,2,2,NaN,0.587,NaN,0.5,1,1
24,2,1,NaN,0.921,NaN,1.1666,1,0
24,2,2,NaN,0.521,NaN,0.5,1,1
24,2,1,NaN,0.471,NaN,0.5,1,0
24,2,1,NaN,0.487,NaN,0.525,1,0
24,2,1,NaN,0.707,NaN,0.55,1,0
24,1,1,NaN,0.223,NaN,1.1916,1,1
24,2,2,NaN,0.464,NaN,1.2166,1,1
24,1,1,NaN,0.373,NaN,1.1916,1,1
24,1,1,NaN,0.39,NaN,0.575,1,1
24,2,2,NaN,0.404,NaN,1.1666,1,1
24,2,1,NaN,0.553,NaN,0.6,1,0
24,2,2,NaN,0.637,NaN,1.1416,1,1
24,1,1,NaN,0.471,NaN,1.1166,1,1
24,2,2,NaN,0.455,NaN,1.0916,1,1
24,1,1,NaN,0.39,NaN,0.625,1,1
24,1,1,NaN,0.523,NaN,1.0666,1,1
24,1,1,NaN,0.422,NaN,1.0416,1,1
24,2,2,NaN,0.583,NaN,0.65,1,1
24,1,1,NaN,0.839,NaN,1.0166,1,1
24,1,1,NaN,0.556,NaN,0.625,1,1
24,1,1,NaN,0.418,NaN,0.6,1,1
24,1,1,NaN,0.405,NaN,0.9916,1,1
24,2,2,NaN,1.202,NaN,0.9666,1,1
24,1,1,NaN,0.572,NaN,0.9416,1,1
24,1,1,NaN,0.423,NaN,0.9166,1,1
24,1,1,NaN,0.274,NaN,0.575,1,1
24,2,1,NaN,0.488,NaN,0.8916,1,0
24,2,2,NaN,0.57,NaN,0.9166,1,1
24,2,2,NaN,0.87,NaN,0.9416,1,1
24,1,1,NaN,0.437,NaN,0.55,1,1
24,2,2,NaN,0.788,NaN,0.9166,1,1
24,2,2,NaN,0.655,NaN,0.525,1,1
24,1,1,NaN,0.556,NaN,0.8916,1,1
