Subj_idx,Stimulus,Response,Confidence,RT_dec,NoiseLevel,Condition,Accuracy,Mean_direction,SD_direction
1,0,1,57,0.266650915,1.160643953,6,0,-45.5236875,54.03523122
1,1,1,61,0.350435019,1.160643953,6,1,46.82677373,58.83374591
1,0,0,60,0.194552183,1.160643953,6,1,-47.52364159,55.60787048
1,0,1,66,0.30032897,1.160643953,6,0,-38.76440345,57.76718964
1,1,0,65,0.320301056,1.160643953,6,0,48.86787766,55.94240469
1,0,0,70,0.186155081,1.160643953,6,1,-46.00224456,55.04961568
1,1,1,73,0.222173929,1.160643953,6,1,47.19104503,54.93520077
1,1,1,58,0.232167006,1.160643953,6,1,46.67551423,56.05535781
1,1,1,75,0.638130903,1.160643953,6,1,50.96120079,55.15043932
1,0,0,61,0.669945002,0.715584993,3,1,-40.35887126,37.10869149
1,0,1,66,0.435978889,1.160643953,6,0,-41.61794099,56.5397575
1,1,1,81,0.591824055,1.160643953,6,1,53.17804176,55.85216652
1,0,1,54,0.520026922,1.160643953,6,0,-51.7989091,59.39556707
1,1,1,66,0.741804838,1.160643953,6,1,41.81566954,56.11796521
1,0,1,64,0.707835913,0.715584993,3,0,-45.48034042,36.17706104
1,1,1,69,0.723653078,0.715584993,3,1,47.66542983,39.76386997
1,1,1,80,0.62557292,1.160643953,6,1,45.76928788,54.90049582
1,0,1,73,0.339653969,1.160643953,6,0,-40.68305349,55.85086811
1,0,1,71,1.281713009,1.160643953,6,0,-50.99386612,55.82950219
1,0,0,63,0.427541018,1.160643953,6,1,-42.3782603,55.24527251
1,0,0,66,0.263636112,1.160643953,6,1,-48.32522092,57.05634108
1,1,1,74,0.395300865,1.160643953,6,1,50.80825216,57.52299807
1,1,1,60,0.45531702,1.160643953,6,1,46.49720631,57.35917767
1,0,0,74,0.231240034,0.715584993,3,1,-43.63591783,38.95044565
1,1,1,73,0.205238104,1.160643953,6,1,47.95522875,57.74220955
1,1,1,75,0.693288088,0.715584993,3,1,45.36987168,38.23844533
1,0,0,71,0.173316002,1.160643953,6,1,-39.53864803,56.52056087
