Subj_idx,Stimulus,Response,Confidence,RT_dec,Error,Condition,Delay
1,74,272,3,1.24201983000012,-18,1,0.6
1,69,54.9609375,3,1.68429299700028,14.0390625,0.5,9.15
1,126,344.9765625,1,1.7024753730002,-38.9765625,0.5,0.6
1,64,66,2,1.34756722400016,-2,0.5,0.6
1,8,314.3671875,1,1.39239559499993,53.6328125,1,0.6
1,102,84.3046875,1,2.16604555499998,17.6953125,0.5,12
1,45,229.4609375,2,3.61459189900052,-4.46093750000002,0.5,0.6
1,131,130.0390625,3,2.02809353200018,0.960937499999992,1,6.3
1,128,137.1953125,1,3.62236104000021,-9.19531249999999,1,12
1,76,248.0703125,4,1.30303806200027,7.92968750000003,1,3.45
1,157,148.9765625,3,2.92399082600014,8.0234375,0.5,9.15
