"Subj_idx","Stimulus","Response","Confidence","RT_dec","RT_conf","Noise","Difficulty","Error_trial"
2,1,1,3,1.143,1.071,1,0.16,0
2,1,0,5,1.34,1.509,0,0.15,0
2,0,0,6,0.858,1.205,1,0.17,0
2,0,0,5,1.373,1.192,0,0.16,0
2,1,1,6,0.698,0.942,1,0.18,0
2,1,1,5,1.023,1.244,0,0.16,0
2,0,0,5,0.636,1.382,1,0.18,0
2,0,1,2,0.631,1.481,0,0.15,0
2,0,0,6,0.666,0.971,1,0.17,0
2,0,1,4,1.895,1.066,1,0.17,0
2,1,1,6,0.955,1.46,0,0.16,0
2,0,0,5,1.068,1.607,1,0.16,0
2,1,0,5,1.229,2.021,1,0.16,0
2,1,1,6,0.817,0.14,1,0.15,0
2,1,0,2,1.39,1.889,1,0.15,0
2,1,1,6,0.822,1.088,0,0.16,0
2,0,0,6,0.598,1.578,0,0.15,0
2,1,1,5,0.723,0.777,1,0.16,0
2,0,0,5,0.657,1.855,1,0.16,0
2,0,0,6,1.455,1.166,1,0.15,0
2,1,1,5,0.554,1.51,1,0.16,0
2,1,0,5,0.921,1.162,0,0.15,0
2,0,1,3,2.405,1.226,1,0.16,0
2,0,0,6,0.653,1.126,0,0.16,0
2,1,1,6,0.67,1.319,0,0.16,0
2,1,1,5,0.977,1.624,0,0.15,0
2,1,1,4,0.688,1.242,0,0.15,0
2,0,0,6,0.633,1.044,0,0.14,0
2,0,1,5,0.744,1.308,1,0.15,0
2,1,1,6,0.79,2.634,0,0.14,0
2,0,1,5,1.03,1.927,0,0.13,0
2,1,1,6,0.719,2.374,1,0.15,0
2,1,1,5,0.891,2.305,0,0.14,0
2,1,1,6,0.835,0.841,1,0.16,0
2,1,1,3,0.79,1.538,1,0.16,0
2,0,0,5,2.304,1.608,0,0.14,0
2,0,0,6,0.78,1.705,1,0.15,0
2,1,1,5,1.479,2.483,1,0.15,0
2,1,1,6,0.686,1.259,1,0.14,0
2,0,1,3,1.101,1.457,0,0.13,0
2,0,0,5,1.238,1.404,0,0.14,0
2,1,1,3,1.791,1.602,1,0.14,0
2,0,0,4,0.586,1.158,0,0.14,0
2,0,0,4,1.793,1.737,1,0.13,0
2,0,0,2,1.185,1.74,1,0.14,0
2,1,1,6,0.77,2.038,0,0.13,0
2,0,1,4,1.021,1.155,1,0.14,0
2,1,1,6,0.786,1.419,0,0.13,0
2,0,0,5,0.591,1.578,0,0.12,0
2,0,0,4,1.605,1.237,1,0.13,0
2,1,1,5,1.103,1.569,0,0.12,0
2,1,1,6,0.871,1.69,1,0.14,0
2,0,0,6,0.999,1.537,0,0.11,0
2,0,0,6,1.26,1.193,1,0.14,0
3,0,1,5,1.399,1.233,0,0.07,0
3,1,1,6,0.85,1.998,1,0.07,0
3,0,1,5,1.415,1.747,1,0.07,0
3,0,0,6,0.961,1.661,1,0.07,0
3,1,1,2,0.912,2.081,1,0.07,0
3,1,0,4,0.844,2.391,1,0.07,0
3,1,0,4,0.883,0.937,1,0.07,0
3,0,0,3,3.306,1.15,1,0.07,0
3,1,1,5,1.062,1.583,0,0.08,0
3,0,1,6,0.793,1.745,0,0.08,0
3,1,0,5,0.739,1.416,0,0.09,0
3,1,0,5,3.563,2.793,1,0.08,0
3,0,0,6,1.104,1.827,0,0.1,0
3,1,1,5,0.733,1.679,0,0.1,0
3,0,NA,NA,1.267,0.001,1,0.08,1
3,1,NA,NA,1.106,0.001,0,0.09,1
3,1,NA,NA,0.613,0,1,0.08,1
3,0,NA,NA,0.858,0,0,0.09,1
3,1,NA,NA,0.818,0,0,0.09,1
3,1,NA,NA,0.943,0,0,0.09,1
3,0,NA,NA,0.7,0.001,1,0.08,1
3,1,NA,NA,1.048,0,1,0.08,1
3,1,NA,NA,0.892,0,0,0.09,1
3,1,NA,NA,0.57,0.001,1,0.08,1
3,1,NA,NA,0.777,0,1,0.08,1
3,0,NA,NA,0.811,0,0,0.09,1
3,0,NA,NA,0.692,0.001,0,0.09,1
3,1,NA,NA,1.891,0.001,1,0.08,1
3,0,0,6,1.203,1.96,1,0.08,0
3,0,0,6,0.69,1.999,1,0.09,0
3,0,0,5,0.82,1.051,0,0.09,0
3,1,1,4,1.525,1.085,0,0.09,0
3,0,0,6,0.831,2.731,1,0.1,0
3,1,1,5,1.297,1.391,0,0.08,0
3,0,0,3,0.65,0.972,1,0.1,0
3,0,1,6,0.803,0.68,0,0.08,0
3,0,0,4,3.264,0.941,1,0.09,0
3,0,1,5,1.215,1.548,0,0.09,0
3,0,1,6,0.761,1.446,0,0.1,0
3,1,1,6,0.747,1.571,0,0.11,0
3,0,1,5,2.124,1.633,0,0.11,0
3,1,1,5,0.672,1.614,0,0.12,0
3,0,1,6,0.725,1.132,1,0.09,0
3,0,0,4,0.865,1.147,1,0.09,0
3,0,0,6,0.699,1.258,0,0.12,0
3,1,1,3,0.823,3.544,1,0.08,0
3,1,0,4,0.931,1.764,1,0.08,0
3,1,1,4,0.816,1.398,1,0.09,0
3,1,1,5,0.96,1.864,1,0.1,0
3,1,1,2,2.016,2.815,0,0.11,0
3,0,0,6,1.715,1.886,0,0.11,0
3,1,1,2,1.491,4.579,1,0.11,0
3,1,1,6,0.992,1.482,1,0.11,0
3,1,0,6,1.999,1.096,1,0.12,0
3,0,1,6,0.753,1.366,1,0.12,0
3,1,0,6,0.833,0.731,1,0.11,0
3,1,0,1,0.974,2.279,0,0.1,0
3,0,1,1,1.042,1.729,0,0.11,0
3,0,1,2,0.664,1.387,1,0.11,0
3,1,1,5,0.757,1.12,1,0.1,0
3,1,1,6,0.998,1.292,0,0.12,0
3,1,1,6,0.893,0.668,0,0.12,0
3,1,1,3,1.076,1.467,0,0.11,0
3,0,0,1,0.744,1.342,1,0.11,0
3,0,1,2,0.558,2.311,0,0.11,0
3,0,0,1,1.742,1.267,0,0.12,0
3,0,1,5,0.695,2.047,0,0.12,0
3,1,1,4,0.878,0.933,0,0.13,0
3,0,1,5,0.913,1.506,0,0.13,0
3,0,1,5,0.66,0.94,1,0.12,0
3,0,0,6,1.008,2.125,1,0.12,0
3,0,1,5,0.961,2.381,1,0.11,0
3,0,0,5,2.08,1.1,0,0.14,0
3,1,1,2,1.563,1.328,0,0.14,0
3,1,0,3,0.926,2.275,1,0.11,0
3,0,1,1,3.711,1.631,1,0.12,0
3,0,1,1,1.149,1.676,1,0.12,0
3,1,1,6,0.8,1.496,0,0.13,0
3,1,1,5,0.768,2.034,0,0.13,0
3,0,0,2,1.172,1.814,0,0.12,0
3,0,NA,NA,1.516,0,1,0.13,1
3,1,NA,NA,1.441,0.001,0,0.12,1
3,1,NA,NA,1.862,0.001,0,0.12,1
3,1,NA,NA,0.662,0,1,0.13,1
3,1,NA,NA,0.564,0.001,1,0.13,1
3,1,NA,NA,0.866,0,0,0.12,1
3,0,NA,NA,0.474,0,0,0.12,1
3,0,NA,NA,0.459,0,0,0.12,1
3,0,NA,NA,0.475,0,1,0.13,1
3,0,NA,NA,0.958,0,1,0.13,1
3,1,1,6,1.295,2.094,0,0.12,0
3,1,1,1,2.28,1.644,1,0.13,0
3,1,0,1,0.964,1.661,1,0.13,0
3,0,1,3,0.588,1.481,0,0.11,0
3,0,0,2,0.748,1.413,0,0.12,0
3,1,1,1,5.469,0.85,1,0.13,0
3,1,1,2,1.73,1.084,1,0.14,0
3,0,0,3,1.521,1.622,0,0.12,0
3,0,1,4,1.656,1.85,1,0.14,0
3,0,1,6,1.456,1.746,0,0.11,0
3,1,0,1,0.603,1.09,0,0.12,0
3,0,1,3,0.889,1.693,1,0.13,0
3,1,1,1,0.975,1.015,1,0.13,0
3,1,0,4,0.961,3.415,1,0.12,0
3,0,0,3,0.945,1.175,0,0.13,0
3,1,1,6,0.703,1.198,0,0.13,0
3,1,1,2,0.792,1.928,0,0.12,0
3,0,0,2,0.926,1.383,0,0.12,0
3,1,1,2,0.767,1.256,1,0.12,0
3,1,0,1,2.678,1.246,1,0.11,0
3,1,0,2,0.607,1.695,0,0.11,0
3,0,0,1,1.111,0.667,1,0.12,0
3,0,1,4,2.537,0.373,0,0.12,0
3,1,1,6,0.777,0.909,0,0.13,0
3,0,1,6,0.645,1.229,1,0.12,0
3,0,0,2,0.801,0.701,1,0.11,0
3,1,1,5,1.004,1.067,0,0.13,0
3,0,0,3,3.542,1.612,1,0.12,0
3,0,1,2,0.74,1.758,1,0.13,0
3,0,1,6,0.643,1.232,0,0.12,0
3,1,NA,NA,1.323,0.001,0,0.13,1
3,0,1,5,1.625,0.867,0,0.13,0
3,0,0,2,1.12,1.03,1,0.13,0
3,0,1,4,1.849,1.482,0,0.14,0
3,0,1,3,0.661,1.011,1,0.12,0
3,1,1,6,0.644,0.651,0,0.15,0
3,0,1,6,0.672,1.061,0,0.15,0
3,0,1,3,1.476,1.649,1,0.12,0
3,1,1,3,1.49,0.793,1,0.11,0
3,1,1,6,0.943,1.367,1,0.12,0
3,1,0,3,0.592,0.744,0,0.16,0
3,0,0,6,0.863,0.616,1,0.13,0
3,1,1,1,0.939,1.137,1,0.13,0
3,1,1,5,0.981,1.282,0,0.17,0
3,1,1,3,0.667,0.951,0,0.17,0
3,0,1,3,2.208,0.283,1,0.12,0
3,1,1,6,0.607,1.084,0,0.16,0
3,0,1,6,0.904,1.782,0,0.16,0
3,0,0,1,1.617,1.408,1,0.13,0
3,1,1,6,0.593,0.746,0,0.17,0
3,0,1,6,0.65,0.67,0,0.17,0
3,1,0,2,0.585,0.73,1,0.13,0
3,0,0,4,1.758,1.66,0,0.18,0
3,1,1,4,0.628,0.707,0,0.18,0
3,1,1,2,0.977,1.912,1,0.14,0
3,0,0,5,1.022,1.228,1,0.15,0
3,1,0,4,1.817,0.71,1,0.15,0
3,0,0,2,0.863,1.189,0,0.17,0
3,0,1,6,0.763,1.165,0,0.17,0
3,1,1,6,0.541,0.634,1,0.16,0
3,0,0,3,0.853,1.851,0,0.18,0
3,0,1,1,0.651,2.366,1,0.17,0
3,0,1,1,1.386,0.712,1,0.17,0
3,0,1,3,2.431,0.732,1,0.16,0
3,0,1,4,0.615,1.299,0,0.18,0
3,1,1,2,1.785,1.432,1,0.16,0
3,1,1,3,0.598,0.729,0,0.19,0
3,1,1,6,0.608,1.148,0,0.19,0
3,1,1,1,0.75,2.185,1,0.17,0
3,1,1,6,0.592,1.198,1,0.17,0
3,1,NA,NA,0.694,0,1,0.18,1
3,0,NA,NA,0.001,0.586,1,0.18,1
3,1,NA,NA,1.578,0.001,0,0.18,1
3,1,NA,NA,0.513,0,0,0.18,1
3,0,NA,NA,1.352,0,1,0.18,1
3,0,0,6,1.159,2.412,0,0.18,0
3,0,0,6,0.956,1.932,0,0.18,0
3,1,0,5,0.786,1.951,0,0.17,0
3,0,1,3,1.073,1.147,1,0.18,0
3,1,1,5,0.692,1.234,1,0.17,0
3,0,1,4,0.992,0.718,1,0.17,0
