Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Coherence,Prompt_time
3,2,2,100,0.71068,2.8259,0.16,1.5
3,1,2,98,0.85438,2.1273,0.16,0.75
3,1,1,99,1.1587,3.2893,0.04,1.5
3,2,2,99,1.3656,2.0772,0.02,0.05
3,2,1,99,1.2964,1.9777,0.04,0.05
3,2,2,99,0.68785,2.8646,0.02,1.5
3,2,2,100,0.77096,1.5826,0.08,0.75
3,1,1,98,0.73863,1.6809,0.08,0.05
3,2,2,99,0.99441,3.1711,0.08,1.5
3,2,1,100,0.80854,3.0468,0.08,1.5
3,1,1,98,1.4327,2.2212,0.02,0.05
3,2,1,99,1.0562,1.7679,0.16,0.05
3,1,2,100,0.84508,2.9604,0.16,1.5
3,2,2,81,1.4741,3.0468,0.16,0.05
3,2,1,90,0.91318,2.4168,0.16,0.75
3,1,2,98,0.80428,1.8158,0.08,0.75
3,2,1,90,0.91859,2.4338,0.16,1.5
3,1,2,90,0.88761,2.3526,0.04,0.05
3,2,1,90,1.2495,2.7914,0.16,0.05
3,1,2,99,0.9167,2.7398,0.16,1.5
3,1,2,88,1.1392,2.6393,0.02,1.5
3,1,1,90,1.4514,2.9516,0.02,1.5
3,1,2,99,1.1033,2.6955,0.08,1.5
3,1,1,89,0.89861,2.3483,0.08,0.05
3,1,1,80,0.97419,2.551,0.04,1.5
3,2,1,81,0.94635,2.0577,0.04,0.05
3,1,1,89,1.1782,2.6279,0.08,0.05
3,2,2,90,1.5409,3.2599,0.02,0.75
3,2,2,91,1.4436,2.8396,0.08,0.75
3,1,1,80,1.3656,2.6078,0.04,0.75
3,2,2,79,1.1379,2.7914,0.08,1.5
3,1,1,89,1.306,2.9018,0.04,0.75
3,1,2,89,1.2343,2.3765,0.02,0.05
3,1,2,80,1.1801,2.4453,0.02,0.05
3,1,2,79,1.3147,2.3723,0.16,0.75
3,2,1,89,1.3351,2.6541,0.02,0.75
3,2,2,100,1.1367,3.2827,0.04,1.5
3,2,2,50,1.5309,3.9032,0.02,0.05
3,2,2,83,2.0956,3.6723,0.16,1.5
3,1,2,70,1.8726,3.3224,0.08,0.05
3,1,2,61,2.78,4.3878,0.04,1.5
3,2,2,98,1.5812,3.1736,0.08,1.5
3,1,1,100,1.4267,2.5688,0.08,0.05
3,2,2,89,2.2,3.8882,0.16,0.75
3,1,2,60,1.6373,4.1941,0.16,0.05
3,1,2,80,1.3185,2.7145,0.02,0.75
3,1,1,49,1.9968,3.6234,0.16,0.75
3,1,2,70,2.0085,3.3276,0.08,0.75
3,1,1,50,2.1102,4.0776,0.04,1.5
3,1,2,92,1.8125,3.0547,0.04,0.75
3,1,1,49,2.2747,5.0971,0.02,1.5
3,2,1,99,2.7874,3.822,0.04,0.05
3,2,2,99,1.2339,2.1761,0.02,0.05
3,2,2,99,1.1023,2.7252,0.02,1.5
3,2,1,68,2.4141,3.9601,0.16,1.5
3,2,2,99,1.0667,2.2858,0.16,0.05
3,2,2,87,1.196,2.7457,0.04,0.75
3,1,2,89,2.1204,3.1242,0.04,0.05
3,2,1,99,1.1816,2.2547,0.08,0.75
3,1,2,70,1.2062,2.7368,0.08,1.5
3,2,2,68,1.9085,3.3198,0.02,0.75
3,2,2,40,1.4086,4.231,0.08,1.5
3,1,2,89,2.8725,5.6139,0.16,0.05
3,1,2,60,1.3946,4.7553,0.04,1.5
3,1,1,91,1.9175,3.3672,0.04,0.05
3,1,1,90,2.1406,3.7211,0.04,0.75
3,2,2,91,1.3514,2.5242,0.16,0.05
3,2,2,90,1.2864,2.9899,0.08,0.75
3,2,2,61,1.6601,3.7326,0.04,0.75
3,2,1,51,2.0039,4.5033,0.04,1.5
3,1,1,79,1.5885,3.5227,0.16,0.75
3,1,2,99,1.6845,2.9036,0.02,0.05
3,2,1,80,1.6891,3.9538,0.04,0.05
3,2,2,70,1.3831,3.2367,0.08,1.5
