Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Coherence,Accuracy,Training,cond,Int.Block,five_s_to,exclude_subj
101,1,1,40,2.071977782,0.33642268,0.128,1,0,Expt,Pre,TRUE,FALSE
101,0,1,30,3.981478412,0.767338782,0.032,0,0,Expt,Pre,TRUE,FALSE
101,1,1,20,2.611417057,0.501510411,0.128,1,0,Expt,Pre,TRUE,FALSE
101,1,0,30,2.542973277,0.43262288,0.064,0,0,Expt,Pre,TRUE,FALSE
101,1,1,30,1.864165667,0.5149334,0.064,1,0,Expt,Pre,TRUE,FALSE
101,1,1,40,1.953623884,0.616250915,0.032,1,0,Expt,Pre,TRUE,FALSE
101,1,0,10,3.017925996,0.684264529,0.032,0,0,Expt,Pre,TRUE,FALSE
101,0,0,20,2.90852438,0.332229995,0.032,1,0,Expt,Pre,TRUE,FALSE
101,1,1,50,1.854672131,0.549111519,0.128,1,0,Expt,Pre,TRUE,FALSE
101,1,0,20,3.001627989,0.500709849,0.032,0,0,Expt,Pre,TRUE,FALSE
101,0,0,50,1.982564846,0.436915182,0.128,1,0,Expt,Pre,TRUE,FALSE
101,1,0,50,2.946463809,0.750608194,0.064,0,0,Expt,Pre,TRUE,FALSE
101,1,0,10,3.55330058,0.649691262,0.032,0,0,Expt,Pre,TRUE,FALSE
101,1,1,50,1.332470888,0.831953633,0.256,1,0,Expt,Pre,TRUE,FALSE
101,0,0,20,2.847620126,0.517546696,0.064,1,0,Expt,Pre,TRUE,FALSE
101,1,0,50,1.667385723,0.448407707,0.256,0,0,Expt,Pre,TRUE,FALSE
101,0,0,50,2.639413163,0.482002309,0.064,1,0,Expt,Pre,TRUE,FALSE
101,0,0,20,3.128439403,0.566098999,0.064,1,0,Expt,Pre,TRUE,FALSE
101,0,0,20,2.420240742,0.565924215,0.128,1,0,Expt,Pre,TRUE,FALSE
101,1,1,50,1.751250575,0.315606572,0.256,1,0,Expt,Pre,TRUE,FALSE
101,0,0,10,3.303429404,0.400534915,0.032,1,0,Expt,Pre,TRUE,FALSE
101,1,1,50,2.654844801,0.454663074,0.256,1,0,Expt,Post,TRUE,FALSE
101,0,0,50,2.267192224,0.732476624,0.128,1,0,Expt,Post,TRUE,FALSE
101,0,0,50,1.781645045,0.498815912,0.256,1,0,Expt,Post,TRUE,FALSE
101,1,1,50,2.14380795,0.418659543,0.064,1,0,Expt,Post,TRUE,FALSE
101,0,0,50,2.780437864,0.599540553,0.256,1,0,Expt,Post,TRUE,FALSE
101,0,0,50,2.009277699,0.549386523,0.128,1,0,Expt,Post,TRUE,FALSE
101,1,0,10,3.068474873,0.580935951,0.064,0,0,Expt,Post,TRUE,FALSE
101,0,0,10,3.332030459,0.436417699,0.064,1,0,Expt,Post,TRUE,FALSE
101,1,1,20,2.580983646,0.534414031,0.032,1,0,Expt,Post,TRUE,FALSE
101,0,0,20,3.111483922,0.33084954,0.032,1,0,Expt,Post,TRUE,FALSE
101,0,0,40,2.548675919,0.502700386,0.064,1,0,Expt,Post,TRUE,FALSE
101,1,0,20,3.415529746,0.531925408,0.064,0,0,Expt,Post,TRUE,FALSE
101,0,0,50,1.266055982,0.332547865,0.256,1,0,Expt,Post,TRUE,FALSE
101,1,1,50,1.705364698,0.418144551,0.256,1,0,Expt,Post,TRUE,FALSE
101,1,1,50,3.049514063,0.516236274,0.064,1,0,Expt,Post,TRUE,FALSE
101,0,0,10,2.666899409,0.416394907,0.128,1,0,Expt,Post,TRUE,FALSE
101,0,0,50,1.680310625,0.682728611,0.256,1,0,Expt,Post,TRUE,FALSE
101,0,0,50,3.725181915,0.682558657,0.032,1,0,Expt,Post,TRUE,FALSE
101,1,1,20,2.696718815,0.536136808,0.032,1,0,Expt,Post,TRUE,FALSE
101,1,0,10,3.694258266,0.46493755,0.032,0,0,Expt,Post,TRUE,FALSE
101,0,1,10,2.797974749,0.483489325,0.032,0,0,Expt,Post,TRUE,FALSE
101,1,0,20,2.912605372,0.851693571,0.032,0,0,Expt,Post,TRUE,FALSE
101,1,1,20,2.965848446,0.799862045,0.128,1,0,Expt,Post,TRUE,FALSE
101,0,0,50,1.350825239,0.566469394,0.256,1,0,Expt,Post,TRUE,FALSE
101,1,1,30,3.238282355,0.694959512,0.064,1,0,Expt,Post,TRUE,FALSE
101,1,0,50,1.88474541,0.484237059,0.128,0,0,Expt,Post,TRUE,FALSE
101,0,1,20,2.931803754,0.451084094,0.032,0,0,Expt,Post,TRUE,FALSE
101,1,1,30,1.837559072,0.501645045,0.128,1,0,Expt,Post,TRUE,FALSE
101,1,1,40,2.923372199,0.449481159,0.128,1,0,Expt,Post,TRUE,FALSE
101,0,1,20,2.739676847,0.298741651,0.128,0,0,Expt,Post,TRUE,FALSE
101,0,0,50,1.902516848,0.716300573,0.256,1,0,Expt,Post,TRUE,FALSE
101,1,1,50,3.465624307,0.548861871,0.064,1,0,Expt,Post,TRUE,FALSE
101,0,0,20,4.126607349,0.63502698,0.032,1,0,Expt,Post,TRUE,FALSE
101,1,1,50,2.704067861,0.318904511,0.064,1,0,Expt,Post,TRUE,FALSE
101,0,0,50,2.278435705,0.468136476,0.064,1,0,Expt,Post,TRUE,FALSE
101,1,1,50,1.473640789,0.449627869,0.256,1,0,Expt,Post,TRUE,FALSE
101,0,0,50,1.407794607,1.001950388,0.256,1,0,Expt,Post,TRUE,FALSE
101,0,0,50,1.566042851,0.483507739,0.128,1,0,Expt,Post,TRUE,FALSE
101,1,1,50,1.202031289,0.484435992,0.256,1,0,Expt,Post,TRUE,FALSE
101,0,0,20,3.108155796,0.570893613,0.032,1,0,Expt,Post,TRUE,FALSE
101,0,0,50,2.002077173,0.433551435,0.128,1,0,Expt,Post,TRUE,FALSE
101,0,1,20,2.262316708,0.50135706,0.032,0,0,Expt,Post,TRUE,FALSE
101,0,0,50,1.838748142,0.552910261,0.128,1,0,Expt,Post,TRUE,FALSE
101,1,1,20,2.985045318,0.351227633,0.032,1,0,Expt,Post,TRUE,FALSE
101,0,0,50,1.429298679,0.549414295,0.256,1,0,Expt,Post,TRUE,FALSE
101,1,1,50,1.844131103,0.45130295,0.064,1,0,Expt,Post,TRUE,FALSE
