Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difficulty,Condition,Accuracy,Response_key,Solution,Target,Anagram,Type_of_change,RT_covresp,Trial,Sol_letters,Target_letters
41,1,1,2,2.053,0.628,3,1,1,o,bratanek,bratanek,RNATBKEA,none,NaN,5,8,8
41,0,0,1,2.319,2.06,2,1,1,p,plantacja,policjant,CJATLANPA,changed,NaN,6,9,9
41,0,1,2,2.166,1.415,2,1,0,o,dzielnica,niedziela,NZLDIACIE,changed,NaN,7,9,9
41,1,1,4,0.335,1.323,3,1,1,o,rakieta,rakieta,RKEAIAT,none,NaN,8,7,7
41,1,1,4,1.196,1.181,3,1,1,o,sliniak,sliniak,IALNKIS,none,NaN,9,7,7
41,1,1,2,1.646,2.845,3,1,1,o,podstawa,podstawa,AODSTPAW,none,NaN,10,9,9
41,0,0,2,2.25,1.725,1,1,1,p,nadzieja,niedziela,ZDAEJNAI,added,NaN,11,8,7
41,0,0,1,1.936,2.216,0,1,1,p,mieszkanie,zamieszki,ZKESIAIENM,added&changed,NaN,12,10,9
41,1,0,1,2.048,1.492,3,1,0,p,kregoslup,kregoslup,UGELROKSP,none,NaN,13,9,9
41,1,1,2,1.54,2.685,3,1,1,o,doniczka,doniczka,OCDAIZKN,none,NaN,14,8,8
41,0,0,3,1.733,1.626,0,1,1,p,kochanka,choinka,AKNAOHCK,added&changed,NaN,15,8,7
41,0,1,2,1.112,1.334,1,1,0,o,tabletka,baletka,KTALAETB,added,NaN,16,8,7
41,1,0,4,2.069,1.48,3,1,0,p,zmiennik,zmiennik,NZIEKNMI,none,NaN,17,8,8
41,1,1,2,1.743,0.828,3,1,1,o,stolnica,stolnica,ILOTNCSA,none,NaN,18,8,8
41,1,1,3,1.816,0.81,3,1,1,o,koniczyna,koniczyna,NYNICZKOA,none,NaN,19,9,9
41,1,1,4,1.394,0.869,3,1,1,o,kosiarka,kosiarka,RSKIOAKA,none,NaN,20,8,8
41,1,0,4,1.317,1.378,3,1,0,p,czujnik,czujnik,KZIJUNC,none,NaN,21,7,7
41,1,1,3,1.993,0.249,3,1,1,o,katalog,katalog,KTGALOA,none,NaN,22,7,7
41,1,1,4,0.93,0.638,3,1,1,o,klamerka,klamerka,ELAMKRKA,none,NaN,23,8,8
41,1,1,4,0.919,0.666,3,1,1,o,uzdrowisko,uzdrowisko,ISDRKWOZUO,none,NaN,24,10,10
41,0,1,2,1.012,0.947,1,1,0,o,cmentarz,tancerz,RNACTMZE,added,NaN,25,8,7
41,0,0,3,1.77,1.287,2,1,1,p,kurczak,kucharz,CKRAZKU,changed,NaN,26,7,7
41,0,0,4,2.891,0.929,2,1,1,p,prowincja,pracownik,RPWIJNOAC,changed,NaN,27,9,9
41,1,NaN,4,NaN,0.852,3,1,0,NaN,naparstek,naparstek,RAEKNSTPA,none,NaN,28,9,9
41,0,0,4,2.278,0.636,1,1,1,p,bankomat,komnata,AKMOTABN,added,NaN,29,8,7
41,0,0,4,1.319,0.597,2,1,1,p,potrawa,poprawa,PAOATWR,changed,NaN,30,7,7
41,1,1,2,1.569,1.48,3,1,1,o,spotkanie,spotkanie,TPNSKAOIE,none,NaN,31,9,9
41,1,1,2,2.671,1.148,3,1,1,o,sniezyca,sniezyca,ICEYZANS,none,NaN,32,8,8
41,0,0,2,1.975,0.865,1,1,1,p,bakteria,bateria,AREIAKTB,added,NaN,33,8,7
41,0,1,NaN,2.051,NaN,1,1,0,o,korytarz,aktorzy,RTZKYARO,added,NaN,34,8,7
41,1,1,3,0.851,0.156,3,1,1,o,wanilia,wanilia,WLNIAIA,none,NaN,35,7,7
41,0,1,2,0.698,0.717,2,1,0,o,remanent,atrament,TRMNAENE,changed,NaN,36,8,8
41,0,1,2,1.114,0.138,2,1,0,o,klasztor,kloszard,ARLZOSTK,changed,NaN,37,8,8
41,0,0,2,2.164,0.29,1,1,1,p,lakomstwo,klamstwo,TLKOASOWM,added,NaN,38,9,8
41,0,0,4,1.974,0.904,1,1,1,p,dinozaur,rodzina,OIDZUARN,added,NaN,39,8,7
41,1,0,4,1.084,0.72,3,1,0,p,bratowa,bratowa,TRWAOBA,none,NaN,40,7,7
41,0,0,3,0.922,0.132,1,1,1,p,trucizna,intruz,CNRIZAUT,added,NaN,41,8,6
41,0,0,2,1.052,0.241,0,1,1,p,rachunek,rabunek,ENCKRHAU,added&changed,NaN,42,8,7
42,1,1,4,1.313,1.26,3,1,1,p,bakteria,bakteria,AREIAKTB,none,NaN,3,8,8
42,1,1,3,1.358,2.136,3,1,1,p,plantacja,plantacja,CJATLANPA,none,NaN,4,9,9
42,0,0,4,1.699,2.261,1,1,1,o,koszula,kalosz,OULZKSA,added,NaN,5,7,6
42,1,1,NaN,1.588,NaN,3,1,1,p,bankomat,bankomat,AKMOTABN,none,NaN,6,8,8
42,1,1,3,2.318,1.697,3,1,1,p,lakomstwo,lakomstwo,TLKOASOWM,none,NaN,7,9,9
42,1,NaN,2,NaN,2.175,3,1,0,NaN,rachunek,rachunek,ENCKRHAU,none,NaN,8,8,8
42,1,1,1,2.34,0.837,3,1,1,p,potrawa,potrawa,PAOATWR,none,NaN,9,7,7
42,0,0,1,2.852,0.873,1,1,1,o,naparstek,pasterka,RAEKNSTPA,added,NaN,10,9,8
42,0,0,4,1.785,1.461,1,1,1,o,katalog,lokata,KTGALOA,added,NaN,11,7,6
42,1,NaN,NaN,NaN,NaN,3,1,0,NaN,dzielnica,dzielnica,NZLDIACIE,none,NaN,12,9,9
42,0,1,2,2.344,1.201,2,1,0,p,rakieta,karetka,RKEAIAT,changed,NaN,13,7,7
42,0,0,4,1.663,1.158,2,1,1,o,klamerka,kelnerka,ELAMKRKA,changed,NaN,14,8,8
42,1,1,2,1.929,1.708,3,1,1,p,tabletka,tabletka,KTALAETB,none,NaN,15,8,8
42,0,0,4,1.546,1.827,2,1,1,o,bratowa,watroba,TRWAOBA,changed,NaN,16,7,7
42,1,1,4,1.191,1.035,3,1,1,p,kochanka,kochanka,AKNAOHCK,none,NaN,17,8,8
42,1,NaN,3,NaN,1.355,3,1,0,NaN,kurczak,kurczak,CKRAZKU,none,NaN,18,7,7
42,0,0,3,2.848,1.201,1,1,1,o,stolnica,stolica,ILOTNCSA,added,NaN,19,8,7
42,0,1,1,2.413,0.922,2,1,0,p,zmiennik,ziemniak,NZIEKNMI,changed,NaN,20,8,8
42,0,0,1,1.309,0.525,1,1,1,o,uzdrowisko,skorowidz,ISDRKWOZUO,added,NaN,21,10,9
42,0,1,2,2.17,1.07,2,1,0,p,czujnik,czajnik,KZIJUNC,changed,NaN,22,7,7
42,0,1,2,2.843,1.705,1,1,0,p,spotkanie,eksponat,TPNSKAOIE,added,NaN,23,9,8
42,1,1,2,2.065,1.223,3,1,1,p,dinozaur,dinozaur,OIDZUARN,none,NaN,24,8,8
42,1,0,2,1.861,1.157,3,1,0,o,trucizna,trucizna,CNRIZAUT,none,NaN,25,8,8
42,0,0,4,1.434,1.407,0,1,1,o,kregoslup,skorupa,UGELROKSP,added&changed,NaN,26,9,7
42,1,1,2,1.157,1.703,3,1,1,p,prowincja,prowincja,RPWIJNOAC,none,NaN,27,9,9
