Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Condition,Accuracy,Trial,Block,Sol_letters,Tar_letters,Sol_freq,Tar_freq,Letter_changed
8,1,2,1,1.262,0.93,1,0,12,1,8,7,272,12786,0
8,2,2,1,1.496,1.19,1,1,13,1,9,9,707,707,0
8,2,1,1,0.975,0.598,1,0,14,1,8,8,162,162,0
8,2,2,2,1.623,1.072,1,1,15,1,7,7,126,126,0
8,1,2,4,2.26,0.687,1,0,16,1,8,7,104,100,1
8,2,2,4,0.656,0.547,1,1,17,1,7,7,613,613,0
8,1,2,1,2.371,2.201,1,0,18,2,9,9,120,1042,1
8,1,1,1,1.497,1.773,1,1,19,2,8,6,896,100,2
8,2,1,2,2.091,1.575,1,0,20,2,9,9,653,653,0
8,1,1,1,1.738,1.009,1,1,21,2,8,6,455,457,2
8,1,2,1,2.108,0.894,1,0,22,2,9,9,2212,100,2
8,2,2,2,1.268,1.137,1,1,23,2,6,6,422,422,0
8,1,1,2,1.494,0.988,1,1,24,2,8,7,962,408,2
8,2,2,3,2.305,1.764,1,1,25,2,7,7,920,920,0
8,2,2,2,0.987,2.64,1,1,26,2,8,8,1026,1026,0
8,2,2,1,1.95,0.96,1,1,27,2,7,7,212,212,0
8,1,1,4,1.002,0.571,1,1,28,2,8,7,976,283,2
8,2,2,1,1.161,1.471,1,1,29,2,7,7,248,248,0
8,1,1,3,1.451,0.423,1,1,30,2,8,6,175,160,2
8,2,2,1,0.934,1.902,1,1,31,2,8,8,2183,2183,0
8,2,2,2,1.487,0.828,1,1,32,2,8,8,328,328,0
9,1,2,4,2.451,2.877,1,0,1,0,NaN,NaN,NaN,NaN,NaN
9,2,2,4,1.237,1.117,1,1,2,0,NaN,NaN,NaN,NaN,NaN
9,2,NaN,2,NaN,1.756,1,NaN,3,1,7,7,126,126,0
9,1,1,2,0.995,0.525,1,1,4,1,8,7,272,12786,0
9,2,1,2,1.772,1.245,1,0,5,1,8,8,1124,1124,0
9,1,1,2,1.579,1.045,1,1,6,1,8,9,3412,100,1
9,1,1,1,1.764,0.587,1,1,7,1,8,7,1022,556,1
9,2,2,1,1.418,0.689,1,1,8,1,8,8,162,162,0
9,1,1,1,2.888,0.671,1,1,9,1,7,7,618,1644,1
9,2,2,1,0.803,1.276,1,1,10,1,8,8,248,248,0
9,1,2,2,1.931,1.33,1,0,11,1,8,8,594,100,1
