Subj_idx,Block,Trial_in_block,Trial,Stimulus,RT_start,Response,Confidence,RT_conf,ErrorDirection,RT_error
16,3,16,136,3,0.83513,2.682,2,1.4491,0,0.591
16,3,17,137,3,0.74098,3.3016,2,1.8871,0,0.51993
16,3,18,138,1.5,1.5096,1.7627,1,1.9623,0,1.0146
16,3,19,139,3,0.66371,3.1571,1,1.0567,1,0.46168
16,3,20,140,1.5,1.1056,1.8601,3,1.1384,1,0.60937
16,3,21,141,3,1.3003,3.1789,3,2.0486,1,0.71342
16,3,22,142,3,1.317,4.0162,3,1.8126,1,0.51678
16,3,23,143,3,0.93112,3.3325,3,1.6515,1,0.49282
16,3,24,144,3,0.75498,3.0611,3,1.6489,1,0.58844
16,3,25,145,3,0.055928,3.4141,2,1.8996,1,0.46446
16,3,26,146,1.5,1.2782,1.4018,3,1.3322,0,0.55322
16,3,27,147,3,1.3783,2.4902,2,2.046,0,0.50164
16,3,28,148,1.5,0.89022,1.4499,3,1.3421,0,0.70048
16,3,29,149,1.5,0.82292,1.5116,3,1.1287,0,2.1907
16,3,30,150,3,0.57397,2.8893,3,1.4178,1,0.54215
16,3,31,151,3,0.57909,3.2193,3,1.0889,0,1.0104
16,3,32,152,3,1.0156,3.0165,3,1.9365,0,0.56849
16,3,33,153,3,0.69345,2.979,3,0.762,0,0.61358
16,3,34,154,1.5,2.2007,1.0948,2,1.6365,0,0.54494
16,3,35,155,1.5,0.77951,1.5803,2,1.3018,1,0.58084
16,3,36,156,1.5,0.72273,1.5497,2,1.4668,0,0.49199
16,3,37,157,1.5,0.71003,1.7523,3,1.7433,0,0.9391
16,3,38,158,1.5,0.72973,1.7944,2,1.2887,0,0.87371
16,3,39,159,1.5,0.65222,1.6336,2,5.6538,0,1.2752
16,3,40,160,1.5,0.92705,1.64,2,1.6482,1,1.1513
16,3,41,161,3,0.6457,2.6693,1,2.2772,1,0.53758
16,3,42,162,3,0.95699,3.4373,2,2.4779,1,0.61204
16,3,43,163,1.5,0.71127,1.4683,1,1.7548,0,0.65804
16,3,44,164,3,0.63004,3.482,2,1.625,1,0.5374
16,3,45,165,1.5,0.66339,1.2824,3,1.3908,0,0.54889
16,3,46,166,3,0.65627,3.8389,1,1.2894,1,0.38606
16,3,47,167,3,0.66917,2.9721,2,1.4049,1,0.7221
16,3,48,168,3,0.80596,2.4996,2,0.7753,1,0.71364
16,3,49,169,1.5,0.6474,1.3331,2,1.0545,0,0.54791
16,3,50,170,3,0.72384,2.7512,3,2.0013,1,1.1778
