"Subj_idx","Condition","Stim_idx","Stimulus","Response","Confidence","RT_decConf","Resp_raw"
15,"face","face_133","1","2","1","4.018","3"
15,"face","face_155","2","1","1","1.69","4"
15,"face","face_53","2","2","3","1.577","1"
15,"face","face_23","1","1","3","1.228","6"
15,"face","face_71","1","2","2","1.406","2"
15,"face","face_213","1","2","1","2.313","3"
15,"face","face_37","2","2","3","1.11","1"
15,"face","face_4","1","1","3","0.964","6"
15,"face","face_27","2","1","1","2.529","4"
15,"face","face_216","2","2","1","2.501","3"
15,"face","face_165","1","2","1","1.827","3"
15,"face","face_19","1","2","3","1.14","1"
15,"face","face_3","2","2","3","0.777","1"
15,"face","face_160","1","2","3","0.981","1"
15,"face","face_156","1","2","1","1.608","3"
15,"face","face_113","1","1","3","1.979","6"
15,"face","face_16","2","2","2","1.102","2"
15,"face","face_200","2","2","3","1.86","1"
15,"face","face_126","2","2","3","0.932","1"
15,"face","face_118","1","2","3","1.154","1"
15,"face","face_94","2","2","1","1.127","3"
15,"face","face_125","1","1","3","0.996","6"
15,"face","face_122","1","1","3","0.711","6"
15,"face","face_197","1","2","3","1.245","1"
15,"face","face_32","2","2","1","1.19","3"
15,"face","face_202","2","2","3","1.754","1"
15,"face","face_151","2","2","3","1.694","1"
15,"face","face_188","2","2","1","1.757","3"
15,"face","face_106","1","1","3","1.665","6"
15,"face","face_121","2","2","3","0.985","1"
15,"face","face_180","1","1","3","0.764","6"
15,"face","face_70","1","1","3","1.176","6"
15,"face","face_210","2","2","3","1.307","1"
15,"face","face_179","1","2","1","2.089","3"
15,"face","face_178","2","2","3","1.264","1"
15,"face","face_116","2","2","3","1.321","1"
15,"face","face_84","2","1","3","1.183","6"
15,"face","face_77","2","1","3","0.706","6"
15,"face","face_72","1","1","3","0.977","6"
15,"face","face_41","1","1","3","1.189","6"
15,"face","face_68","2","2","3","1.552","1"
15,"face","face_48","2","1","3","1.701","6"
15,"face","face_161","1","1","3","1.188","6"
15,"face","face_134","2","2","3","0.887","1"
15,"face","face_127","2","2","3","1.063","1"
15,"face","face_30","1","2","3","1.095","1"
15,"face","face_145","1","1","3","4.47","6"
15,"face","face_177","1","1","1","1.708","4"
15,"face","face_40","2","2","2","2.931","2"
15,"face","face_7","1","2","1","3.191","3"
16,"face","face_103","2","1","1","6.234","4"
16,"face","face_173","2","2","1","4.6","3"
16,"face","face_50","2","2","2","2.728","2"
16,"face","face_45","2","2","2","1.876","2"
16,"face","face_139","1","2","2","2.578","2"
16,"face","face_193","1","1","3","3.228","6"
16,"face","face_186","2","2","1","3.124","3"
16,"face","face_157","1","1","3","2.544","6"
16,"face","face_14","2","2","2","3.084","2"
16,"face","face_120","1","2","2","1.602","2"
16,"face","face_22","1","1","1","2.309","4"
16,"face","face_56","1","2","2","1.858","2"
16,"face","face_21","1","2","2","1.578","2"
16,"face","face_180","1","1","3","1.901","6"
16,"face","face_128","2","2","2","2.34","2"
16,"face","face_89","2","2","3","2.217","1"
16,"face","face_113","2","2","3","2.553","1"
16,"face","face_209","1","1","3","1.957","6"
16,"face","face_79","1","1","3","2.322","6"
16,"face","face_175","2","2","3","2.007","1"
16,"face","face_158","2","2","2","1.713","2"
16,"face","face_98","1","1","3","2.974","6"
16,"face","face_149","1","1","3","1.305","6"
16,"face","face_27","1","1","3","2.136","6"
16,"face","face_126","1","2","1","3.269","3"
16,"face","face_12","2","2","1","1.523","3"
16,"face","face_163","2","2","3","2.857","1"
16,"face","face_188","1","1","3","1.961","6"
16,"face","face_15","2","2","2","2.141","2"
16,"face","face_85","2","2","3","2.017","1"
16,"face","face_77","1","2","2","1.635","2"
16,"face","face_61","1","2","2","1.444","2"
16,"face","face_159","2","2","2","1.117","2"
16,"face","face_177","2","2","3","1.819","1"
16,"face","face_19","1","1","3","1.748","6"
16,"face","face_83","1","2","1","3.473","3"
16,"face","face_152","2","2","2","1.631","2"
16,"face","face_109","2","2","2","2.905","2"
16,"face","face_130","1","2","2","1.518","2"
16,"face","face_20","2","2","2","1.444","2"
16,"face","face_119","2","1","3","3.805","6"
16,"face","face_125","2","2","2","1.429","2"
16,"face","face_104","1","2","2","1.175","2"
16,"face","face_51","2","2","2","0.81","2"
16,"face","face_29","1","2","2","2.508","2"
16,"face","face_63","1","2","2","2.266","2"
16,"face","face_10","2","2","2","2.122","2"
16,"face","face_88","1","2","2","1.263","2"
16,"face","face_60","1","2","2","1.399","2"
