Subj_idx,Stimulus,Response,Confidence,RT_decConf,Contrast,Condition
1,2,2,2,0.76745,1,1
1,2,2,1,0.80824,2,1
1,1,2,2,0.86436,1,1
1,1,1,2,0.63968,3,1
1,1,1,2,0.70411,2,1
1,2,2,1,0.99997,2,1
1,1,1,2,0.77542,3,1
1,1,1,1,0.8724,1,1
1,1,2,1,0.66355,3,1
1,2,2,2,0.89503,1,1
1,2,2,2,0.89564,2,1
1,1,1,2,0.70391,1,1
1,2,1,1,0.88723,1,1
1,1,1,2,0.85595,3,1
1,1,1,2,0.62385,3,1
1,1,1,2,0.91957,2,1
1,1,1,2,0.69554,1,1
1,2,1,1,0.94437,2,1
1,1,1,1,0.74375,1,1
1,2,2,1,0.7123,2,1
1,1,1,1,0.84726,2,1
1,1,2,1,0.79181,1,1
1,2,1,1,0.7352,1,1
1,1,1,1,0.71982,2,1
1,1,1,1,0.76725,1,1
1,1,1,2,0.77631,3,1
1,2,1,1,0.85622,2,1
1,1,1,1,0.72725,1,1
1,2,1,1,0.8723,2,1
1,2,2,2,0.71993,3,1
1,1,1,2,0.73507,2,1
1,1,1,2,0.72729,1,1
1,1,1,2,0.52702,3,1
1,1,1,2,0.51188,3,1
1,1,1,2,0.60792,1,1
1,1,2,2,0.62388,1,1
1,1,1,2,0.66367,3,1
1,1,1,2,0.57482,1,1
1,2,2,2,0.59219,2,1
1,2,2,2,0.59894,3,1
1,2,1,2,0.76032,1,1
1,1,1,2,0.88692,3,1
1,1,2,1,0.8724,1,1
1,2,2,1,0.79147,1,1
1,2,2,2,0.95972,3,1
1,2,2,2,0.79931,2,1
1,2,2,2,0.59936,2,1
1,1,2,1,0.88726,1,1
1,1,1,2,0.77529,3,1
1,2,2,1,0.87912,1,1
1,1,1,2,0.71217,1,1
1,2,1,2,0.68824,2,1
1,1,1,2,0.62298,2,1
1,1,1,2,0.7352,2,1
1,2,1,1,0.84018,3,1
1,2,2,1,1.1031,3,1
1,1,1,2,0.71227,1,1
1,1,1,2,0.59911,3,1
1,1,2,2,0.99903,2,1
1,2,2,1,0.79113,1,1
1,1,2,2,0.76798,2,1
1,2,2,2,0.75976,2,1
1,1,2,1,0.91224,1,1
1,1,1,1,0.68735,1,1
1,2,2,1,0.71981,1,1
1,2,2,1,0.67902,1,1
1,1,1,1,0.86331,3,1
1,1,1,2,0.64006,2,1
1,2,2,2,0.67182,2,1
1,1,2,1,0.8551,1,1
1,1,1,2,0.57487,3,1
1,2,2,2,0.78381,1,1
1,1,2,1,0.97615,1,1
1,2,2,2,0.78302,3,1
1,1,2,1,0.79951,1,1
1,1,1,2,0.56705,1,1
1,2,2,2,0.6716,2,1
1,2,2,2,1.4271,3,2
1,2,2,1,1.3708,1,2
1,1,2,2,1.0343,1,2
1,2,2,2,0.7384,3,2
1,1,2,2,0.91453,2,2
1,1,1,2,0.67509,3,2
1,2,2,2,0.68224,3,2
1,1,1,2,0.75384,1,2
1,1,1,2,0.7149,3,2
1,2,1,2,0.85818,1,2
1,2,2,2,0.65822,2,2
1,1,1,2,0.61845,1,2
1,1,1,2,0.56307,3,2
1,1,1,2,0.60181,1,2
1,1,1,2,0.55523,1,2
1,1,1,2,0.57096,2,2
1,1,1,2,0.61082,3,2
1,2,1,2,0.57766,3,2
1,2,2,2,0.65809,2,2
1,2,1,2,0.60981,2,2
1,2,2,2,0.87473,3,2
1,1,1,2,0.62603,1,2
1,1,1,2,0.63511,3,2
1,1,1,2,0.54642,3,2
1,2,2,2,0.66573,2,2
1,2,1,2,0.6818,1,2
1,1,2,2,0.7142,2,2
1,2,2,1,1.2347,1,2
1,2,1,1,0.94625,2,2
1,2,1,2,0.94669,1,2
1,2,1,1,1.3857,2,2
1,1,1,2,0.59411,2,2
1,2,2,2,0.77878,2,2
1,1,1,2,0.64246,3,2
1,2,2,2,0.67502,3,2
1,2,2,2,0.72321,2,2
1,1,1,2,0.72244,2,2
1,2,2,2,0.66593,3,2
1,2,2,1,0.90683,2,2
1,1,1,2,0.64203,3,2
1,1,1,2,0.75365,1,2
1,1,1,2,0.70634,1,2
1,1,1,2,0.62588,2,2
1,1,1,2,0.65016,3,2
1,1,1,2,0.58659,2,2
1,2,1,2,0.64966,1,2
1,2,1,2,0.87449,2,2
1,1,1,2,0.82648,1,2
1,2,1,2,0.9861,1,2
1,1,1,1,0.97894,2,2
1,2,2,2,0.9232,3,2
1,2,2,2,0.80964,2,2
1,1,1,2,0.72237,2,2
1,2,2,2,0.63383,3,2
1,2,2,2,0.75495,2,2
1,2,2,2,0.66655,3,2
1,2,2,1,0.93913,2,2
1,2,1,1,0.73885,2,2
1,1,1,1,0.91394,2,2
1,2,2,1,0.71375,1,2
1,2,1,1,1.3384,3,2
1,2,1,1,0.76302,2,2
1,2,2,1,0.77847,2,2
1,1,1,1,0.85843,2,2
1,1,1,2,0.60981,1,2
1,1,1,2,0.55375,2,2
1,2,2,2,0.7468,1,2
1,2,2,2,0.73089,2,2
1,2,1,2,0.58608,2,2
1,2,1,2,0.57798,1,2
1,1,1,2,0.66711,3,2
1,1,1,2,0.57855,3,2
1,2,1,1,1.0342,1,2
1,2,1,1,0.80255,1,2
1,1,1,1,0.79438,3,2
1,2,1,1,0.74715,1,2
1,2,1,1,0.76309,3,2
1,2,1,1,0.79412,3,2
1,2,1,1,0.82661,1,2
1,2,2,1,0.71444,2,2
1,2,2,1,1.0343,1,2
1,2,1,1,0.96211,2,2
1,1,1,1,0.81081,1,2
1,2,1,1,0.85008,1,2
1,1,1,1,0.85069,1,2
1,1,1,1,0.64256,1,2
1,1,1,2,0.84276,3,2
1,1,1,1,0.82684,3,2
1,1,1,2,0.69008,1,2
1,1,1,2,0.56306,1,2
1,2,1,2,0.54634,3,2
1,1,NaN,NaN,NaN,3,2
1,1,1,2,0.56968,2,2
1,1,1,2,0.6191,3,2
1,1,1,2,0.53855,3,2
1,2,2,1,1.0269,3,2
1,2,2,2,0.81925,2,2
1,1,1,1,0.86648,1,2
1,1,1,2,0.61049,3,2
1,1,1,2,0.55507,1,2
1,1,1,2,0.59399,3,2
1,1,1,2,1.0188,1,2
