Subj_idx,Trial,Block,Stimulus,Response,Error,Confidence,ErrorDirectionJudgment,RT_conf,RT_directionJudgment,trialFilter,madFilter
1,215,2,304.4397463,243.551797,-60.88794926,1,-1,0.38097784,0.272099562,1,1
1,216,2,304.4397463,263.8477801,-40.59196617,3,-1,0.719853374,0.482812751,1,1
1,217,2,304.4397463,263.8477801,-40.59196617,2,1,0.333167409,0.246212323,1,1
1,218,2,466.807611,345.0317125,-121.7758985,2,-1,0.377576644,0.633501936,1,1
1,219,2,304.4397463,162.3678647,-142.0718816,1,-1,0.279597241,0.288585849,1,1
1,220,2,304.4397463,223.255814,-81.18393235,2,-1,0.842969923,0.322886362,1,1
1,221,2,466.807611,345.0317125,-121.7758985,2,-1,0.340425572,0.29087222,1,1
1,222,2,466.807611,385.6236786,-81.18393235,2,-1,0.327226466,0.308545951,1,1
1,223,2,304.4397463,243.551797,-60.88794926,1,-1,0.164318836,0.333686647,1,1
1,224,2,466.807611,405.9196617,-60.88794926,3,-1,0.26036067,0.256593428,1,1
1,225,2,304.4397463,182.6638478,-121.7758985,2,-1,0.337547818,0.285649198,1,1
1,226,2,304.4397463,263.8477801,-40.59196617,2,-1,0.283230336,0.680307651,1,1
1,227,2,466.807611,405.9196617,-60.88794926,2,-1,0.341171597,0.647459003,1,1
1,228,2,669.7674419,507.3995772,-162.3678647,2,-1,0.671949585,0.285025321,1,1
1,229,2,304.4397463,20.29598309,-284.1437632,1,-1,2.802341195,0.66906603,0,1
1,230,2,669.7674419,304.4397463,-365.3276956,1,-1,0.511409839,0.364023615,1,1
1,231,2,669.7674419,385.6236786,-284.1437632,3,-1,1.985060279,1.671968462,1,1
1,232,2,466.807611,284.1437632,-182.6638478,2,-1,0.623743593,0.256452457,1,1
1,233,2,304.4397463,263.8477801,-40.59196617,2,-1,1.633138855,0.155264682,1,1
1,234,2,669.7674419,385.6236786,-284.1437632,1,-1,0.272419338,0.580470339,1,1
1,235,2,669.7674419,385.6236786,-284.1437632,1,-1,0.286616566,0.49469846,1,1
1,236,2,304.4397463,223.255814,-81.18393235,3,-1,0.455995943,0.211368577,1,1
1,237,2,669.7674419,385.6236786,-284.1437632,2,-1,0.905178993,0.325674015,1,1
1,238,2,669.7674419,405.9196617,-263.8477801,1,-1,1.540124063,0.15200903,1,1
1,239,2,669.7674419,385.6236786,-284.1437632,2,-1,1.024206847,0.30491918,1,1
1,240,2,669.7674419,426.2156448,-243.551797,2,-1,2.344177839,2.267645103,1,1
2,1,1,669.7674419,405.9196617,-263.8477801,1,-1,2.399340907,2.143818498,1,1
2,2,1,304.4397463,223.255814,-81.18393235,2,-1,2.771299969,1.734534775,1,1
2,3,1,669.7674419,568.2875264,-101.4799154,2,1,0.97408658,1.425819827,1,1
2,4,1,669.7674419,568.2875264,-101.4799154,2,1,1.586159062,1.383668485,1,1
2,5,1,669.7674419,649.4714588,-20.29598309,3,1,0.938884728,1.859668172,1,1
2,6,1,669.7674419,547.9915433,-121.7758985,2,-1,1.405807762,0.477030448,1,1
2,7,1,466.807611,405.9196617,-60.88794926,3,-1,0.827466928,1.692298513,1,1
2,8,1,304.4397463,243.551797,-60.88794926,3,-1,1.358840802,0.918384995,1,1
2,9,1,466.807611,426.2156448,-40.59196617,3,-1,0.799976867,1.02673512,1,1
