Subj_idx,Stimulus,Response,Confidence,RT_dec,Conf_presses,Condition,Accuracy,Contrast,Orientation
42,1,0,5,0.8319863,3,Discrimination,0,0.055,NaN
42,1,0,3,0.7663008,1,Discrimination,0,0.055,NaN
42,1,1,6,0.8158994,4,Discrimination,1,0.055,NaN
42,1,1,1,0.9339859,0,Detection,1,0.09,Anticlockwise
42,0,0,4,0.9190027,0,Detection,1,0,NaN
42,0,1,5,0.9658744,1,Detection,0,0,NaN
42,1,1,6,0.6164028,5,Detection,1,0.09,Clockwise
42,1,1,6,1.0493079,5,Detection,1,0.09,Anticlockwise
42,0,0,3,1.0984588,2,Detection,1,0,NaN
42,1,1,6,0.666473,1,Detection,1,0.09,Anticlockwise
42,1,1,6,0.6497166,1,Detection,1,0.09,Anticlockwise
42,0,1,4,0.9489423,4,Detection,0,0,NaN
42,1,1,3,1.1493771,3,Detection,1,0.09,Clockwise
42,0,0,5,0.8484114,4,Detection,1,0,NaN
42,1,1,6,0.5495769,1,Detection,1,0.09,Clockwise
42,1,1,6,0.6165808,1,Detection,1,0.09,Anticlockwise
42,1,1,6,0.5500585,4,Detection,1,0.09,Clockwise
42,0,1,3,1.198053,3,Detection,0,0,NaN
42,1,1,1,1.4489153,3,Detection,1,0.09,Clockwise
42,0,0,4,1.1660934,4,Detection,1,0,NaN
42,0,0,4,0.999865,2,Detection,1,0,NaN
42,0,0,6,0.7324591,4,Detection,1,0,NaN
42,1,1,6,0.6162557,1,Detection,1,0.09,Clockwise
42,1,1,6,0.598919,5,Detection,1,0.09,Clockwise
42,0,1,4,0.9987869,2,Detection,0,0,NaN
42,1,1,6,0.6498824,4,Detection,1,0.09,Clockwise
42,0,0,4,0.9491754,4,Detection,1,0,NaN
42,0,0,5,0.9995049,2,Detection,1,0,NaN
42,0,NaN,NaN,NaN,0,Detection,NaN,0,NaN
42,0,0,5,0.7161161,6,Detection,1,0,NaN
42,0,0,5,1.3154862,1,Detection,1,0,NaN
42,0,0,5,0.7158222,2,Detection,1,0,NaN
42,0,1,3,0.8489579,3,Detection,0,0,NaN
42,0,0,4,0.8490247,1,Detection,1,0,NaN
42,1,0,5,0.7661795,4,Detection,0,0.09,Anticlockwise
42,0,0,6,0.8655506,1,Detection,1,0,NaN
42,1,1,6,0.5497286,5,Detection,1,0.09,Clockwise
42,1,0,6,0.9824947,1,Detection,0,0.09,Anticlockwise
42,1,1,6,0.6830696,1,Detection,1,0.09,Anticlockwise
42,1,1,6,0.6496622,5,Detection,1,0.09,Anticlockwise
42,1,1,6,0.5834769,5,Detection,1,0.09,Clockwise
42,0,0,6,0.6494088,3,Detection,1,0,NaN
42,1,1,6,0.6823106,5,Detection,1,0.09,Anticlockwise
42,1,1,6,0.8494621,2,Detection,1,0.09,Clockwise
42,1,1,6,0.7159897,2,Detection,1,0.09,Anticlockwise
42,1,1,6,0.6497183,3,Detection,1,0.09,Anticlockwise
42,1,1,6,0.5999028,1,Detection,1,0.09,Anticlockwise
42,0,0,5,0.916459,1,Detection,1,0,NaN
42,0,0,3,1.3147117,2,Detection,1,0,NaN
42,0,0,6,0.7329511,5,Detection,1,0,NaN
42,1,1,6,0.9649846,3,Detection,1,0.09,Anticlockwise
42,0,0,6,0.699494,3,Detection,1,0,NaN
42,0,0,4,0.9490575,2,Detection,1,0,NaN
42,1,1,6,0.5664163,3,Detection,1,0.09,Anticlockwise
42,1,1,2,1.1485674,1,Detection,1,0.09,Clockwise
42,0,0,6,0.6992656,4,Detection,1,0,NaN
42,1,1,6,0.6667492,3,Detection,1,0.09,Anticlockwise
42,0,0,6,0.6990388,2,Detection,1,0,NaN
42,1,1,6,0.6327799,1,Detection,1,0.09,Clockwise
42,0,1,5,0.715906,1,Detection,0,0,NaN
42,1,1,6,0.6989264,1,Detection,1,0.09,Anticlockwise
42,1,1,2,1.0998719,3,Detection,1,0.09,Clockwise
42,1,1,6,0.5493205,2,Detection,1,0.09,Anticlockwise
42,1,1,6,0.6823936,3,Detection,1,0.09,Clockwise
42,1,1,6,0.6164629,2,Detection,1,0.09,Clockwise
42,0,0,2,0.81565,4,Detection,1,0,NaN
42,0,0,6,0.6994698,1,Detection,1,0,NaN
42,0,1,1,0.91636,4,Detection,0,0,NaN
42,1,1,6,1.0153345,0,Detection,1,0.09,Clockwise
42,0,0,6,0.7993647,0,Detection,1,0,NaN
42,0,0,6,0.6824963,4,Detection,1,0,NaN
42,1,1,6,0.5830628,5,Detection,1,0.09,Clockwise
42,0,NaN,NaN,NaN,0,Detection,NaN,0,NaN
