Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,coherence,Accuracy,Training,Scale
1,199,209.7897,1,1.8966,0.8977,0.062,10.7897,0,four-point scale
1,305,299.0724,0,5.4171,0.9259,0.016,5.9276,0,four-point scale
1,38,27.6085,1,4.8188,1.2698,0.25,10.3915,0,four-point scale
1,80,270.5101,0,1.4978,0.8505,0.062,169.4899,0,four-point scale
1,223,209.0339,0,1.6519,0.9123,0.016,13.9661,0,four-point scale
1,208,210.3883,1,5.5811,0.99,0.5,2.3883,0,four-point scale
1,309,300.4428,2,3.5943,0.9558,0.125,8.5572,0,four-point scale
1,157,119.3405,0,2.3676,1.3198,0.016,37.6595,0,four-point scale
1,77,91.2897,1.82,4.7874,1.4896,0.5,14.2897,0,continuous scale
1,202,209.721,1.66,4.0958,4.2362,0.5,7.721,0,continuous scale
1,47,120.7167,0,2.4666,0.9682,0.031,73.7167,0,continuous scale
1,20,28.4898,1.86,2.2159,1.0015,0.5,8.4898,0,continuous scale
1,314,118.3088,0,1.4029,0.9137,0.125,164.3088,0,continuous scale
1,61,89.944,0,1.8783,0.9803,0.016,28.944,0,continuous scale
1,236,89.9457,0,1.8777,0.8704,0.062,146.0543,0,continuous scale
1,357,89.944,0,2.5113,0.9145,0.031,92.944,0,continuous scale
1,274,60.5347,0,1.6548,1.2754,0.016,146.5347,0,continuous scale
1,261,270.0542,0,2.5742,0.9162,0.016,9.0542,0,continuous scale
1,306,299.4182,3,2.174,1.0122,0.25,6.5818,0,continuous scale
1,17,117.6097,0,1.6008,1.2485,0.031,100.6097,0,continuous scale
1,209,211.5428,0.26,5.2754,1.1822,0.25,2.5428,0,continuous scale
1,92,119.4372,1.14,3.0515,1.5567,0.25,27.4372,0,continuous scale
1,108,119.9912,3,1.5086,0.8476,0.5,11.9912,0,continuous scale
1,64,58.838,3,2.3849,0.8699,0.5,5.162,0,continuous scale
1,0,91.2897,0.61,2.3329,0.8696,0.031,91.2897,0,continuous scale
1,162,149.3158,0,3.1694,0.7592,0.016,12.6842,0,continuous scale
1,277,270.0542,0,2.3072,0.8997,0.125,6.9458,0,continuous scale
1,81,88.5791,0,1.5106,1.2696,0.5,7.5791,0,continuous scale
1,9,121.1869,0.39,2.6067,0.8234,0.031,112.1869,0,continuous scale
1,304,299.0724,2.28,3.1713,1.1158,0.25,4.9276,0,continuous scale
1,339,300.5813,0,2.8804,0.792,0.016,38.4187,0,continuous scale
1,254,27.9148,2.05,1.954,0.979,0.016,133.9148,0,continuous scale
1,218,329.896,0,6.5447,0.8041,0.016,111.896,0,continuous scale
1,288,301.7745,2.32,2.1609,2.0285,0.5,13.7745,0,continuous scale
1,234,270.0559,0,2.6604,0.7816,0.062,36.0559,0,continuous scale
1,306,119.0748,0,1.7006,0.8493,0.062,173.0748,0,continuous scale
1,358,359.9458,3,2.2546,0.8694,0.5,1.9458,0,continuous scale
1,70,58.5059,0,2.329,0.9142,0.062,11.4941,0,continuous scale
1,248,60.8808,0,2.1654,0.8704,0.125,172.8808,0,continuous scale
1,3,359.9458,1.07,2.8888,0.7361,0.125,3.0542,0,continuous scale
1,298,89.944,0,2.1661,0.8265,0.031,151.944,0,continuous scale
1,57,241.0713,0,2.0445,0.8489,0.016,175.9287,0,continuous scale
1,47,60.5347,0,2.7717,1.0465,0.062,13.5347,0,continuous scale
1,322,60.5347,0,1.264,0.8087,0.062,98.5347,0,continuous scale
1,332,151.2971,0.72,2.5373,1.2479,0.125,179.2971,0,continuous scale
1,147,150.7562,1.78,2.628,0.781,0.125,3.7562,0,continuous scale
1,29,28.9522,1.06,1.93,1.2715,0.031,0.0478,0,continuous scale
1,110,151.6366,0,1.7066,0.764,0.062,41.6366,0,continuous scale
1,178,180.5362,0,4.6112,0.7588,0.125,2.5362,0,continuous scale
1,326,299.1233,1.68,1.5551,1.1166,0.125,26.8767,0,continuous scale
1,248,329.5572,0,2.7453,0.8036,0.031,81.5572,0,continuous scale
1,160,151.0012,0,2.0744,0.8259,0.016,8.9988,0,continuous scale
