Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Correct,Stimulus1,Stimulus2,Solution,Confidence_prospective,Training
10,XX-X,NaN,NaN,NaN,1.48,NaN,45,4,42,3,0
10,XXX-XXX,0,3,0.936,0.28,1,479,105,376,3,0
10,XX*XX,1,4,0.271,0.089,0,50,21,1000,3,0
10,XX*XX,NaN,3,NaN,0.469,NaN,14,14,196,3,0
10,XX*XX,0,3,2.75,0.486,1,15,31,480,3,0
10,XX-XX,1,4,2.785,0.312,1,72,51,21,1,0
10,XXX-XXX,1,3,1.942,0.366,0,263,177,84,3,0
10,XXX-XXX,NaN,NaN,NaN,0.779,NaN,888,574,316,4,0
10,XX*X,0,4,1.841,0.237,1,55,3,220,4,0
10,XX-X,1,4,1.899,0.532,0,67,3,54,3,0
10,XX*XX,0,3,0.57,0.425,0,25,11,275,4,0
10,XX*X,1,4,1.137,0.377,0,15,7,104,3,0
10,XX*XX,0,3,1.768,0.214,1,25,18,451,4,0
10,XX-XX,0,3,1.503,0.392,0,46,12,34,4,0
10,X*XX,1,3,1.081,0.387,0,8,31,247,3,0
10,XXX-XX,1,1,0.29,0.092,1,119,52,67,4,0
10,XX-XX,0,3,0.479,1.089,1,39,18,29,4,0
10,XX*X,0,4,0.193,0.335,1,61,8,549,4,0
10,XX-XX,0,2,0.848,0.355,1,46,12,24,4,0
10,XX-X,NaN,NaN,NaN,0.825,NaN,85,2,82,3,0
10,XX-X,1,6,2.498,1.667,1,85,2,83,2,0
10,XXX-XXX,1,2,0.932,0.82,1,495,244,251,4,0
10,XXX-XXX,0,5,1.631,0.483,1,888,574,304,4,0
10,XX*XX,1,2,0.914,0.691,0,15,31,466,2,0
10,XX-XX,1,4,2.047,0.706,1,79,68,11,5,0
10,XX*X,1,3,0.633,0.037,0,10,9,80,3,0
10,XXX-XX,0,2,0.388,0.058,0,169,85,84,2,0
10,XXX-XX,0,4,2.482,0.66,1,123,66,67,3,0
10,XX*XX,1,6,1.64,0.46,1,11,11,121,2,0
10,XX-XX,1,5,1.819,0.455,0,58,16,32,4,0
10,XX-XX,1,4,1.099,0.788,0,46,12,36,3,0
10,XX-X,0,6,1.945,0.337,1,85,2,73,4,0
10,X*XX,0,4,1.492,0.607,1,5,29,146,3,0
10,XXX-XX,0,4,2.335,0.632,1,123,66,53,3,0
10,XXX-XX,0,4,2.716,0.469,0,279,45,234,3,0
10,XX-XX,0,5,2.638,0.378,1,64,12,42,3,0
10,XXX-XXX,1,5,2.89,0.237,1,479,105,374,3,0
10,XXX-XXX,0,5,0.784,0.246,0,677,160,517,3,0
10,XX-XX,1,5,2.014,0.627,1,91,57,34,3,0
10,XXX-XX,1,4,2.156,0.459,0,774,53,729,3,0
