"Subj_idx","Run","Block","Trial","Difficulty_col","Difficulty_let","Number_blues","Number_os","Stimulus_col","Stimulus_let","Response_col","Response_let","Accuracy_col","Accuracy_let","RT_dec_col","RT_dec_let","Confidence_col","Confidence_let","RT_confidence_col","RT_confidence_let","Taskorder","Locationchoice_col","Locationchoice_let","Initposconf_col","Initposconf_let"
1,2,1,17,90,60,45,44,1,1,2,1,0,1,2.108,0.42228,62.682,67.0099,1.3162,0.63309,1,2,2,97.8604,72.4476
1,2,1,18,90,90,35,60,2,1,1,1,0,1,0.35868,1.663,90.7582,79.7718,0.29988,0.51648,2,1,1,88.8716,73.5574
1,2,1,19,60,90,39,60,2,1,2,1,1,1,1.0755,0.5302,89.0936,72.1147,0.38322,0.41651,1,2,2,87.318,77.6634
1,2,1,20,60,90,41,60,1,1,1,1,1,1,0.53618,1.3212,83.9888,60.7955,1.0163,0.6831,2,1,2,75.111,57.2443
1,2,1,21,90,60,35,44,2,1,2,2,1,0,1.0937,0.44362,81.6584,82.6571,0.81636,0.54976,1,1,1,54.581,89.0936
1,2,1,22,90,90,45,20,1,2,2,2,0,1,0.49109,0.73176,68.7855,90.4252,0.43317,0.68311,2,1,2,76.7756,65.6783
1,2,1,23,60,60,41,36,1,2,1,2,1,1,0.90359,0.49412,92.4228,86.2083,0.76639,0.71641,1,1,2,98.4153,96.5288
1,2,1,24,60,90,41,60,1,1,1,1,1,1,1.0312,0.59072,90.2033,98.3043,0.74972,0.74969,1,2,1,90.2033,89.0936
1,2,2,1,60,60,39,44,2,1,1,1,0,1,0.84654,0.3765,76.5536,90.2033,0.48316,0.46646,1,2,1,79.9938,74.0012
1,2,2,2,60,90,39,20,2,2,1,2,0,1,0.64961,1.0986,100,99.3031,0.51648,1.1163,1,2,2,93.7544,66.4551
1,2,2,3,60,60,39,44,2,1,2,1,1,1,0.34239,1.5614,65.3453,66.3441,0.59977,0.53314,2,1,1,76.6646,57.2443
1,2,2,4,90,90,45,60,1,1,1,1,1,1,0.66418,0.37038,85.3205,94.0874,0.84966,0.59976,1,1,2,96.9727,92.4228
1,2,2,5,60,90,41,20,1,2,1,2,1,1,1.0096,0.44376,62.793,100,0.63308,1.5494,1,1,1,56.3565,54.8029
