Subj_idx,Block,Trial,Stimulus,Response,RT_dec,Confidence,RT_conf,ErrorDirectionJudgment,RT_directionJudgment
3,2,325,4,4,0.951138537959196,3,0.128199700033292,-1,0.670818779966794
3,2,326,29,30,5.13905346102547,1,2.48947039805353,1,0.862967142951675
3,2,327,19,20,2.70304001797922,2,0.632128855097108,1,0.0168978299479932
3,2,328,24,27,2.83656565495767,2,0.62247836694587,1,0.0168789480812848
3,2,329,25,28,7.99225817690603,2,0.906664674985223,-1,0.184401854989119
3,2,330,29,26,6.50728379504289,2,0.558133231010288,1,0.402480764081702
3,2,331,22,29,8.85988026706036,2,0.453857318032533,1,0.318739615962841
3,2,332,29,34,4.0378839969635,2,0.519729607971385,1,0.381819325964898
3,2,333,5,6,2.26927127793897,3,0.143792369985022,1,0.0168822230771184
3,2,334,17,24,3.65417682100087,2,0.574968404020183,-1,0.689793872996233
3,2,335,27,35,4.52172098099254,2,0.151725949952379,1,0.301940669072792
3,2,336,24,26,6.32374233496375,2,0.662172305048443,1,0.0169231999898329
3,2,337,22,22,9.11010155302938,2,0.267999137984589,-1,0.0167998829856515
3,2,338,16,23,3.47058688208926,3,0.568267859984189,-1,0.491901068948209
3,2,339,4,4,1.2181072679814,3,1.07424401689786,1,0.120750250061974
3,2,340,20,23,4.67195907793939,2,0.691267127986066,-1,0.194732278003357
3,2,341,6,7,3.77094078401569,3,0.132325317012146,-1,1.73658116499428
3,2,342,26,25,4.67194278503302,2,0.702404794981703,-1,0.444569592946209
3,2,343,18,23,3.20351016998757,2,0.644600300001912,1,0.0169637249782681
3,2,344,7,6,1.85202927002683,2,0.882740625995211,1,0.0662470549577847
3,2,345,4,4,1.16812984202988,3,0.119997184956446,1,1.8790327499155
3,2,346,21,20,2.70308693789411,2,1.56151953001972,1,1.14147001097444
3,2,347,10,13,2.45280352490954,3,1.24960731400643,-1,0.0168913099914789
3,2,348,7,7,2.05236514599528,3,0.822674890980124,-1,0.416369737009518
3,2,349,28,32,2.88661746797152,2,0.21612085797824,1,0.0169173970352858
3,2,350,24,35,6.64069719507825,2,0.271909923991188,1,0.192321712034754
3,2,351,23,29,6.70742323307786,2,0.630343097960576,1,0.0169367250055075
3,2,352,19,26,5.33932957006618,2,0.173652669065632,1,0.0169142900267616
3,2,353,20,30,3.18689363601152,2,0.0605795528972521,1,0.181719501037151
3,2,354,16,24,11.8464459331008,2,0.0897174660349265,-1,0.929683263064362
3,2,355,8,9,1.75200822693296,2,0.146329152048565,-1,0.0880407869117334
3,2,356,18,27,5.572905949899,2,0.574277678038925,1,0.0169085699599236
3,2,357,18,23,3.4038838200504,3,0.253935274085961,-1,0.0169525319943205
3,2,358,19,32,4.32147124502808,3,0.247875884990208,1,0.0169044779613614
3,2,359,11,11,1.8521528900601,3,0.163672694005072,-1,0.016914019943215
3,2,360,7,7,3.50397163501475,3,0.138854885008186,-1,0.551925219944678
3,2,361,12,13,2.76983387791552,3,1.30410829104949,-1,0.844786450034007
3,2,362,18,23,7.34152468503453,3,3.08163644303568,-1,1.16696395201143
3,2,363,22,26,4.33809831494,2,0.318500848021358,-1,0.0169207899598405
3,2,364,23,23,4.3382161851041,3,1.47168943693396,-1,0.447004960034974
3,2,365,17,21,3.02009047800675,2,0.310268840985373,-1,0.0290548290358856
3,2,366,23,32,4.30478555196896,2,2.11048955493607,1,0.0169389899820089
3,2,367,26,24,3.30374302493874,2,2.90718164201826,-1,0.407139696064405
