Subj_idx,Stimulus,Response,Confidence,Awareness,RT_dec,RT_conf,RT_aware,Attention_Decision,Trial_count,Block_count,Accuracy
AS,1,2,1,1,0.45900223,0.410479357,1.187601088,2,45,6,0
AS,1,1,2,2,0.387786429,0.434616052,0.788308803,1,46,6,1
AS,1,2,2,2,0.141412496,0.187599933,0.340585661,2,47,6,0
AS,1,1,1,2,0.375996824,0.610446016,0.753028926,1,48,6,1
AS,1,1,2,2,0.328894233,0.328800677,0.753011216,2,49,6,1
AS,1,1,1,1,0.693387126,0.292328056,1.200054825,1,0,7,1
AS,1,2,2,2,0.681860095,0.493475138,0.788311883,1,1,7,0
AS,2,2,1,2,0.505443,0.387572751,0.505747923,2,2,7,1
AS,2,2,1,2,0.69370591,0.4699044,0.635316144,1,3,7,1
AS,2,2,2,2,0.152256145,0.175827269,0.52965939,2,4,7,1
AS,2,1,1,1,0.164243257,0.140552012,0.38830965,2,5,7,0
AS,1,1,1,1,0.152469437,0.187685789,0.423607622,1,6,7,1
AS,2,2,2,2,0.458428574,0.340413179,0.600088243,1,7,7,1
AS,1,1,2,2,0.517176008,0.399348881,0.517698459,2,8,7,1
AS,1,2,2,2,0.176841755,0.175870004,0.19922052,2,9,7,0
AS,2,1,1,1,0.152465202,0.164066155,0.482467093,1,10,7,0
AS,1,1,1,1,0.176087147,0.175739873,0.388302335,2,11,7,1
AS,1,1,1,1,0.152449032,0.187592618,0.306016887,1,12,7,1
AS,1,1,1,2,0.352441486,0.375991434,0.658894198,1,13,7,1
AS,2,1,1,1,0.563589827,0.31766019,0.811836036,2,14,7,0
AS,2,1,1,1,0.17597049,0.175860764,0.529505004,1,15,7,0
AS,2,2,2,2,0.364273826,0.328765641,0.647093429,1,16,7,1
AS,2,2,1,2,0.258302908,0.234616668,0.505954285,2,17,7,1
AS,1,1,1,1,0.176595737,0.152459042,0.352315975,2,18,7,1
