Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Condition
3,7,1,1,0.26997,0.84339,Big
3,3,1,3,0.087626,0.00157,Big
3,4,1,3,0.19461,0.047628,Big
3,1,1,3,0.40419,0.043947,Big
3,3,2,3,0.51666,0.074967,Big
3,3,1,3,0.14072,0.001448,Big
3,2,1,3,0.69175,0.060572,Big
3,4,1,3,0.27066,0.050375,Big
3,7,2,3,0.21787,0.15625,Big
3,3,1,3,0.17134,0.00048179,Big
3,6,1,2,0.50756,0.44747,Big
3,6,2,2,0.10263,0.0015532,Big
3,2,1,3,0.33617,0.049403,Big
3,5,1,3,0.00048948,0.00048265,Big
3,5,1,3,0.0046931,0.12449,Big
3,1,1,3,0.17389,0.015405,Big
3,6,2,3,0.20143,0.00048488,Big
3,1,1,3,0.12856,0.00048085,Big
3,4,1,3,0.99943,0.50959,Big
3,7,2,3,0.2526,0.045585,Big
3,2,1,3,0.39962,0.00048746,Big
3,5,2,3,0.10255,0.017042,Big
3,7,2,3,0.040334,0.00058762,Big
3,1,1,3,0.20588,0.00048008,Big
3,1,1,3,0.21129,0.12445,Big
3,5,1,3,0.25184,0.00047685,Big
3,3,1,3,0.26425,0.00053367,Big
3,5,2,3,0.64341,0.0004796,Big
3,6,2,3,0.28292,0.065928,Big
3,2,1,3,0.081059,0.0004763,Big
3,5,1,3,0.9413,0.12768,Big
3,7,2,3,0.0018167,0.10125,Big
3,1,1,3,0.094932,0.11215,Big
3,5,2,3,0.70996,0.10678,Big
3,7,2,3,0.24073,0.14304,Big
3,6,2,3,0.21276,0.20591,Big
3,1,1,3,0.093018,0.030231,Big
3,4,1,3,0.70787,0.095598,Big
3,5,2,3,0.15062,0.15567,Big
3,2,1,3,0.00048144,0.14253,Big
3,1,1,3,0.40811,0.15478,Big
3,1,1,3,0.20587,0.12569,Big
3,3,1,3,0.93129,0.060246,Big
3,4,1,3,0.31794,0.044362,Big
3,6,2,3,0.21035,0.059542,Big
3,3,1,3,0.087999,0.095707,Big
3,3,1,3,0.018867,0.013406,Big
3,6,2,3,0.18328,0.33765,Big
3,2,1,3,0.71951,0.00046756,Big
3,5,1,3,0.00048269,0.0017815,Big
3,4,2,3,0.19075,0.00086777,Big
3,6,2,3,0.00054351,0.094887,Big
3,4,2,3,0.19917,0.095101,Big
3,6,1,3,0.55016,0.043424,Big
4,3,1,3,1.0515,0.49493,Small
4,2,1,3,0.49337,0.27038,Small
4,5,2,2,0.59886,0.41323,Small
4,3,2,1,0.62031,0.25476,Small
4,6,2,2,0.60441,0.15608,Small
4,7,2,1,0.43613,0.099748,Small
4,3,2,1,0.55578,0.35268,Small
4,1,1,2,0.46642,0.52611,Small
4,1,1,2,0.51603,0.18642,Small
4,2,1,2,0.43366,0.12656,Small
4,1,1,2,0.30053,0.19091,Small
4,5,2,1,0.79148,0.28459,Small
4,6,2,2,0.45877,0.25542,Small
4,5,2,1,0.4839,0.15571,Small
4,5,1,1,0.79085,0.21976,Small
4,1,1,2,0.53074,0.18786,Small
4,7,2,2,0.50966,0.57083,Small
4,7,2,2,0.47928,0.20554,Small
4,5,2,2,0.7047,0.17251,Small
4,3,1,2,0.57668,0.1553,Small
4,3,2,2,0.7078,0.17543,Small
4,1,1,2,0.67443,0.25552,Small
4,7,2,1,0.32933,0.33058,Small
4,5,2,1,0.56405,0.15577,Small
4,7,2,2,0.37481,0.37726,Small
4,1,1,3,0.47487,0.31999,Small
4,6,2,1,0.38182,0.30418,Small
4,5,2,1,0.63513,0.27045,Small
4,6,2,1,0.60724,0.319,Small
4,6,2,1,0.47273,0.18987,Small
4,4,2,2,1.3145,0.23924,Small
4,6,2,1,1.2892,0.19266,Small
4,2,1,2,0.78224,0.27253,Small
4,6,2,2,0.52621,0.25386,Small
4,1,1,2,0.34625,0.23795,Small
4,4,2,1,0.61975,1.3102,Small
4,1,1,3,1.2314,0.36414,Small
4,3,1,3,0.53379,0.23876,Small
4,4,2,1,0.82602,0.30164,Small
4,4,2,1,0.49133,0.20456,Small
4,1,NaN,NaN,NaN,NaN,Small
4,3,1,3,1.2406,0.57485,Small
4,2,1,3,0.55491,0.2987,Small
4,7,2,1,0.35027,0.26739,Small
4,4,1,2,0.57303,0.28614,Small
4,4,1,2,0.73853,0.15685,Small
4,6,2,2,0.37863,0.18698,Small
4,2,1,2,0.31334,0.12649,Small
4,5,2,2,0.34822,0.2399,Small
4,3,2,2,0.39516,0.41613,Small
4,4,2,1,0.79117,0.79605,Small
4,1,1,3,0.53243,0.23741,Small
4,2,1,3,0.52985,0.26682,Small
4,5,2,1,0.394,0.15928,Small
4,3,2,1,0.55965,0.25402,Small
4,2,2,1,0.37438,0.20764,Small
4,4,1,1,0.84261,0.8009,Small
4,5,2,2,0.45731,0.42767,Small
4,7,2,2,0.41475,0.28781,Small
4,4,1,3,0.87351,0.43035,Small
4,3,1,2,1.1081,0.22365,Small
4,7,1,1,0.63199,0.60521,Small
4,4,2,2,0.63723,0.26588,Small
4,7,2,2,0.78536,0.14095,Small
4,2,1,3,0.45463,0.20771,Small
4,6,2,2,0.88566,0.17312,Small
4,6,2,1,0.9523,0.12537,Small
