Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difficulty,Condition,Accuracy
1,1,1,5,0.31113,0.13483,0.54105,E,1
1,1,1,5,0.39401,0.29265,0.54032,E,1
1,2,2,6,0.39312,0.25776,0.53963,E,1
1,2,2,6,0.32891,0.14683,0.53895,E,1
1,2,2,5,0.12971,0.26949,0.53829,E,1
1,1,1,5,0.58588,0.33455,0.53765,E,1
1,1,1,4,0.4339,0.22881,0.53702,E,1
1,1,1,3,0.32878,0.56254,0.5364,E,1
1,2,2,3,0.44616,0.28714,0.53578,E,1
1,1,1,2,0.40503,0.32303,0.53518,E,1
1,2,2,3,0.29942,0.3869,0.53457,E,1
1,1,1,5,0.32274,0.35171,0.53396,E,1
1,1,1,5,0.0998,0.29928,0.53334,E,1
1,2,2,4,0.27596,0.21123,0.53271,E,1
1,1,1,2,0.25253,0.082208,0.53208,E,1
1,1,1,1,0.29286,0.26419,0.53144,E,1
1,2,2,3,0.55727,0.35209,0.53078,E,1
1,2,2,5,0.082309,0.37569,0.53011,E,1
1,1,1,3,0.49851,0.18793,0.52942,E,1
1,2,2,5,1.0611,0.26396,0.52871,E,1
1,1,2,1,0.67421,0.13534,0.52798,E,0
1,2,2,4,0.47471,0.017608,0.53035,E,1
1,2,1,2,0.37487,0.35171,0.52968,E,0
1,2,2,1,0.32827,0.24672,0.53182,E,1
1,1,2,1,0.43433,0.21765,0.5312,E,0
1,1,1,1,0.18193,0.25217,0.53316,E,1
1,2,1,1,0.42819,0.6098,0.53258,E,0
1,2,2,3,0.39883,0.25853,0.53442,E,1
1,2,2,3,0.45179,0.23511,0.53386,E,1
1,2,2,4,0.21179,0.84945,0.5333,E,1
1,1,1,2,0.31133,0.46904,0.53273,E,1
1,1,1,1,0.46297,0.28723,0.33773,H,1
1,1,1,4,0.3751,0.34033,0.33541,H,1
1,1,2,3,0.2756,0.3757,0.33315,H,0
1,2,2,1,0.29328,0.3113,0.33645,H,1
1,2,2,3,0.323,0.35181,0.33419,H,1
1,1,2,3,0.3758,0.33421,0.33198,H,0
1,2,2,1,0.28707,0.31089,0.33522,H,1
1,2,2,4,0.13508,0.36964,0.33301,H,1
1,2,1,1,0.63881,0.31095,0.33085,H,0
1,2,2,4,0.088409,0.32228,0.33403,H,1
1,2,1,1,0.49303,0.35817,0.33187,H,0
1,2,2,1,0.48087,0.28172,0.33504,H,1
1,1,1,2,0.44585,0.29342,0.33288,H,1
1,2,1,1,0.23473,0.24617,0.33076,H,0
1,1,1,1,0.32245,0.28749,0.33388,H,1
1,2,2,2,0.047464,0.2756,0.33176,H,1
1,1,2,2,0.064957,0.55068,0.32968,H,0
1,1,1,2,0.22937,0.27591,0.33275,H,1
1,1,2,3,0.67347,0.31631,0.33067,H,0
1,1,2,3,0.16465,0.31106,0.33373,H,0
1,1,1,4,0.33436,0.29956,0.33684,H,1
1,1,1,1,0.68036,0.29375,0.33471,H,1
1,2,1,1,0.85029,0.51573,0.33263,H,0
1,2,1,1,0.35196,0.16492,0.33567,H,0
1,1,1,1,0.52766,0.31048,0.3388,H,1
1,2,2,1,0.41674,0.27611,0.33664,H,1
1,1,1,3,0.44514,0.29293,0.33455,H,1
1,1,1,3,0.38166,0.34653,0.33251,H,1
1,1,2,2,0.35209,0.35741,0.33051,H,0
1,2,2,1,0.11196,0.23441,0.33345,H,1
1,2,1,1,0.11153,0.28732,0.33146,H,0
1,1,1,1,0.10581,0.21743,0.33439,H,1
1,2,2,2,0.31062,0.27599,0.33239,H,1
1,2,2,2,0.23513,0.52208,0.33043,H,1
1,2,2,1,1.5827,0.24664,0.32851,H,1
