Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,Condition,Accuracy,Session,Visual_search_accuracy
1,1,1,2,0.370093,0.559864,0.239292,1,1,1,NaN
1,1,1,2,0.859929,0.669833,0.239292,1,1,1,NaN
1,0,0,2,0.620016,0.479907,0.239292,2,1,1,NaN
1,0,0,2,0.000237,0.279965,0.217538,2,1,1,NaN
1,1,1,2,1.009892,0.909761,0.217538,2,1,1,NaN
1,0,0,2,0.280112,0.509892,0.217538,2,1,1,NaN
1,0,0,2,0.570021,0.559866,0.197762,2,1,1,NaN
1,0,0,2,0.110177,0.499894,0.197762,2,1,1,NaN
1,0,0,2,0.000212,0.320096,0.179784,2,1,1,NaN
1,0,0,2,0.000207,0.289959,0.179784,2,1,1,NaN
1,0,1,2,1.079823,0.439901,0.16344,2,0,1,NaN
1,0,0,2,0.020207,0.299956,0.179784,2,1,1,NaN
1,0,0,2,0.000208,0.269986,0.179784,2,1,1,NaN
1,1,1,2,0.500072,0.309967,0.16344,2,1,1,NaN
1,0,0,2,0.180149,0.33996,0.16344,2,1,1,NaN
1,1,0,1,0.49006,3.109006,0.16344,2,0,1,NaN
1,0,0,3,0.410019,0.859769,0.16344,2,1,1,NaN
1,0,1,1,0.570038,1.059709,0.148581,2,0,1,NaN
1,1,0,1,0.420082,0.490002,0.16344,2,0,1,NaN
1,0,0,2,0.340119,0.50989,0.16344,2,1,1,NaN
1,0,0,2,0.440086,0.319955,0.16344,2,1,1,NaN
1,1,0,1,1.349765,1.429598,0.148581,2,0,1,NaN
1,0,1,2,0.580024,0.609873,0.148581,2,0,1,NaN
1,1,1,2,1.519704,0.569873,0.16344,2,1,1,NaN
1,0,0,2,0.420084,0.459916,0.16344,2,1,1,NaN
1,0,1,2,0.470071,0.469913,0.16344,2,0,1,NaN
1,1,0,1,0.460061,2.699153,0.179784,2,0,1,NaN
1,0,0,2,0.719983,0.649845,0.179784,2,1,1,NaN
1,1,1,2,0.849942,0.589858,0.179784,2,1,1,NaN
1,0,0,1,0.500019,0.669829,0.179784,2,1,1,NaN
1,0,1,1,0.929905,0.689845,0.16344,2,0,1,NaN
1,0,1,1,0.260127,2.349257,0.179784,2,0,1,NaN
1,0,1,2,0.929911,0.619861,0.197762,2,0,1,NaN
1,0,1,2,0.530044,0.529881,0.217538,2,0,1,NaN
1,0,1,2,0.370092,0.539885,0.239292,2,0,1,NaN
1,0,1,2,0.759959,0.239981,0.263221,2,0,1,NaN
1,0,0,2,0.660013,1.129678,0.289543,2,1,1,NaN
1,1,1,2,0.110175,0.549877,0.289543,2,1,1,NaN
1,1,1,2,0.709992,0.579859,0.289543,2,1,1,NaN
1,1,0,2,0.4001,0.539868,0.289543,2,0,1,NaN
1,0,1,2,0.410045,0.419915,0.289543,2,0,1,NaN
1,0,1,2,0.83994,0.549878,0.318498,2,0,1,NaN
1,0,0,2,0.410064,0.459919,0.350347,2,1,1,NaN
1,0,1,2,0.939874,0.649834,0.350347,2,0,1,NaN
1,0,0,2,0.590036,0.529874,0.385382,2,1,1,NaN
1,0,1,2,0.420073,0.619864,0.385382,2,0,1,NaN
1,0,0,2,0.250148,0.469916,0.42392,2,1,1,NaN
1,0,0,1,0.769952,0.819772,0.42392,2,1,1,NaN
1,0,0,1,0.27013,0.619846,0.385382,2,1,1,NaN
1,1,1,1,0.580018,0.919763,0.385382,2,1,1,NaN
1,0,1,2,1.27978,0.949746,0.254459,4,0,1,1
1,0,0,2,0.320107,0.519888,0.279904,4,1,1,1
1,0,0,2,0.190151,1.279632,0.279904,4,1,1,1
1,0,0,1,0.360063,2.819114,0.254459,4,1,1,1
1,0,0,2,0.65993,0.769814,0.254459,4,1,1,0
1,0,1,2,0.55003,1.219649,0.231326,4,0,1,1
1,1,1,2,1.359773,1.189663,0.254459,4,1,1,1
1,1,1,2,0.510056,1.759471,0.254459,4,1,1,1
1,0,0,1,0.999855,0.789806,0.254459,4,1,1,1
1,1,1,2,0.989868,0.629838,0.254459,4,1,1,0
1,0,0,2,0.50005,0.719894,0.254459,4,1,1,1
1,0,0,2,0.410142,0.879774,0.231326,4,1,1,0
1,0,1,1,1.309723,1.549541,0.231326,4,0,1,1
1,0,1,2,0.669991,0.889755,0.254459,4,0,1,1
1,0,1,1,0.560043,1.799459,0.279904,4,0,1,1
1,1,0,1,0.829961,1.689488,0.307895,4,0,1,1
1,0,0,2,1.009882,1.029711,0.307895,4,1,1,1
1,1,1,2,1.539674,0.609846,0.307895,4,1,1,0
1,1,1,2,0.510044,0.649839,0.307895,4,1,1,1
1,1,1,2,0.430062,1.3596,0.307895,4,1,1,0
1,0,0,2,0.500045,0.849787,0.307895,4,1,1,0
1,0,0,2,0.250119,0.869775,0.279904,4,1,1,0
1,0,0,2,0.410096,0.649846,0.279904,4,1,1,0
1,0,0,2,0.640009,0.669824,0.254459,4,1,1,1
1,1,0,2,0.490071,0.959743,0.254459,4,0,1,0
1,0,1,2,1.819604,1.139678,0.254459,4,0,1,1
1,0,1,2,1.289794,2.139324,0.279904,4,0,1,1
1,0,1,2,1.099845,0.799787,0.279904,4,0,1,0
1,0,1,2,2.739275,1.189669,0.279904,4,0,1,1
1,0,1,2,1.179822,0.789796,0.279904,4,0,1,1
1,0,1,2,1.019851,0.919746,0.279904,4,0,1,1
1,0,1,2,0.939903,0.879755,0.279904,4,0,1,1
1,1,1,3,0.939893,2.009382,0.279904,4,1,1,0
1,0,1,2,2.199469,1.489552,0.279904,4,0,1,1
1,0,1,2,0.58999,0.679823,0.307895,4,0,1,1
1,0,1,2,0.520012,0.509893,0.338684,4,0,1,1
1,0,0,3,0.579993,1.559539,0.372553,4,1,1,0
1,0,0,2,0.58002,0.659854,0.372553,4,1,1,1
1,0,0,2,0.660003,0.859778,0.338684,4,1,1,0
1,1,0,3,0.609956,1.149672,0.338684,4,0,1,0
1,0,0,1,0.590015,1.229643,0.338684,4,1,1,1
1,1,1,3,1.429735,1.509559,0.307895,4,1,1,1
1,1,1,3,1.079819,1.049708,0.307895,4,1,1,1
1,0,1,2,2.439358,1.239611,0.307895,4,0,1,1
1,0,1,2,1.2198,0.839775,0.338684,4,0,1,1
1,0,0,2,0.719982,1.159673,0.372553,4,1,1,1
