Subj_idx,Stimulus,Response,Confidence,Awareness,RT_dec,RT_conf,RT_aware,Trial_count,Block_count,Accuracy
ack,2,2,1,1,0.528969555,0.46988044100000004,0.353056655,2,5,1
ack,1,2,1,1,1.21125541,0.705151572,0.376590351,3,5,0
ack,1,2,1,1,0.622991535,0.44644415,0.364843908,4,5,0
ack,1,2,1,1,0.422830758,0.42284384799999997,0.306189463,5,5,0
ack,2,2,1,1,0.399920381,0.481213006,0.247208535,6,5,1
ack,1,2,2,1,0.517223112,0.49341375299999995,0.8353241840000001,7,5,0
ack,2,2,2,1,0.634802659,0.317012284,0.38832254899999996,8,5,1
ack,2,2,1,1,1.011197429,2.481576449,3.047019653,9,5,1
ack,1,2,2,1,0.623051211,0.43459452600000004,0.917740633,10,5,0
ack,1,2,2,1,0.658296315,1.211072919,1.105974015,11,5,0
ack,1,2,2,2,1.928866451,0.387663424,0.870647444,12,5,0
ack,1,1,2,2,0.552557537,0.481575679,0.682416757,13,5,1
ack,2,1,1,1,0.881856038,1.293379642,0.341252846,14,5,0
ack,2,2,3,1,0.375866931,0.599407018,0.28257607100000004,15,5,1
ack,1,2,1,1,0.552905195,0.281733684,0.46997823200000005,16,5,0
ack,2,2,1,1,0.505324592,0.293437392,0.670758094,17,5,1
ack,2,2,1,1,0.681846952,0.493535414,5.423260036,18,5,1
ack,2,2,1,1,0.79951197,0.49341875799999996,0.411867796,19,5,1
ack,2,2,1,1,0.587730646,0.38754253299999997,0.553082296,20,5,1
ack,1,2,1,1,1.599462844,0.834614623,0.35306397,21,5,0
ack,2,2,3,2,0.7406719540000001,0.42282190299999994,1.647063851,22,5,1
ack,2,2,2,1,1.2701042820000001,2.187367126,1.588258485,23,5,1
ack,2,1,3,1,0.740652318,0.49350307299999996,83.88800107,24,5,0
ack,2,2,3,1,0.681887762,0.680708498,2.858733525,25,5,1
ack,1,2,1,1,0.599489794,0.71696077,0.35306628,26,5,0
ack,1,2,2,2,0.9765502340000001,5.868963441,1.187672433,27,5,0
ack,1,2,2,1,0.458536326,0.411127435,0.352888023,28,5,0
ack,1,2,1,1,0.79953045,0.622841384,1.82349843,29,5,0
ack,2,2,2,2,0.634716033,0.716981946,0.7530536520000001,30,5,1
ack,2,2,1,2,0.5289915,0.646265355,0.517760576,31,5,1
ack,2,2,2,2,0.505374643,0.611230077,0.270695647,32,5,1
ack,1,2,3,2,0.423039045,1.140592335,1.6000307230000002,33,5,0
ack,2,2,2,2,0.658337511,0.7992705729999999,0.505971782,34,5,1
ack,1,1,3,2,0.8935070009999999,0.399364437,1.482448866,35,5,1
ack,1,2,1,1,0.705362939,1.211059444,0.329512948,36,5,0
ack,2,1,3,2,0.893686027,1.563883942,2.329401297,37,5,0
ack,1,1,3,1,0.858323112,0.45816826299999996,0.306000427,38,5,1
