Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,RT_decConf,mean,sd,Condition,Training
1,0,0,36.275,NaN,NaN,1.5668,0.53,0.0333,0,1
1,1,1,15.2775,NaN,NaN,2.1201,0.4895,0.0333,1,1
1,0,1,25.49,NaN,NaN,0.68333,0.5105,0.0333,1,1
1,0,0,46.0784,NaN,NaN,1.1779,0.53,0.0333,1,1
1,1,1,31.6175,NaN,NaN,0.94253,0.4895,0.0333,0,1
1,0,0,40.1961,NaN,NaN,0.88351,0.53,0.0333,1,1
1,0,1,33.66,NaN,NaN,0.88337,0.53,0.1,1,1
1,0,1,33.66,NaN,NaN,0.78937,0.5105,0.0333,0,1
1,0,1,25.49,NaN,NaN,0.83666,0.53,0.1,0,1
1,0,0,36.275,NaN,NaN,0.65977,0.5105,0.1,1,1
1,1,1,39.7875,NaN,NaN,0.69518,0.47,0.0333,0,1
1,1,1,27.5325,NaN,NaN,9.3862,0.47,0.1,3,1
1,1,1,39.7875,NaN,NaN,1.1655,0.4895,0.1,3,1
1,0,1,31.6175,NaN,NaN,0.61282,0.5105,0.1,0,1
1,1,0,14.706,NaN,NaN,1.0014,0.47,0.1,0,1
1,1,1,33.66,NaN,NaN,0.88342,0.47,0.0333,1,1
1,0,1,13.235,NaN,NaN,1.0249,0.5105,0.0333,1,1
1,1,1,35.7025,NaN,NaN,0.58917,0.4895,0.0333,1,1
1,0,0,44.1176,NaN,NaN,0.88367,0.53,0.1,0,1
1,1,1,37.745,NaN,NaN,0.93077,0.4895,0.1,0,1
1,1,1,39.7875,NaN,NaN,0.96535,0.47,0.1,3,1
1,0,0,40.1961,NaN,NaN,0.89531,0.5105,0.1,1,1
1,0,1,31.6175,NaN,NaN,0.65992,0.53,0.1,0,1
1,1,1,33.66,NaN,NaN,0.48315,0.47,0.0333,1,1
1,1,0,18.627,NaN,NaN,0.50682,0.4895,0.0333,0,1
1,0,1,15.2775,NaN,NaN,0.89549,0.5105,0.0333,0,1
1,1,1,41.83,NaN,NaN,1.2252,0.47,0.0333,0,1
1,0,0,38.235,NaN,NaN,1.1546,0.53,0.0333,0,1
1,1,1,19.3625,NaN,NaN,3.3202,0.47,0.1,3,1
1,0,1,11.1925,NaN,NaN,2.0261,0.5105,0.1,0,1
1,1,0,18.627,NaN,NaN,0.58925,0.47,0.0333,0,1
1,1,1,9.15,NaN,NaN,3.2737,0.4895,0.1,3,1
1,1,0,24.51,NaN,NaN,0.61252,0.4895,0.0333,1,1
1,0,0,38.235,NaN,NaN,0.75384,0.53,0.0333,1,1
1,0,0,10.784,NaN,NaN,0.67167,0.53,0.1,0,1
1,1,1,23.4475,NaN,NaN,0.84827,0.4895,0.1,0,1
1,1,1,43.8725,NaN,NaN,0.63613,0.47,0.0333,1,1
1,0,0,42.1569,NaN,NaN,0.63627,0.53,0.1,1,1
1,0,0,6.863,NaN,NaN,0.5301,0.5105,0.1,1,1
1,0,0,30.392,NaN,NaN,0.73046,0.53,0.1,1,1
1,1,0,14.706,NaN,NaN,0.63635,0.47,0.1,0,1
1,1,1,23.4475,NaN,NaN,0.71892,0.47,0.0333,0,1
