Subj_idx,Stimulus,Response,Accuracy,Confidence,RT_dec,Difficulty,Condition
1,1,1,1,3,0.689,128,1000
1,2,2,1,3,0.764,128,1000
1,1,1,1,4,0.676,64,1000
1,1,1,1,3,0.698,64,1000
1,2,2,1,3,0.843,32,1000
1,2,2,1,3,1.114,128,1000
1,2,2,1,3,1.099,128,1000
1,1,1,1,3,0.776,64,1000
1,2,2,1,3,0.714,32,1000
1,1,1,1,2,0.733,32,1000
1,2,2,1,3,0.771,128,1000
1,2,2,1,3,0.793,128,1000
1,2,2,1,2,0.622,32,1000
1,1,1,1,2,0.721,32,1000
1,2,2,1,2,0.92,64,1000
1,1,1,1,2,0.816,32,1000
1,2,2,1,2,0.804,16,1000
1,2,2,1,2,0.669,32,1000
1,1,1,1,2,0.894,32,1000
1,1,1,1,2,0.8,16,1000
1,1,1,1,2,1.059,64,1000
1,2,2,1,3,0.655,64,1000
1,2,1,0,2,0.751,16,1000
1,2,2,1,2,0.813,64,1000
1,2,2,1,2,0.819,64,1000
1,2,2,1,2,0.606,64,1000
1,1,1,1,2,0.718,64,1000
1,2,2,1,2,0.833,64,1000
1,1,1,1,2,0.722,16,1000
1,2,1,0,2,1.007,16,1000
1,2,2,1,3,0.583,16,1000
1,2,2,1,3,0.871,128,1000
1,1,1,1,3,0.789,128,1000
1,1,1,1,3,0.697,128,1000
1,2,2,1,3,0.53,64,1000
1,2,1,0,3,0.36,16,1000
1,2,2,1,3,0.334,32,1000
1,2,2,1,2,0.433,16,1000
1,1,1,1,2,0.438,64,1000
1,1,1,1,2,0.343,16,1000
1,1,1,1,2,0.433,16,1000
1,1,1,1,1,1.861,16,1000
1,1,1,1,1,0.575,16,1000
1,2,1,0,1,0.45,16,1000
1,2,2,1,3,0.683,128,1000
1,2,2,1,3,0.536,128,1000
1,1,1,1,3,0.386,64,1000
1,1,1,1,3,0.43,64,1000
1,1,1,1,3,0.376,64,1000
1,2,2,1,2,0.61,32,1000
1,2,2,1,2,0.324,32,1000
1,2,2,1,2,0.38,16,1000
1,1,1,1,1,0.492,16,1000
1,1,1,1,3,0.418,128,1000
1,1,1,1,3,0.428,128,1000
1,1,1,1,3,0.307,32,1000
1,1,1,1,1,0.829,16,1000
1,1,1,1,3,0.226,128,1000
1,2,1,0,2,0.19,32,1000
1,2,2,1,2,0.58,32,1000
1,2,2,1,2,0.438,64,1000
1,1,1,1,2,0.318,128,1000
1,1,1,1,2,0.419,128,1000
1,2,2,1,3,0.26,128,1000
1,1,1,1,2,0.253,64,1000
1,1,1,1,2,0.426,32,1000
1,2,1,0,1,1.507,16,1000
1,2,1,0,1,0.226,16,1000
1,1,1,1,2,0.208,64,1000
1,1,1,1,2,0.289,16,1000
1,1,1,1,2,0.289,64,1000
1,1,1,1,2,0.455,16,1000
1,2,2,1,2,0.287,128,1000
1,2,2,1,3,0.181,128,1000
1,2,2,1,3,0.347,128,1000
1,1,1,1,2,0.823,16,1000
23,2,2,1,3,1.247,128,1000
23,1,1,1,2,0.993,32,1000
23,1,1,1,3,1.179,64,1000
23,2,2,1,2,0.936,32,1000
23,1,1,1,3,0.682,64,1000
23,1,1,1,3,0.722,32,1000
23,2,2,1,4,0.664,128,1000
23,2,2,1,2,0.713,64,1000
23,2,2,1,1,1.442,32,1000
23,1,1,1,4,0.584,128,1000
23,1,1,1,4,0.583,128,1000
23,2,2,1,4,0.526,128,1000
23,2,2,1,1,0.529,16,1000
23,2,1,0,1,0.798,16,1000
23,2,2,1,3,0.915,32,1000
23,1,1,1,2,0.427,16,1000
23,1,1,1,2,0.596,64,1000
23,2,2,1,2,0.415,32,1000
23,1,1,1,4,0.566,128,1000
23,2,2,1,4,0.47,128,1000
23,2,2,1,3,0.429,16,1000
23,1,1,1,4,0.391,64,1000
23,1,1,1,4,0.432,64,1000
23,1,1,1,3,0.42,16,1000
23,1,1,1,1,0.589,16,1000
23,1,1,1,4,0.438,128,1000
23,1,1,1,3,0.539,32,1000
23,2,1,0,3,0.452,16,1000
23,2,2,1,3,0.582,32,1000
23,1,2,0,1,1.416,16,1000
23,1,1,1,4,0.607,64,1000
23,2,2,1,3,0.394,32,1000
23,2,2,1,1,0.778,64,1000
23,2,2,1,3,0.345,64,1000
23,1,1,1,1,0.83,16,1000
23,2,2,1,2,0.479,32,1000
23,2,2,1,2,0.36,64,1000
23,2,1,0,1,0.546,16,1000
23,1,1,1,4,0.422,128,1000
23,2,2,1,2,0.465,64,1000
23,2,2,1,4,0.468,128,1000
23,1,1,1,4,0.408,128,1000
23,2,2,1,4,0.458,128,1000
23,1,1,1,3,0.475,32,1000
23,1,1,1,1,0.45,16,1000
23,2,2,1,4,0.477,64,1000
23,2,2,1,2,0.664,16,1000
23,1,1,1,2,0.45,32,1000
23,2,2,1,3,0.366,32,1000
23,2,2,1,3,0.421,64,1000
23,2,2,1,1,0.428,16,1000
23,2,2,1,4,0.449,64,1000
23,2,2,1,3,0.324,128,1000
23,2,2,1,3,0.377,64,1000
23,1,1,1,4,0.351,128,1000
23,1,1,1,4,0.555,128,1000
23,1,1,1,4,0.488,128,1000
23,1,1,1,4,0.555,128,1000
23,1,1,1,3,0.344,32,1000
23,1,1,1,4,0.373,128,1000
23,2,1,0,1,0.344,16,1000
23,2,2,1,2,0.296,32,1000
23,1,1,1,4,0.378,128,1000
23,2,2,1,4,0.404,128,1000
23,1,2,0,2,0.244,16,1000
23,1,1,1,4,0.4,64,1000
23,1,1,1,2,0.38,16,1000
23,2,2,1,4,0.337,64,1000
23,1,1,1,2,0.373,16,1000
23,1,1,1,1,0.367,16,1000
23,2,2,1,1,0.364,32,1000
